unit,unit_id,year_ref,cluster
page,1700_10_image,1700,2
page,1700_11_image,1700,7
page,1700_12_image,1700,2
page,1700_1_image,1700,2
page,1700_2_image,1700,2
page,1700_3_image,1700,7
page,1700_4_image,1700,2
page,1700_5_image,1700,2
page,1700_6_image,1700,2
page,1700_7_image,1700,2
page,1700_8_image,1700,2
page,1700_9_image,1700,2
page,1701_1_image,1701,2
page,1701_2_image,1701,2
page,1701_3_image,1701,2
page,1701_4_image,1701,2
page,1701_5_image,1701,2
page,1702_1_image,1702,2
page,1702_2_image,1702,2
page,1702_3_image,1702,2
page,1702_4_image,1702,2
page,1702_5_image,1702,2
page,1702_6_image,1702,7
page,1703_1_image,1703,2
page,1703_2_image,1703,2
page,1703_3_image,1703,2
page,1703_4_image,1703,2
page,1703_5_image,1703,2
page,1703_6_image,1703,7
page,1704_1_image,1704,2
page,1704_2_image,1704,7
page,1704_3_image,1704,2
page,1704_4_image,1704,2
page,1704_5_image,1704,2
page,1704_6_image,1704,2
page,1704_7_image,1704,7
page,1705_1_image,1705,7
page,1705_2_image,1705,2
page,1705_3_image,1705,2
page,1705_4_image,1705,2
page,1705_5_image,1705,2
page,1705_6_image,1705,2
page,1705_7_image,1705,7
page,1706_1_image,1706,2
page,1706_2_image,1706,2
page,1706_3_image,1706,2
page,1706_4_image,1706,2
page,1706_5_image,1706,2
page,1706_6_image,1706,2
page,1706_7_image,1706,7
page,1707_1_image,1707,7
page,1707_2_image,1707,7
page,1707_3_image,1707,2
page,1707_4_image,1707,2
page,1707_5_image,1707,2
page,1707_6_image,1707,7
page,1708_1_image,1708,2
page,1708_2_image,1708,2
page,1708_3_image,1708,3
page,1708_4_image,1708,2
page,1708_5_image,1708,2
page,1708_6_image,1708,2
page,1708_7_image,1708,7
page,1709_1_image,1709,7
page,1709_2_image,1709,2
page,1709_3_image,1709,2
page,1709_4_image,1709,2
page,1709_5_image,1709,2
page,1709_6_image,1709,2
page,1709_7_image,1709,7
page,1710_1_image,1710,7
page,1710_2_image,1710,2
page,1710_3_image,1710,2
page,1710_4_image,1710,2
page,1710_5_image,1710,2
page,1710_6_image,1710,2
page,1710_7_image,1710,7
page,1711_1_image,1711,7
page,1711_2_image,1711,3
page,1711_3_image,1711,2
page,1711_4_image,1711,2
page,1711_5_image,1711,11
page,1711_6_image,1711,3
page,1711_7_image,1711,7
page,1712_1_image,1712,7
page,1712_2_image,1712,3
page,1712_3_image,1712,2
page,1712_4_image,1712,2
page,1712_5_image,1712,2
page,1712_6_image,1712,2
page,1712_7_image,1712,7
page,1713_1_image,1713,7
page,1713_2_image,1713,3
page,1713_3_image,1713,2
page,1713_4_image,1713,2
page,1713_5_image,1713,2
page,1713_6_image,1713,2
page,1713_7_image,1713,7
page,1714_1_image,1714,7
page,1714_2_image,1714,3
page,1714_3_image,1714,2
page,1714_4_image,1714,2
page,1714_5_image,1714,2
page,1714_6_image,1714,2
page,1714_7_image,1714,2
page,1714_8_image,1714,7
page,1715_1_image,1715,7
page,1715_2_image,1715,3
page,1715_3_image,1715,2
page,1715_4_image,1715,2
page,1715_5_image,1715,2
page,1715_6_image,1715,2
page,1715_7_image,1715,7
page,1716_1_image,1716,7
page,1716_2_image,1716,3
page,1716_3_image,1716,3
page,1716_4_image,1716,2
page,1716_5_image,1716,11
page,1716_6_image,1716,3
page,1716_7_image,1716,2
page,1716_8_image,1716,7
page,1717_1_image,1717,7
page,1717_2_image,1717,3
page,1717_3_image,1717,2
page,1717_4_image,1717,2
page,1717_5_image,1717,11
page,1717_6_image,1717,2
page,1717_7_image,1717,7
page,1718_1_image,1718,7
page,1718_2_image,1718,3
page,1718_3_image,1718,2
page,1718_4_image,1718,2
page,1718_5_image,1718,11
page,1718_6_image,1718,3
page,1718_7_image,1718,7
page,1719_1_image,1719,7
page,1719_2_image,1719,3
page,1719_3_image,1719,2
page,1719_4_image,1719,2
page,1719_5_image,1719,2
page,1719_6_image,1719,7
page,1720_1_image,1720,7
page,1720_2_image,1720,3
page,1720_3_image,1720,2
page,1720_4_image,1720,2
page,1720_5_image,1720,2
page,1720_6_image,1720,3
page,1720_7_image,1720,7
page,1721-1722_10_image,1721,2
page,1721-1722_11_image,1721,2
page,1721-1722_12_image,1721,3
page,1721-1722_13_image,1721,7
page,1721-1722_1_image,1721,7
page,1721-1722_2_image,1721,3
page,1721-1722_3_image,1721,2
page,1721-1722_4_image,1721,2
page,1721-1722_5_image,1721,11
page,1721-1722_6_image,1721,3
