unit,unit_id,year_ref,cluster
year,1700,1700,0
year,1701,1701,1
year,1702,1702,0
year,1703,1703,0
year,1704,1704,0
year,1705,1705,0
year,1706,1706,0
year,1707,1707,0
year,1708,1708,1
year,1709,1709,0
year,1710,1710,0
year,1711,1711,0
year,1712,1712,0
year,1713,1713,0
year,1714,1714,0
year,1715,1715,0
year,1716,1716,0
year,1717,1717,0
year,1718,1718,0
year,1719,1719,0
year,1720,1720,0
year,1721,1721,0
year,1722,1722,0
year,1723,1723,0
year,1724,1724,0
year,1725,1725,0
year,1726,1726,0
year,1727,1727,1
year,1728,1728,1
year,1729,1729,0
year,1730,1730,0
year,1731,1731,0
year,1732,1732,0
year,1733,1733,0
year,1734,1734,0
year,1735,1735,0
year,1736,1736,0
year,1737,1737,0
year,1738,1738,0
year,1739,1739,0
year,1740,1740,1
year,1741,1741,0
year,1742,1742,0
year,1743,1743,0
year,1744,1744,1
year,1745,1745,0
year,1746,1746,0
year,1747,1747,0
year,1748,1748,0
year,1749,1749,1
year,1750,1750,0
year,1751,1751,0
year,1752,1752,0
year,1753,1753,0
year,1754,1754,0
year,1755,1755,0
year,1756,1756,1
year,1757,1757,0
year,1758,1758,1
year,1759,1759,0
year,1760,1760,0
year,1761,1761,0
year,1762,1762,1
year,1763,1763,0
year,1764,1764,1
year,1765,1765,0
year,1766,1766,1
year,1767,1767,0
year,1768,1768,0
year,1769,1769,1
year,1770,1770,1
year,1771,1771,0
year,1772,1772,0
year,1773,1773,0
year,1774,1774,0
year,1775,1775,0
year,1776,1776,0
year,1777,1777,0
year,1778,1778,0
year,1779,1779,0
year,1780,1780,0
year,1781,1781,0
year,1782,1782,0
year,1783,1783,0
year,1784,1784,0
year,1785,1785,0
year,1786,1786,0
year,1787,1787,0
year,1788,1788,0
year,1789,1789,0
year,1790,1790,1
year,1791,1791,1
year,1792,1792,0
year,1793,1793,1
year,1794,1794,1
year,1795,1795,1
year,1796,1796,0
year,1797,1797,0
year,1798,1798,0
year,1799,1799,0
year,1800,1800,0
year,1801,1801,1
year,1802,1802,1
year,1803,1803,1
year,1804,1804,1
year,1805,1805,1
year,1806,1806,0
year,1807,1807,0
year,1808,1808,1
year,1809,1809,1
year,1810,1810,1
year,1811,1811,1
year,1812,1812,1
year,1813,1813,1
year,1814,1814,1
year,1815,1815,0
year,1816,1816,1
year,1817,1817,0
year,1818,1818,1
year,1819,1819,1
year,1820,1820,0
year,1821,1821,1
year,1822,1822,1
year,1823,1823,1
year,1824,1824,0
year,1825,1825,1
year,1826,1826,1
year,1827,1827,1
year,1828,1828,0
year,1829,1829,1
year,1830,1830,1
year,1831,1831,1
year,1832,1832,1
year,1833,1833,1
year,1834,1834,1
year,1835,1835,1
year,1836,1836,1
year,1837,1837,1
year,1838,1838,1
year,1839,1839,1
year,1840,1840,1
year,1841,1841,1
year,1842,1842,1
year,1843,1843,0
year,1844,1844,1
year,1845,1845,1
year,1846,1846,1
year,1847,1847,1
year,1848,1848,0
year,1849,1849,1
year,1850,1850,0
year,1851,1851,1
year,1852,1852,0
year,1853,1853,1
year,1854,1854,0
year,1855,1855,1
year,1856,1856,1
year,1857,1857,1
year,1858,1858,1
year,1859,1859,1
year,1860,1860,1
year,1861,1861,1
year,1862,1862,1
year,1863,1863,1
year,1864,1864,1
year,1865,1865,1
year,1866,1866,0
year,1867,1867,1
year,1868,1868,1
year,1869,1869,1
year,1870,1870,1
year,1871,1871,1
year,1872,1872,1
year,1873,1873,0
year,1876,1876,1
year,1877,1877,1
year,1878,1878,1
year,1879,1879,1
year,1880,1880,1
year,1881,1881,0
year,1882,1882,1
year,1883,1883,1
year,1884,1884,1
year,1885,1885,1
year,1886,1886,1
year,1889,1889,1
year,1891,1891,1
year,1892,1892,1
year,1893,1893,1
year,1894,1894,1
year,1895,1895,1
year,1896,1896,1
year,1897,1897,1
year,1898,1898,1
year,1899,1899,1
year,1900,1900,1
