term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
year,0.003471184570469644,0.010697417514907624,0.0024748646558391337,-0.0009963199146305105,0.00722623294443798,industrial_vs_pre
years,0.0024367255925151145,0.009051660974152604,0.001082753286929621,-0.0013539723055854935,0.00661493538163749,industrial_vs_pre
rectory,0.0004597595457575688,0.005771420197716231,0.0059396751740139215,0.0054799156282563525,0.005311660651958662,industrial_vs_pre
tax,0.0018390381830302753,0.0063012185361784635,0.004331013147718484,0.0024919749646882088,0.004462180353148188,industrial_vs_pre
kidlington,0.0030114250247120756,0.006774655349272372,0.00711523588553751,0.004103810860825435,0.003763230324560297,industrial_vs_pre
money,0.0011264108871060436,0.00474564043601276,0.0031245166279969066,0.001998105740890863,0.003619229548906717,industrial_vs_pre
yr,0.000574699432196961,0.004058029826519225,0.010951276102088167,0.010376576669891207,0.003483330394322264,industrial_vs_pre
yrs,0.0002298797728787844,0.0034831422677623347,0.0016705336426914154,0.0014406538698126308,0.00325326249488355,industrial_vs_pre
rent,0.001724098296590883,0.004508922029465805,0.00711523588553751,0.0053911375889466265,0.002784823732874922,industrial_vs_pre
rectori,0.00016091584101514907,0.0028293485734897927,0.0024748646558391337,0.0023139488148239845,0.0026684327324746435,industrial_vs_pre
anni,0.0012183627962575572,0.0038100391148986057,0.0018561484918793504,0.0006377856956217931,0.0025916763186410487,industrial_vs_pre
newington,0.0028045332291211696,0.005376889520137973,0.0017633410672853829,-0.0010411921618357868,0.002572356291016803,industrial_vs_pre
dno,0.0006896393186363532,0.0030886115901840767,0.0025986078886310903,0.0019089685699947372,0.0023989722715477236,industrial_vs_pre
bien,0.0016551343647272477,0.003967851385929909,0.0,-0.0016551343647272477,0.0023127170212026617,industrial_vs_pre
pro bien,0.0015631824555757338,0.0038664006402669283,0.0,-0.0015631824555757338,0.0023032181846911947,industrial_vs_pre
varia,6.896393186363533e-05,0.002367184065469548,0.0018561484918793504,0.001787184560015715,0.0022982201336059125,industrial_vs_pre
day,0.0022068458196363304,0.004452560504097483,0.004609435421500387,0.0024025896018640565,0.0022457146844611525,industrial_vs_pre
plate money,0.0002298797728787844,0.002367184065469548,0.0,-0.0002298797728787844,0.0021373042925907633,industrial_vs_pre
recepta,2.298797728787844e-05,0.002153010269069922,0.0004640371229698376,0.00044104914568195917,0.0021300222917820435,industrial_vs_pre
st,0.002298797728787844,0.004407471283802825,0.0060324825986078886,0.0037336848698200447,0.0021086735550149807,industrial_vs_pre
plate,0.0009195190915151376,0.0029871608445210963,0.0005877803557617943,-0.0003317387357533434,0.0020676417530059586,industrial_vs_pre
poor,0.00018390381830302752,0.002231916404585574,0.0036504253673627224,0.003466521549059695,0.0020480125862825465,industrial_vs_pre
college,0.0011264108871060436,0.0031337008104787346,0.007579273008507347,0.006452862121401303,0.002007289923372691,industrial_vs_pre
taylor,0.0002298797728787844,0.002175554879217251,0.0002165506573859242,-1.3329115492860197e-05,0.0019456751063384667,industrial_vs_pre
div,6.896393186363533e-05,0.0020064703031122833,0.0009899458623356535,0.0009209819304720182,0.001937506371248648,industrial_vs_pre
ut,2.298797728787844e-05,0.001950108777743961,0.0001237432327919567,0.00010075525550407824,0.0019271208004560825,industrial_vs_pre
land,0.000942507068803016,0.0028293485734897927,0.0018561484918793504,0.0009136414230763344,0.0018868415046867767,industrial_vs_pre
pro trien,0.00018390381830302752,0.0020290149132596125,0.0,-0.00018390381830302752,0.0018451110949565849,industrial_vs_pre
