era,term,relative_freq
pre_1760,00,0.0002758557274545413
industrial_1760_1840,00,0.0
post_1840,00,6.187161639597834e-05
pre_1760,03,0.00016091584101514907
industrial_1760_1840,03,1.1272305073664513e-05
post_1840,03,0.0
pre_1760,05,0.0001149398864393922
industrial_1760_1840,05,0.0
post_1840,05,3.093580819798917e-05
pre_1760,06,9.195190915151376e-05
industrial_1760_1840,06,3.381691522099354e-05
post_1840,06,0.0
pre_1760,08,0.0001149398864393922
industrial_1760_1840,08,1.1272305073664513e-05
post_1840,08,0.0
pre_1760,0d,4.597595457575688e-05
industrial_1760_1840,0d,0.0
post_1840,0d,0.0001237432327919567
pre_1760,10,0.0018620261603181536
industrial_1760_1840,10,0.0025137240314271865
post_1840,10,0.0059396751740139215
pre_1760,10 10,9.195190915151376e-05
industrial_1760_1840,10 10,0.00013526766088397415
post_1840,10 10,0.00027842227378190254
pre_1760,10 11,2.298797728787844e-05
industrial_1760_1840,10 11,3.381691522099354e-05
post_1840,10 11,0.0002165506573859242
pre_1760,10 15,0.0
industrial_1760_1840,10 15,2.2544610147329026e-05
post_1840,10 15,6.187161639597834e-05
pre_1760,10 17,0.0
industrial_1760_1840,10 17,4.508922029465805e-05
post_1840,10 17,3.093580819798917e-05
pre_1760,10 allowed,0.0
industrial_1760_1840,10 allowed,3.381691522099354e-05
post_1840,10 allowed,3.093580819798917e-05
pre_1760,10 land,0.0
industrial_1760_1840,10 land,3.381691522099354e-05
post_1840,10 land,3.093580819798917e-05
pre_1760,10 merton,0.0
industrial_1760_1840,10 merton,4.508922029465805e-05
post_1840,10 merton,6.187161639597834e-05
pre_1760,10 mich,9.195190915151376e-05
industrial_1760_1840,10 mich,0.0
post_1840,10 mich,6.187161639597834e-05
pre_1760,10 mr,0.0002758557274545413
industrial_1760_1840,10 mr,0.00013526766088397415
post_1840,10 mr,3.093580819798917e-05
pre_1760,10 paid,0.0
industrial_1760_1840,10 paid,3.381691522099354e-05
post_1840,10 paid,3.093580819798917e-05
pre_1760,10 poor,0.0
industrial_1760_1840,10 poor,3.381691522099354e-05
post_1840,10 poor,3.093580819798917e-05
pre_1760,10 walker,6.896393186363533e-05
industrial_1760_1840,10 walker,0.0
post_1840,10 walker,3.093580819798917e-05
pre_1760,100,0.0001149398864393922
industrial_1760_1840,100,6.763383044198708e-05
post_1840,100,0.00040216550657385926
pre_1760,1000,0.0
industrial_1760_1840,1000,9.01784405893161e-05
post_1840,1000,0.0002165506573859242
pre_1760,105,0.0
industrial_1760_1840,105,2.2544610147329026e-05
post_1840,105,6.187161639597834e-05
pre_1760,107,0.0
industrial_1760_1840,107,4.508922029465805e-05
post_1840,107,6.187161639597834e-05
pre_1760,10d,4.597595457575688e-05
industrial_1760_1840,10d,4.508922029465805e-05
post_1840,10d,0.0
pre_1760,10s,0.0001149398864393922
industrial_1760_1840,10s,6.763383044198708e-05
post_1840,10s,0.0
pre_1760,10th,0.0003448196593181766
industrial_1760_1840,10th,7.890613551565159e-05
post_1840,10th,3.093580819798917e-05
pre_1760,11,0.0011034229098181652
industrial_1760_1840,11,0.0015893950153866964
post_1840,11,0.0029079659706109824
pre_1760,11 10,4.597595457575688e-05
industrial_1760_1840,11 10,2.2544610147329026e-05
post_1840,11 10,6.187161639597834e-05
pre_1760,11 allowed,2.298797728787844e-05
industrial_1760_1840,11 allowed,4.508922029465805e-05
post_1840,11 allowed,0.0
pre_1760,11 cent,0.0
industrial_1760_1840,11 cent,2.2544610147329026e-05
post_1840,11 cent,6.187161639597834e-05
pre_1760,11 garsington,0.0
industrial_1760_1840,11 garsington,4.508922029465805e-05
post_1840,11 garsington,3.093580819798917e-05
pre_1760,11 mr,4.597595457575688e-05
industrial_1760_1840,11 mr,0.00010145074566298062
post_1840,11 mr,0.0
pre_1760,11 pd,0.0001149398864393922
industrial_1760_1840,11 pd,7.890613551565159e-05
post_1840,11 pd,0.0
pre_1760,113,2.298797728787844e-05
industrial_1760_1840,113,6.763383044198708e-05
post_1840,113,6.187161639597834e-05
pre_1760,114,2.298797728787844e-05
industrial_1760_1840,114,2.2544610147329026e-05
post_1840,114,3.093580819798917e-05
pre_1760,11d,0.00013792786372727065
industrial_1760_1840,11d,0.0
post_1840,11d,3.093580819798917e-05
pre_1760,11th,6.896393186363533e-05
industrial_1760_1840,11th,5.636152536832257e-05
post_1840,11th,0.0
pre_1760,12,0.000988483023378773
industrial_1760_1840,12,0.0012624981682504254
post_1840,12,0.0029079659706109824
pre_1760,12 10,0.0
industrial_1760_1840,12 10,4.508922029465805e-05
post_1840,12 10,0.0002165506573859242
pre_1760,12 allowed,4.597595457575688e-05
industrial_1760_1840,12 allowed,1.1272305073664513e-05
post_1840,12 allowed,3.093580819798917e-05
pre_1760,12 annis,2.298797728787844e-05
industrial_1760_1840,12 annis,9.01784405893161e-05
post_1840,12 annis,0.0
pre_1760,12 mr,0.0001149398864393922
industrial_1760_1840,12 mr,0.00011272305073664513
post_1840,12 mr,0.0
pre_1760,12 pd,0.00016091584101514907
industrial_1760_1840,12 pd,2.2544610147329026e-05
post_1840,12 pd,0.0
pre_1760,129,2.298797728787844e-05
industrial_1760_1840,129,2.2544610147329026e-05
post_1840,129,6.187161639597834e-05
pre_1760,12th,0.00013792786372727065
industrial_1760_1840,12th,0.00013526766088397415
post_1840,12th,3.093580819798917e-05
pre_1760,13,0.000942507068803016
industrial_1760_1840,13,0.0013977658291343996
post_1840,13,0.002753286929621036
pre_1760,13 10,0.0
industrial_1760_1840,13 10,4.508922029465805e-05
post_1840,13 10,0.0001237432327919567
pre_1760,13 13,2.298797728787844e-05
industrial_1760_1840,13 13,1.1272305073664513e-05
post_1840,13 13,6.187161639597834e-05
pre_1760,13 medenham,9.195190915151376e-05
industrial_1760_1840,13 medenham,2.2544610147329026e-05
post_1840,13 medenham,0.0
pre_1760,13 mr,4.597595457575688e-05
industrial_1760_1840,13 mr,0.0001803568811786322
post_1840,13 mr,0.0
pre_1760,13 pd,9.195190915151376e-05
industrial_1760_1840,13 pd,2.2544610147329026e-05
post_1840,13 pd,0.0
pre_1760,130,0.0
industrial_1760_1840,130,3.381691522099354e-05
post_1840,130,3.093580819798917e-05
pre_1760,135,0.0
industrial_1760_1840,135,2.2544610147329026e-05
post_1840,135,9.280742459396752e-05
pre_1760,137,2.298797728787844e-05
industrial_1760_1840,137,2.2544610147329026e-05
post_1840,137,3.093580819798917e-05
pre_1760,139,0.0
industrial_1760_1840,139,2.2544610147329026e-05
post_1840,139,9.280742459396752e-05
pre_1760,13th,4.597595457575688e-05
industrial_1760_1840,13th,6.763383044198708e-05
post_1840,13th,0.0
pre_1760,14,0.0010114710006666513
industrial_1760_1840,14,0.001115958202292787
post_1840,14,0.003588553750966744
pre_1760,14 11,6.896393186363533e-05
industrial_1760_1840,14 11,0.00010145074566298062
post_1840,14 11,6.187161639597834e-05
pre_1760,14 13,0.0
industrial_1760_1840,14 13,3.381691522099354e-05
post_1840,14 13,0.0004331013147718484
pre_1760,14 mr,4.597595457575688e-05
industrial_1760_1840,14 mr,0.00012399535581030966
post_1840,14 mr,0.0
pre_1760,14 pd,9.195190915151376e-05
industrial_1760_1840,14 pd,2.2544610147329026e-05
post_1840,14 pd,0.0
pre_1760,142,0.0
industrial_1760_1840,142,4.508922029465805e-05
post_1840,142,6.187161639597834e-05
pre_1760,144,0.0
industrial_1760_1840,144,3.381691522099354e-05
post_1840,144,3.093580819798917e-05
pre_1760,147,0.0
industrial_1760_1840,147,2.2544610147329026e-05
post_1840,147,0.0001237432327919567
pre_1760,148,0.0
industrial_1760_1840,148,2.2544610147329026e-05
post_1840,148,6.187161639597834e-05
pre_1760,14th,9.195190915151376e-05
industrial_1760_1840,14th,2.2544610147329026e-05
post_1840,14th,3.093580819798917e-05
pre_1760,15,0.0014712305464242201
industrial_1760_1840,15,0.0010821412870717932
post_1840,15,0.002010827532869296
pre_1760,15 10,0.0
industrial_1760_1840,15 10,2.2544610147329026e-05
post_1840,15 10,0.00040216550657385926
pre_1760,15 11,0.0
industrial_1760_1840,15 11,4.508922029465805e-05
post_1840,15 11,3.093580819798917e-05
pre_1760,15 mr,4.597595457575688e-05
industrial_1760_1840,15 mr,0.00012399535581030966
post_1840,15 mr,3.093580819798917e-05
pre_1760,15 pd,6.896393186363533e-05
industrial_1760_1840,15 pd,1.1272305073664513e-05
post_1840,15 pd,0.0
pre_1760,150,0.0
industrial_1760_1840,150,0.00015781227103130318
post_1840,150,0.0003712296983758701
pre_1760,154,0.0
