era,rank,term,relative_freq
pre_1760,1,pro,0.07321670766189282
pre_1760,2,anno,0.027861428472908668
pre_1760,3,mr,0.027746488586469276
pre_1760,4,pro anno,0.023194869083469346
pre_1760,5,ye,0.016252499942530058
pre_1760,6,pd,0.015861704328636123
pre_1760,7,ad,0.015447920737454312
pre_1760,8,ann,0.00986184225649985
pre_1760,9,mich,0.009241166869727133
pre_1760,10,coll,0.009011287096848349
pre_1760,11,biennio,0.008298659800924117
pre_1760,12,fest,0.007632008459575642
pre_1760,13,mic,0.007126272959242316
pre_1760,14,pro biennio,0.0069883450955150455
pre_1760,15,ad fest,0.006758465322636261
pre_1760,16,south,0.006160777913151422
pre_1760,17,rect,0.005838946231121123
pre_1760,18,merton,0.005838946231121123
pre_1760,19,stipend,0.00485046320774235
pre_1760,20,augm,0.0046665593894393235
pre_1760,21,pd mr,0.0046665593894393235
pre_1760,22,et,0.004229787820969633
pre_1760,23,capons,0.003816004229787821
pre_1760,24,hall,0.0035401485023332795
pre_1760,25,year,0.003471184570469644
pre_1760,26,clifton,0.003195328843015103
pre_1760,27,red,0.0030574009792878323
pre_1760,28,kidlington,0.0030114250247120756
pre_1760,29,sadler,0.0030114250247120756
pre_1760,30,cook,0.002988437047424197
industrial_1760_1840,1,pro,0.04019703989268766
industrial_1760_1840,2,mr,0.023592934519179827
industrial_1760_1840,3,ad,0.012760249343388229
industrial_1760_1840,4,year,0.010697417514907624
industrial_1760_1840,5,years,0.009051660974152604
industrial_1760_1840,6,mich,0.008375322669732734
industrial_1760_1840,7,coll,0.006785927654346037
industrial_1760_1840,8,kidlington,0.006774655349272372
industrial_1760_1840,9,fest,0.00661684307824107
industrial_1760_1840,10,tax,0.0063012185361784635
industrial_1760_1840,11,merton,0.006278673926031134
industrial_1760_1840,12,anno,0.00614340626514716
industrial_1760_1840,13,ad fest,0.0060532278245578434
industrial_1760_1840,14,rect,0.005929232468747534
industrial_1760_1840,15,pro anno,0.005805237112937224
industrial_1760_1840,16,rectory,0.005771420197716231
industrial_1760_1840,17,newington,0.005376889520137973
industrial_1760_1840,18,et,0.004903452707044063
industrial_1760_1840,19,money,0.00474564043601276
industrial_1760_1840,20,ann,0.004542738944686799
industrial_1760_1840,21,rent,0.004508922029465805
industrial_1760_1840,22,day,0.004452560504097483
industrial_1760_1840,23,st,0.004407471283802825
industrial_1760_1840,24,yr,0.004058029826519225
industrial_1760_1840,25,bien,0.003967851385929909
industrial_1760_1840,26,stipend,0.003900217555487922
industrial_1760_1840,27,pro bien,0.0038664006402669283
industrial_1760_1840,28,anni,0.0038100391148986057
industrial_1760_1840,29,augm,0.003663499148940967
industrial_1760_1840,30,yrs,0.0034831422677623347
post_1840,1,balance,0.012064965197215777
post_1840,2,yr,0.010951276102088167
post_1840,3,fund,0.010889404485692188
post_1840,4,mr,0.009775715390564578
post_1840,5,account,0.00825986078886311
post_1840,6,college,0.007579273008507347
post_1840,7,ad,0.0072389791183294664
post_1840,8,kidlington,0.00711523588553751
post_1840,9,rent,0.00711523588553751
post_1840,10,total,0.0067749419953596285
post_1840,11,st,0.0060324825986078886
post_1840,12,merton,0.0060324825986078886
post_1840,13,rectory,0.0059396751740139215
post_1840,14,10,0.0059396751740139215
post_1840,15,repairs,0.005537509667440062
post_1840,16,coll,0.005475638051044084
post_1840,17,school,0.005104408352668214
post_1840,18,payments,0.005011600928074246
post_1840,19,fest,0.004949729311678267
post_1840,20,newton,0.004733178654292344
post_1840,21,fees,0.004733178654292344
post_1840,22,domus,0.004609435421500387
post_1840,23,day,0.004609435421500387
post_1840,24,ad fest,0.004547563805104409
post_1840,25,acct,0.004516627996906419
post_1840,26,mich,0.004454756380510441
post_1840,27,rector,0.004392884764114462
post_1840,28,tax,0.004331013147718484
post_1840,29,stipend,0.004300077339520495
post_1840,30,close,0.004269141531322506
