era,rank,term,relative_freq
pre_1760,1,soluta,0.04390090937597993
pre_1760,2,recepta,0.02947632486672938
pre_1760,3,ad,0.02947632486672938
pre_1760,4,arrearagia,0.02383192223267482
pre_1760,5,varia,0.022264032612104107
pre_1760,6,diem,0.020696142991533398
pre_1760,7,computus,0.020382565067419253
pre_1760,8,anni,0.01975540921919097
pre_1760,9,die,0.019441831295076827
pre_1760,10,ordinaria,0.0185010975227344
pre_1760,11,eundem,0.018187519598620257
pre_1760,12,soluta varia,0.017560363750391973
pre_1760,13,eundem diem,0.017560363750391973
pre_1760,14,ad eundem,0.017560363750391973
pre_1760,15,et,0.01724678582627783
pre_1760,16,soluta ordinaria,0.01724678582627783
pre_1760,17,novembris,0.016933207902163686
pre_1760,18,die novembris,0.015051740357478834
pre_1760,19,recepta anni,0.014424584509250549
pre_1760,20,rectoris,0.012229539040451553
pre_1760,21,secundo,0.01191596111633741
pre_1760,22,secundo die,0.011288805268109126
pre_1760,23,webber,0.010975227343994982
pre_1760,24,revolutum,0.00940733772342427
pre_1760,25,rector,0.009093759799310128
pre_1760,26,diem revolutum,0.009093759799310128
pre_1760,27,arrearagia recepta,0.008780181875195987
pre_1760,28,presentis,0.008153026026967701
pre_1760,29,recepta recepta,0.00783944810285356
pre_1760,30,library,0.00783944810285356
pre_1760,31,fest,0.007525870178739417
pre_1760,32,ordinaria soluta,0.007525870178739417
pre_1760,33,nov,0.007212292254625274
pre_1760,34,anni presentis,0.006898714330511132
pre_1760,35,pro,0.006898714330511132
pre_1760,36,rectoris secundo,0.00658513640639699
pre_1760,37,act,0.006271558482282847
pre_1760,38,ad fest,0.006271558482282847
pre_1760,39,pensions,0.005644402634054563
pre_1760,40,dno,0.00533082470994042
industrial_1760_1840,1,soluta,0.04102013865962364
industrial_1760_1840,2,recepta,0.032931660614064044
industrial_1760_1840,3,ad,0.02880488610102344
industrial_1760_1840,4,varia,0.02269725982172334
industrial_1760_1840,5,die,0.02112908550676791
industrial_1760_1840,6,rents,0.019313304721030045
industrial_1760_1840,7,computus,0.01873555628920436
industrial_1760_1840,8,novembris,0.016342027071640806
industrial_1760_1840,9,arrearagia,0.015434136678771871
industrial_1760_1840,10,die novembris,0.014443710795642125
industrial_1760_1840,11,2do,0.013700891383294818
industrial_1760_1840,12,fest,0.012793000990425882
industrial_1760_1840,13,soluta varia,0.012545394519643446
industrial_1760_1840,14,diem,0.012380323539121822
industrial_1760_1840,15,2do die,0.01229778804886101
industrial_1760_1840,16,pro,0.012132717068339386
industrial_1760_1840,17,ad fest,0.011389897655992076
industrial_1760_1840,18,ad eundem,0.010482007263123143
industrial_1760_1840,19,eundem,0.010482007263123143
industrial_1760_1840,20,ordinaria,0.010316936282601519
industrial_1760_1840,21,anni,0.010069329811819083
industrial_1760_1840,22,soluta ordinaria,0.00998679432155827
industrial_1760_1840,23,rectoris,0.009904258831297457
industrial_1760_1840,24,eundem diem,0.009821723341036646
industrial_1760_1840,25,recepta varia,0.009326510399471773
industrial_1760_1840,26,money,0.009078903928689337
industrial_1760_1840,27,nos,0.008666226477385276
industrial_1760_1840,28,money rents,0.00841862000660284
industrial_1760_1840,29,recepta anni,0.008253549026081214
industrial_1760_1840,30,comprobatus,0.008171013535820403
industrial_1760_1840,31,fixed,0.008171013535820403
industrial_1760_1840,32,revolutum,0.008171013535820403
industrial_1760_1840,33,computus comprobatus,0.00808847804555959
industrial_1760_1840,34,diem revolutum,0.00808847804555959
industrial_1760_1840,35,et,0.007840871574777154
industrial_1760_1840,36,arrearagia recepta,0.007840871574777154
industrial_1760_1840,37,variable,0.007840871574777154
industrial_1760_1840,38,rents fixed,0.007758336084516342
industrial_1760_1840,39,comprobatus nos,0.00767580059425553
industrial_1760_1840,40,land,0.0075932651039947174
post_1840,1,soluta,0.03685768092547754
post_1840,2,payments,0.033091202582728005
post_1840,3,fund,0.027979553403282217
post_1840,4,domus,0.023675006725854184
post_1840,5,varia,0.020984665052461663
post_1840,6,college,0.01937046004842615
post_1840,7,rents,0.018832391713747645
post_1840,8,receipts,0.018832391713747645
post_1840,9,recepta,0.018563357546408393
post_1840,10,soluta varia,0.01668011837503363
post_1840,11,account,0.015065913370998116
post_1840,12,die,0.01425881086898036
post_1840,13,money,0.013451708366962604
post_1840,14,et,0.012644605864944848
post_1840,15,money rents,0.011837503362927092
post_1840,16,ordinaria,0.011837503362927092
post_1840,17,novembris,0.011568469195587839
post_1840,18,rents variable,0.011568469195587839
post_1840,19,variable,0.011568469195587839
post_1840,20,die novembris,0.011299435028248588
post_1840,21,soluta ordinaria,0.011030400860909336
post_1840,22,ad,0.010761366693570083
post_1840,23,computus,0.010223298358891578
post_1840,24,accounts,0.010223298358891578
post_1840,25,2do,0.009147161689534571
post_1840,26,richards,0.009147161689534571
post_1840,27,2do die,0.00887812752219532
post_1840,28,subscriptions,0.008340059187516815
post_1840,29,balance,0.008071025020177562
post_1840,30,viz,0.008071025020177562
post_1840,31,tax,0.007532956685499058
post_1840,32,summa,0.007532956685499058
post_1840,33,diem,0.006994888350820554
post_1840,34,rectoris,0.006994888350820554
post_1840,35,land,0.006994888350820554
post_1840,36,fixed,0.006725854183481302
post_1840,37,solutorum,0.006725854183481302
post_1840,38,eundem,0.006187785848802798
post_1840,39,eundem diem,0.006187785848802798
post_1840,40,ad eundem,0.006187785848802798
