year,cluster,era
1700,0,pre_1760
1701,0,pre_1760
1702,0,pre_1760
1703,0,pre_1760
1704,0,pre_1760
1705,0,pre_1760
1706,0,pre_1760
1707,0,pre_1760
1708,0,pre_1760
1709,0,pre_1760
1710,0,pre_1760
1711,0,pre_1760
1712,0,pre_1760
1713,0,pre_1760
1714,0,pre_1760
1715,0,pre_1760
1716,0,pre_1760
1717,0,pre_1760
1718,0,pre_1760
1719,0,pre_1760
1720,0,pre_1760
1721,0,pre_1760
1722,0,pre_1760
1723,0,pre_1760
1724,0,pre_1760
1725,0,pre_1760
1726,0,pre_1760
1727,0,pre_1760
1728,0,pre_1760
1729,0,pre_1760
1730,0,pre_1760
1731,0,pre_1760
1732,0,pre_1760
1733,0,pre_1760
1734,0,pre_1760
1735,0,pre_1760
1736,0,pre_1760
1737,0,pre_1760
1738,0,pre_1760
1739,0,pre_1760
1740,0,pre_1760
1741,0,pre_1760
1742,0,pre_1760
1743,0,pre_1760
1744,0,pre_1760
1745,0,pre_1760
1746,0,pre_1760
1747,0,pre_1760
1748,0,pre_1760
1749,0,pre_1760
1750,0,pre_1760
1751,0,pre_1760
1752,0,pre_1760
1753,0,pre_1760
1754,0,pre_1760
1755,0,pre_1760
1756,0,pre_1760
1757,0,pre_1760
1758,0,pre_1760
1759,0,pre_1760
1760,0,industrial_1760_1840
1761,0,industrial_1760_1840
1762,0,industrial_1760_1840
1763,0,industrial_1760_1840
1764,0,industrial_1760_1840
1765,0,industrial_1760_1840
1766,0,industrial_1760_1840
1767,0,industrial_1760_1840
1768,0,industrial_1760_1840
1769,0,industrial_1760_1840
1770,0,industrial_1760_1840
1771,0,industrial_1760_1840
1772,0,industrial_1760_1840
1773,0,industrial_1760_1840
1774,0,industrial_1760_1840
1775,0,industrial_1760_1840
1776,0,industrial_1760_1840
1777,0,industrial_1760_1840
1778,0,industrial_1760_1840
1779,0,industrial_1760_1840
1780,0,industrial_1760_1840
1781,0,industrial_1760_1840
1782,0,industrial_1760_1840
1783,0,industrial_1760_1840
1784,0,industrial_1760_1840
1785,0,industrial_1760_1840
1786,0,industrial_1760_1840
1787,0,industrial_1760_1840
1788,0,industrial_1760_1840
1789,0,industrial_1760_1840
1790,0,industrial_1760_1840
1791,0,industrial_1760_1840
1792,0,industrial_1760_1840
1793,0,industrial_1760_1840
1794,0,industrial_1760_1840
1795,0,industrial_1760_1840
1796,0,industrial_1760_1840
1797,0,industrial_1760_1840
1798,0,industrial_1760_1840
1799,0,industrial_1760_1840
1800,0,industrial_1760_1840
1801,0,industrial_1760_1840
1802,0,industrial_1760_1840
1803,0,industrial_1760_1840
1804,0,industrial_1760_1840
1805,0,industrial_1760_1840
1806,0,industrial_1760_1840
1807,0,industrial_1760_1840
1808,0,industrial_1760_1840
1809,0,industrial_1760_1840
1810,0,industrial_1760_1840
1811,0,industrial_1760_1840
1812,0,industrial_1760_1840
1813,0,industrial_1760_1840
1814,0,industrial_1760_1840
1815,0,industrial_1760_1840
1816,0,industrial_1760_1840
1817,0,industrial_1760_1840
1818,0,industrial_1760_1840
1819,0,industrial_1760_1840
1820,0,industrial_1760_1840
1821,0,industrial_1760_1840
1822,0,industrial_1760_1840
1823,0,industrial_1760_1840
1824,0,industrial_1760_1840
1825,0,industrial_1760_1840
1826,0,industrial_1760_1840
1827,0,industrial_1760_1840
1828,0,industrial_1760_1840
1829,0,industrial_1760_1840
1830,0,industrial_1760_1840
1831,0,industrial_1760_1840
1832,0,industrial_1760_1840
1833,0,industrial_1760_1840
1834,0,industrial_1760_1840
1835,0,industrial_1760_1840
1836,0,industrial_1760_1840
1837,0,industrial_1760_1840
1838,0,industrial_1760_1840
1839,0,industrial_1760_1840
1840,0,industrial_1760_1840
1841,0,post_1840
1842,0,post_1840
1843,0,post_1840
1844,0,post_1840
1845,0,post_1840
1846,0,post_1840
1847,0,post_1840
1848,0,post_1840
1849,0,post_1840
1850,0,post_1840
1851,0,post_1840
1852,0,post_1840
1853,0,post_1840
1854,0,post_1840
1855,0,post_1840
1856,0,post_1840
1857,0,post_1840
1858,0,post_1840
1859,0,post_1840
1860,0,post_1840
1861,0,post_1840
1862,0,post_1840
1863,0,post_1840
1864,0,post_1840
1865,0,post_1840
1866,0,post_1840
1867,0,post_1840
1868,0,post_1840
1869,0,post_1840
1870,0,post_1840
1871,0,post_1840
1872,0,post_1840
1873,0,post_1840
1876,0,post_1840
1877,0,post_1840
1878,0,post_1840
1879,0,post_1840
1880,0,post_1840
1881,0,post_1840
1882,0,post_1840
1883,1,post_1840
1884,1,post_1840
1885,1,post_1840
1886,1,post_1840
1889,1,post_1840
1891,1,post_1840
1892,1,post_1840
1893,1,post_1840
1894,1,post_1840
1895,1,post_1840
1896,1,post_1840
1897,1,post_1840
1898,1,post_1840
1899,1,post_1840
1900,1,post_1840
