year,rank,term,tfidf
1700,1,ye,0.4808720378566716
1700,2,pro,0.2663580185254325
1700,3,mich,0.23373028480503194
1700,4,ann,0.23048323060080772
1700,5,pro mich,0.20264671037354484
1700,6,1701,0.1978448396410855
1700,7,mr,0.18356147899112776
1700,8,hutchins,0.14604129116602532
1700,9,batts,0.1335284785099
1700,10,2th,0.1335284785099
1700,11,1700,0.13191227192497654
1700,12,anno,0.12721701943530822
1700,13,ann mich,0.12254783776889965
1700,14,southn,0.10445216183392396
1700,15,ye coll,0.1001618255288698
1701,1,ye,0.39068291552826734
1701,2,1701,0.32372487612242473
1701,3,ann,0.27870563336336923
1701,4,1700,0.26380724725693866
1701,5,mich,0.21339192111467367
1701,6,hutchins,0.18585854834566853
1701,7,ann mich,0.15317475426722446
1701,8,6r,0.15074699843253642
1701,9,comoners,0.13826511579435308
1701,10,anno,0.13390387259379874
1701,11,cista,0.11960576431953432
1701,12,ye lease,0.11306024882440231
1701,13,red,0.10857762423520805
1701,14,hutchins ye,0.10790829204080825
1701,15,southn,0.10444531384887165
1702,1,ye,0.5324038104068274
1702,2,mr,0.24170742093270411
1702,3,mich,0.21075415551385324
1702,4,pro,0.20997713993819306
1702,5,pro mic,0.1810740101082791
1702,6,ann,0.17600792633645332
1702,7,reed mr,0.15542103420009376
1702,8,reed,0.13767084478999234
1702,9,anno,0.12728934411895398
1702,10,mic,0.12531367865090393
1702,11,ye college,0.12364653312044141
1702,12,cudlington,0.1163584413259056
1702,13,1700,0.09770485919226635
1702,14,pro anno,0.09548223880810205
1702,15,pro sexquianno,0.09325262052005626
1703,1,ye,0.3304370551096901
1703,2,15r,0.28957495236707514
1703,3,ann,0.26940274528271135
1703,4,pro,0.2348670320061647
1703,5,mich,0.23409909544332008
1703,6,mr,0.18305523431163415
1703,7,ann 15r,0.15785816487329812
1703,8,anno,0.15424255075433058
1703,9,mich 15r,0.1506648458082762
1703,10,mic,0.1349764826361859
1703,11,5s,0.12244298628265221
1703,12,item,0.10937229759289169
1703,13,et officiarijs,0.10486367322821391
1703,14,officiarijs,0.10486367322821391
1703,15,ye yard,0.10163525622930958
