acct,category,direction,first_year,last_year,n_years,total_real,break_year
various miscellaneous receipts varia,financial,income,1822,1856,15,15062.390404307589,1845
unclear possible transcription error,other,expenditure,1700,1898,30,4435.406992079842,1835
unclear possible transcription error ,other,income,1708,1884,15,899.5007980750302,1755
payment to the vicar of south newington,ecclesiastical,expenditure,1736,1873,40,719.6697023945967,1765
payment to the rector dno rectori,salary_stipend,expenditure,1809,1856,20,706.1379812618761,1840
payment to the curate of south newington,ecclesiastical,expenditure,1700,1752,19,296.49173540683495,1718
stipend paid at the feast of st john the,salary_stipend,expenditure,1812,1856,18,269.23268470955435,1830
payment for river water supplied by the,domestic,expenditure,1823,1862,23,123.89882742689802,1852
annual rent from clifton ferry clifton,land_rent,income,1702,1846,15,74.74806798709503,1823
payment to all souls college coll omn,administrative,expenditure,1700,1873,20,52.35638082663007,1850
alms given to the poor pauperibus,charitable,expenditure,1700,1819,18,48.197053718262126,1719
payment to all souls college coll omni,administrative,expenditure,1717,1881,15,45.29347289438909,1747
payment to the city of oxford municipal,administrative,expenditure,1701,1869,19,43.86914743621674,1858
subscription to the diocesan board of ed,ecclesiastical,expenditure,1841,1870,16,33.01694289332276,1854
payment to st johns college college of,administrative,expenditure,1700,1876,32,30.89447778385777,1855
alms distributed to the poor pauperibus,charitable,expenditure,1700,1817,17,28.921496918991412,1740
payment to balliol college coll ball,administrative,expenditure,1743,1876,31,25.970913476536396,1812
payment to the college of st john the ba,administrative,expenditure,1720,1881,27,23.429993342329187,1801
payment to balliol college coll ballio,administrative,expenditure,1711,1850,16,19.220572826677238,1830
payment to the librarian bibliothecario,salary_stipend,expenditure,1700,1767,17,12.800031047632723,1752
