side,category,n1854,p1854,n1877,p1877
expenditure,administrative,0.078,0.861,-0.337,0.527
expenditure,charitable,-0.367,0.13,1.656,0.0
expenditure,domestic,-0.488,0.22,-1.182,0.297
expenditure,ecclesiastical,0.006,0.945,-0.525,0.009
expenditure,educational,-0.577,0.045,1.252,0.061
expenditure,financial,0.493,0.407,-0.369,0.341
expenditure,maintenance,0.048,0.848,0.248,0.554
expenditure,salary_stipend,-0.995,0.0,2.081,0.069
income,land_rent,-0.163,0.05,0.026,0.947
income,financial,0.667,0.033,-0.264,0.213
income,educational,-3.162,0.162,1.734,0.276
income,administrative,-1.223,0.24,-0.208,0.801
