side,category,break_full,t_full,break_pre1854,t_pre1854
expenditure,administrative,1881,4.01,1832,2.15
expenditure,charitable,1889,3.37,1848,1.95
expenditure,domestic,1896,6.36,1849,2.97
expenditure,ecclesiastical,1857,9.8,1829,1.38
expenditure,educational,1889,7.71,1827,4.63
expenditure,financial,1749,3.87,1826,1.24
expenditure,maintenance,1736,3.24,1835,1.4
expenditure,salary_stipend,1705,4.52,1844,1.6
income,land_rent,1806,16.59,1824,1.51
income,financial,1740,9.85,1847,1.65
income,educational,1881,10.12,1836,1.47
income,administrative,1712,5.0,1833,2.25
