level,definition,late_minus_early,its_1877_norm,precursor_year,precursor_t
L1,old: 1-traditional,0.009,0.07,1825,2.9
L1,new: maint+domestic,0.029,-0.35,1824,2.8
L1,alt: ecclesiastical,-0.038,-0.52,1829,1.4
L2,old: payment-modernity,-0.035,0.03,1847,3.1
L2,new: individual awards,0.001,1.69,1844,2.5
L2,alt: person density,-0.195,-0.11,1824,3.8
L3,old: salary share,-0.05,2.08,1844,1.6
L3,new: admin share,0.005,-0.34,1832,2.1
L3,alt: salary+admin,-0.045,0.27,1842,2.5
L4,old: educational spend,0.117,1.25,1827,4.6
L4,new: new-revenue (L4A),0.287,1.34,1826,1.9
L4,alt: L4A+L4B,0.404,1.33,1827,3.4
