year,p_tight_coupling
1802,0.1374404442403622
1803,0.4755299942751505
1804,0.26417156945502285
1805,0.3072630132564903
1806,0.33516058065235504
1807,0.3349655574192939
1808,0.2818569434590401
1809,0.5965018974430703
1810,0.46661567386802205
1811,0.4020131559076156
1812,0.3406434495720808
1813,0.3452531055130463
1814,0.3116227500172734
1815,0.015664925630785045
1816,0.9204492170222873
1817,0.9263374756548303
1818,0.35731569245884276
1819,0.3753322603055551
1820,0.3803561097273765
1821,0.33727764493021906
1822,0.34826736164955296
1823,0.49251349056920546
1824,0.3305399427960002
1825,0.5351386472341756
1826,0.35044605000253726
1827,0.2845600422409009
1828,0.4143745008902064
1829,0.06904723056199569
1830,0.36900232545625994
1831,0.4098886704062187
1832,0.33975414877655724
1833,0.7444190835576451
1834,0.3654595361292827
1835,0.05130628936048522
1836,0.3562476509524991
1837,0.3814544195057166
1838,0.23091945332525005
1839,0.4388621424577749
1840,0.39302520493782317
1841,0.3540291772481013
1842,0.34850069641010484
1843,0.386530087363289
1844,0.15717320180527408
1845,0.611401393318893
1846,0.9566895800443183
1847,0.3306172372414921
1848,0.366932016992488
1849,0.24549730349436977
1850,0.4875977438602647
1851,0.38863062784952435
1852,0.4083371376642332
1853,0.6107667259918622
1854,0.336742039527013
1855,0.37014708400868646
1856,0.1853149117532745
1857,0.8858517024016536
1858,0.37237458811704444
1859,0.3434346322322977
1860,8.588270441304303e-08
1861,0.4602525027989892
1862,0.378657763293342
1863,0.09523136856120532
1864,0.41236788272727043
1865,0.3089746792363891
1866,0.05125615665263974
1867,0.3350137621951404
1868,0.23709590357952953
1869,0.617062185605808
1870,0.20257848528578706
1871,0.5983722246331987
1872,0.3996022756592027
1873,0.1953884578970066
1874,0.23459006015782838
1875,0.3347706305473229
1876,0.34743886658816325
1877,0.376561020008504
1878,0.36775276352311853
1879,0.1154113924792641
1880,0.42920116378262374
1881,0.6029267653985869
1882,0.12232569234896384
1883,0.9123383247063013
1884,0.5309643682665677
1885,0.16634690661905335
1886,0.33326315679439844
1887,0.4321904127600317
1888,0.41441845352700296
1889,0.3982256413444786
1890,0.5233733216341168
1891,0.35267529597466846
1892,0.4338956745348695
1893,0.3236619706692981
1894,0.0721764950938962
1895,0.3184985088719429
1896,0.28092130439033386
1897,0.053415048537058
1898,0.7867742029588796
1899,0.023845977549766164
1900,0.5341027588475986
