system,regime,n,direction,F,p,granger
A,tight era (1800-1819),19,income -> expenditure,1.41,0.2447,no
A,tight era (1800-1819),19,expenditure -> income,9.93,0.0037,yes
A,"loose, pre-reform (1820-1853)",34,income -> expenditure,7.3,0.009,yes
A,"loose, pre-reform (1820-1853)",34,expenditure -> income,0.36,0.5492,no
A,post-reform (1854-1900),47,income -> expenditure,0.13,0.719,no
A,post-reform (1854-1900),47,expenditure -> income,0.06,0.8109,no
B,tight era (1800-1819),19,rev_L4 -> exp_L4,0.37,0.5453,no
B,tight era (1800-1819),19,exp_L4 -> rev_L4,0.02,0.8872,no
B,"loose, pre-reform (1820-1853)",34,rev_L4 -> exp_L4,0.0,0.9891,no
B,"loose, pre-reform (1820-1853)",34,exp_L4 -> rev_L4,0.01,0.9189,no
B,post-reform (1854-1900),47,rev_L4 -> exp_L4,0.05,0.8179,no
B,post-reform (1854-1900),47,exp_L4 -> rev_L4,0.28,0.5996,no
C,tight era (1800-1819),19,rev_int -> exp_int,3.08,0.0893,no
C,tight era (1800-1819),19,exp_int -> rev_int,0.49,0.4889,no
C,"loose, pre-reform (1820-1853)",34,rev_int -> exp_int,0.62,0.4327,no
C,"loose, pre-reform (1820-1853)",34,exp_int -> rev_int,0.42,0.5192,no
C,post-reform (1854-1900),47,rev_int -> exp_int,0.09,0.7703,no
C,post-reform (1854-1900),47,exp_int -> rev_int,0.94,0.3344,no
A,pre-Industrial-Rev (1700-1749),49,income -> expenditure,3.78,0.055,no
A,pre-Industrial-Rev (1700-1749),49,expenditure -> income,0.05,0.8246,no
