year,A_income,A_expenditure,B_rev_L4,B_exp_L4,C_rev_int,C_exp_int
1800,2242.913696329072,2085.8540232710584,0.049340545250334336,0.009021532943670415,1.2742946163755653,1.5577187335974063
1801,2297.7040269575155,1937.4126817806566,0.05183006286154891,0.0015241685189547973,1.3065383803851063,1.6878786093253233
1802,1088.2635938173532,1134.1643766549664,0.0,0.1428975615756756,1.0,1.7090274055175818
1803,1889.0182333691948,1768.8572111649032,0.05725923448526632,0.0,1.4324228563273682,2.049554174207255
1804,1658.4323107182256,1239.2594568309817,0.016715138343261524,5.856511086009454e-06,1.2369620064719848,1.9378363563761616
1805,2044.13500211685,1391.5246613039797,0.023315053320121154,0.0,1.1468076249875068,1.6391676317425854
1806,1383.0944142362828,1520.2875267754162,0.017279207370343896,0.0023104557011185923,1.2740331237319598,1.9420375492634554
1807,1234.3328018878015,1280.862696534574,0.031081043115875926,0.0,1.2147382596896457,1.7462046326628862
1808,1209.653125162837,1069.5145999426816,0.0,0.002484768044543121,1.0,1.8071086850904519
1809,1910.1778819285678,2094.497789971041,0.07433068719522383,0.002164895939455683,1.6870870547407157,1.7419533971379688
1810,1333.696948574969,2616.370817843866,0.041636530929791166,0.0011650975147546457,1.3273380920777516,1.6262037488628058
1811,2353.3004231980867,1479.2330878910943,0.020216957305588444,0.0,1.26644611418523,1.9348932960961471
1812,2145.375781835569,2052.874861078804,0.006927148794967878,0.0009914666979319656,1.1807367280878682,1.5565031923058867
1813,1554.8120287099032,1839.5104525705533,0.023450964175116745,0.0,1.2819810157002858,2.14543243754668
1814,1557.7127551847052,1273.8746219485852,0.011931132704597745,0.022839586319831053,1.1915776786137502,1.6270759251299287
1815,1706.1110247911056,279.7566639044265,0.007648891687332453,0.0009904579711039288,1.5105781385490444,2.108621618781207
1816,3928.72035168066,1417.102645379244,0.06989696563572338,0.00016084091119493264,2.0250193885115495,1.6747708819725202
1817,2161.4201115984197,2981.9077757030996,0.003802501782488109,0.006926660795218218,1.2322200074242524,1.7521353964729243
1818,1661.0722733879102,2732.9889841735253,0.0716633989836748,0.09727713355040536,1.3802508879632605,2.1082419820235994
1819,1695.1574830087125,2484.070192643951,0.0,0.18762760630559253,1.0,2.4643485675742745
1820,2015.8136406176882,2441.6422944938386,0.008059036407364367,0.0020506767912178646,1.0701580324774091,1.5471578969996294
1821,2443.85462826194,2013.257214783755,0.0016767670079843437,0.012305070689071138,1.0203456012297287,1.7418594504213682
1822,1985.2132272050735,2312.4464100821847,0.0,0.0025041637680253224,1.0,1.3823527186975821
1823,3029.470187758601,3550.753239206765,0.008657243095222871,0.024437748548154527,1.2212930630296497,1.327684300966758
1824,2870.2936493934203,2814.257464630171,0.0009659140281633455,0.004623473325562863,1.0251489111668937,1.3514614977262602
1825,3785.3245738027927,4943.483894457295,0.0007739991725337793,0.0,1.0587757258453598,1.63469262256048
1826,3069.248003180928,3610.2778287541946,0.010113313888029286,0.05184792183962091,1.1327617118666542,2.1827037019542614
1827,2115.3987639788115,2624.1422093209912,0.021143879451852674,0.010301419535612007,1.553277823133488,1.2587563211935302
1828,8036.298435849812,3012.205697585491,0.007356615877392001,0.026181535437845634,1.2249637498498445,1.5546995325064277
1829,2927.319877624653,2625.3266287265897,0.06289745213698461,0.005477780498269044,1.3795219966020578,1.5750173029975085
1830,3024.2487409730143,2895.718714367161,0.006161397751254774,0.007122337967734135,1.4927200271153793,1.604321856060804
1831,2252.2055530142757,3331.1140812320123,0.0015063494905359943,0.010034412384310128,1.366555984346836,1.5977596605018842
1832,3287.40633482433,2715.91853997018,0.001035019868165798,0.004164890605637911,1.8875090837703623,1.7498467446892487
1833,6790.442092751289,7316.953758555242,0.13045804409278752,0.0019087688408224999,2.562011513113879,1.416402154448944
1834,8948.005595293032,5606.073825180742,0.34242728132018135,0.0009028995035553275,2.8248499205270523,1.3621208169089392
1835,3346.182865683155,3120.1909169800406,0.0017289440726214141,0.00817688777638715,1.0078041801139734,1.7085776200200793
1836,2628.2143340683147,3661.325964179335,0.05913778440516562,0.005190232589774185,1.3233076460613353,1.6521626388305324
1837,3845.4128596093033,3201.0696133775627,0.007841381495663909,0.006896470747760295,1.107324803273107,1.343884659175897
1838,2363.715683127091,2657.8247820842084,0.037693789152360484,0.010980840720617672,1.3870593296250189,1.6141572522025467
1839,3169.09321761021,3538.3216975977207,0.01388599436978349,0.0021282114699016125,1.2295491903323696,1.892800222863943
1840,1924.8330152671756,3608.3498483069093,0.0,6.509336235864443e-05,1.0,1.6229507962474001
1841,3112.1339807544714,4209.324020504949,0.0019917886143197747,0.0,1.0416058494988052,1.4936826322975465
1842,2669.317203822412,3149.2684591642924,0.0,0.0229252018002015,1.0248101609258269,2.194421297302529
1843,5281.729898947704,3354.1548556822027,0.004897505122949011,0.0002668774504307569,1.1119529071367142,1.4984760663988348
1844,707.4895495819833,2727.2678407136286,0.0,0.008295263339547065,1.0,2.0535953006877246
1845,2743.4967320261435,1191.121166415284,0.002528947746991606,0.0050651291185831145,1.0133655311345853,2.0081702828957217
1846,4886.163603089864,5718.244459273639,0.015635439328996307,0.005607743513145663,1.3846090075967683,1.9269569267755804
1847,3313.1633929116088,3626.082143801216,0.0032635100224049857,0.027860846299470412,1.0824065326729264,1.7896649853895936
1848,4041.376569337096,3967.5678853310437,0.008848452153312035,0.0,1.2974478764563688,1.3188734494527061
1849,2033.296578454959,2794.664888038986,0.006067635170794449,0.009166713801620248,1.2022061245349012,1.884139941996288
1850,5629.129187344914,6326.089485111663,5.9693336960851494e-05,0.003694476365586455,1.4359280944890127,1.7292710215703804
1851,2836.710326733079,5566.734052802033,0.049397814537355006,0.0013775933724548986,1.3319541532205037,1.869196348097172
1852,4241.397550394213,2841.304585263757,0.0015091435685107015,0.0001830396243910692,1.0113139355210434,1.772736026697866
1853,3369.7060467786782,6154.248005560257,0.00014348448714104355,0.03553984826974685,1.002078743226491,2.6254071087335142
