break_year,wald
1816,0.00013841914034445823
1817,8.22033191136674
1818,15.036572150168814
1819,16.81366070235646
1820,14.504518296620997
1821,11.477983432911744
1822,11.903204062006447
1823,12.000390179569395
1824,10.146154399713284
1825,10.078866364832288
1826,10.62284612662653
1827,10.532890533395594
1828,11.442494585192465
1829,11.119288876261885
1830,3.773735251609309
1831,3.730745261061772
1832,3.759962991686833
1833,3.8072084684759915
1834,4.897978938239656
1835,4.813917960146251
1836,2.450289664512957
1837,2.403971796777237
1838,2.356852207324704
1839,2.1588131121944047
1840,2.035629057724887
1841,1.9612595267141242
1842,1.3003312355230137
1843,1.3973681570125152
1844,1.3903249183548598
1845,1.037784747257584
1846,3.7355698260613934
1847,6.927211541088313
1848,6.87198763915151
1849,6.858255933513699
1850,6.729065824381763
1851,5.268022411682694
1852,5.154180471687309
1853,7.117274584742013
1854,8.04691068250021
1855,6.484095194644459
1856,5.674625479503526
1857,6.937071137785615
1858,9.36027685968459
1859,9.378729489155322
1860,7.505220273408933
1861,1.9491556951039963
1862,1.8254228139974895
1863,1.8252313238822986
1864,1.0731828191448831
1865,1.526702935704147
1866,1.4411312313389861
1867,0.44101495051185075
1868,0.23633589471919714
1869,0.11603461714919698
1870,0.8850536613028942
1871,0.06523739565446197
1872,0.1825271633115188
1873,0.15882717824069056
1874,0.17332112267063263
1875,0.12216204647274177
1876,0.11848435851565894
1877,0.11772124395375384
1878,0.1159797858285119
1879,0.33583839301588514
1880,0.2412855350862529
1881,0.27092992579943254
1882,0.05089279645871717
1883,0.015812798583627094
1884,1.525339111348238
1885,1.5111802287877059
