system,equation,term,coef,p
A,income,const,0.0236,0.7657
A,income,L1.income,-0.5576,0.0
A,income,L1.expenditure,-0.1122,0.4622
A,income,L2.income,-0.3917,0.0001
A,income,L2.expenditure,-0.1628,0.2876
A,expenditure,const,0.0215,0.692
A,expenditure,L1.income,0.1058,0.1124
A,expenditure,L1.expenditure,-0.5009,0.0
A,expenditure,L2.income,0.0883,0.1928
A,expenditure,L2.expenditure,-0.216,0.0394
B,rev_L4,const,0.0029,0.8242
B,rev_L4,L1.rev_L4,-0.5298,0.0
B,rev_L4,L1.exp_L4,-0.0957,0.5089
B,exp_L4,const,0.0033,0.7046
B,exp_L4,L1.rev_L4,0.0247,0.6681
B,exp_L4,L1.exp_L4,-0.3782,0.0001
C,rev_int,const,0.012,0.8428
C,rev_int,L1.rev_int,-0.3368,0.0007
C,rev_int,L1.exp_int,-0.0498,0.7345
C,exp_int,const,0.0073,0.8465
C,exp_int,L1.rev_int,-0.017,0.7842
C,exp_int,L1.exp_int,-0.5007,0.0
