year,ratio
1800,
1801,
1802,
1803,
1804,
1805,
1806,
1807,
1808,0.7858849520824045
1809,0.9425796593196912
1810,0.9238985067868132
1811,0.9305112014729511
1812,0.9637342136194551
1813,0.942206596514779
1814,0.9754487556574961
1815,1.4289184030291262
1816,1.6218773058492568
1817,1.7209915782727705
1818,1.7833972237097477
1819,1.7716927043740422
1820,1.7771960174210861
1821,1.8445024458084402
1822,1.823582904612155
1823,1.77449734208736
1824,1.8025800806262269
1825,1.8923009530270207
1826,1.9709861812251375
1827,1.901608487063703
1828,1.4016900307969942
1829,1.1904923328735908
1830,0.9112531691063894
1831,0.6035725892129501
1832,0.5074330297316964
1833,0.6816294393017566
1834,0.6946045405555308
1835,0.6731451859321577
1836,0.666075101585892
1837,0.6636717652590203
1838,0.6369020380927355
1839,0.6361504817360212
1840,0.5799815451438014
1841,0.5580959425071705
1842,0.5610614106674421
1843,0.6391148522272363
1844,0.4974804516400395
1845,0.5122421170744051
1846,0.7214233584032843
1847,0.7327142315848891
1848,0.6751917364978385
1849,0.668930989490257
1850,0.6873577235730067
1851,0.6731078868102761
1852,0.7053821517647509
1853,0.7490315612413723
1854,0.7481225479209789
1855,0.7554423093355029
1856,0.8387446518800086
1857,0.9249515646571801
1858,0.9091704390513276
1859,0.572905121547312
1860,0.4418315430720904
1861,0.38428963308815794
1862,0.3696820194756117
1863,0.3646855732314183
1864,0.38195233991339045
1865,0.3597204764409822
1866,0.3589351399386052
1867,0.34652544438733324
1868,0.3296599441255427
1869,0.34532989931625163
1870,0.3671463559271826
1871,0.33362261417837735
1872,0.2726864379658488
1873,0.28261326765609335
1874,0.3650612934622412
1875,0.5065978859634047
1876,0.496374138466336
1877,0.5472651316244752
1878,0.6041676008986291
1879,0.5650906098074687
1880,0.691784224247571
1881,0.7094948992058038
1882,0.7569987248245288
1883,0.8796986060366917
1884,0.8277097747327717
1885,1.194226994104202
1886,1.2033749286517266
1887,1.2110311957811202
1888,1.1716462568339163
1889,1.1740454875130897
1890,1.2014382960734047
1891,1.2055262216910376
1892,1.3610029800744832
1893,1.2894845393989662
1894,1.1794913764161334
1895,1.1752291732047628
1896,1.5152761249808535
1897,1.5104054342479207
1898,1.3651915296040935
1899,1.0493225949976053
1900,1.077888364906583
