treatment,tau,wald
raw (v16/v17),1812,1.108819231704481
raw (v16/v17),1813,1.096001883244369
raw (v16/v17),1814,1.2685723121649215
raw (v16/v17),1815,2.983839702738389
raw (v16/v17),1816,2.969333184697749
raw (v16/v17),1817,3.2369329133910214
raw (v16/v17),1818,12.832439072986766
raw (v16/v17),1819,14.444605634026956
raw (v16/v17),1820,12.852024462709
raw (v16/v17),1821,10.058137231024242
raw (v16/v17),1822,11.642098825730924
raw (v16/v17),1823,12.299296335587398
raw (v16/v17),1824,12.990096557534452
raw (v16/v17),1825,14.982506223026757
raw (v16/v17),1826,15.95740182024081
raw (v16/v17),1827,17.57461150494119
raw (v16/v17),1828,18.71516493142535
raw (v16/v17),1829,18.54332497930788
raw (v16/v17),1830,13.505241059192219
raw (v16/v17),1831,9.79537099655403
raw (v16/v17),1832,10.018647421114116
raw (v16/v17),1833,10.243818138888752
raw (v16/v17),1834,9.240473073556076
raw (v16/v17),1835,9.382577178969312
raw (v16/v17),1836,6.159147646488432
raw (v16/v17),1837,5.83482130853574
raw (v16/v17),1838,5.851450492006524
raw (v16/v17),1839,5.936918805395596
raw (v16/v17),1840,6.0322388689396815
raw (v16/v17),1841,5.879330935576604
raw (v16/v17),1842,4.473133541801793
raw (v16/v17),1843,4.844132496836796
raw (v16/v17),1844,4.720022985368167
raw (v16/v17),1845,4.238823726982379
raw (v16/v17),1846,6.000888802199417
raw (v16/v17),1847,3.571143248634312
raw (v16/v17),1848,3.5759783275161587
raw (v16/v17),1849,3.55645580710597
raw (v16/v17),1850,3.550831115826674
raw (v16/v17),1851,3.2744123806794283
raw (v16/v17),1852,3.0950905048618593
raw (v16/v17),1853,3.9497732780564987
raw (v16/v17),1854,3.859373105692563
raw (v16/v17),1855,3.5121213127433686
raw (v16/v17),1856,2.860165188664556
raw (v16/v17),1857,5.861280276757343
raw (v16/v17),1858,6.748796485046696
raw (v16/v17),1859,6.9534504759938365
raw (v16/v17),1860,5.774211168266735
raw (v16/v17),1861,1.1434867671144182
raw (v16/v17),1862,0.0456433977999368
raw (v16/v17),1863,0.04539287114051284
raw (v16/v17),1864,0.022077004150441445
raw (v16/v17),1865,0.2363738573126717
raw (v16/v17),1866,0.23719184126450907
raw (v16/v17),1867,0.14395446754735866
raw (v16/v17),1868,0.007868816828354294
raw (v16/v17),1869,0.001472519385797348
raw (v16/v17),1870,0.33135916185843056
raw (v16/v17),1871,0.10361780636092109
raw (v16/v17),1872,0.23694214314506096
raw (v16/v17),1873,0.23628786761202566
raw (v16/v17),1874,0.2044435578463012
raw (v16/v17),1875,0.2262848482980152
raw (v16/v17),1876,0.23996030241927718
raw (v16/v17),1877,0.24554555909287712
raw (v16/v17),1878,0.24506868234454193
raw (v16/v17),1879,0.09646904902723058
raw (v16/v17),1880,0.061712311298797666
raw (v16/v17),1881,0.04758319482693992
raw (v16/v17),1882,0.043396445352271586
raw (v16/v17),1883,0.04282627143781505
raw (v16/v17),1884,0.3358910560627398
raw (v16/v17),1885,0.7099529337673113
masked (default),1812,0.4609977070001716
masked (default),1813,0.28658873014961495
masked (default),1814,0.2635603651396476
masked (default),1815,0.8196643626484406
masked (default),1816,1.126361642784871
masked (default),1817,2.368393746473428
masked (default),1818,8.554842108637688
masked (default),1819,9.466520525929718
masked (default),1820,8.057807471314902
masked (default),1821,6.091862396925482
masked (default),1822,6.671714320420431
masked (default),1823,6.855762356294945
masked (default),1824,7.1204712741167935
masked (default),1825,7.720297513952843
masked (default),1826,7.754422257364722
masked (default),1827,8.219879300178834
masked (default),1828,8.775718649185242
masked (default),1829,8.61622739907221
masked (default),1830,6.924644451610187
masked (default),1831,4.990748896240714
masked (default),1832,5.0678675816803604
masked (default),1833,5.135552432389564
masked (default),1834,4.373520543757783
masked (default),1835,4.426234124431913
masked (default),1836,3.0409955040151595
masked (default),1837,2.782561721008483
masked (default),1838,2.7747187141833067
masked (default),1839,2.842660480850934
masked (default),1840,2.901823715638798
masked (default),1841,2.7953505470570357
masked (default),1842,2.070987010497745
masked (default),1843,2.218997814860956
masked (default),1844,2.1561387640660716
masked (default),1845,1.9139567581558026
masked (default),1846,2.754294869939876
masked (default),1847,1.4722523587519114
masked (default),1848,1.419475628086035
masked (default),1849,1.4179815269451619
masked (default),1850,1.4281663675304126
masked (default),1851,1.2799057541327614
masked (default),1852,1.1607022616497713
masked (default),1853,1.6682891141543048
masked (default),1854,1.5654550552075064
masked (default),1855,1.4038129500001533
masked (default),1856,1.0311559468898375
