model,mechanism,proxy,lambda_pre,theta,p_theta,gamma,p_gamma,n,theta_retained_pct
baseline (no rival),M1 decision rule,-,0.7162230344666649,-0.4165463092808506,0.02091694693565753,,,95,100.0
+ eff_income_sources,M2 diversification,eff_income_sources,0.6259938730293453,-0.26814790267565913,0.2843343599639133,0.13043513199839193,0.2483172112769293,95,64.37409159586723
+ new_income_share,M2 diversification,new_income_share,0.7269777408381299,-0.3975518486615989,0.05087758151953411,-0.01818090923111577,0.8372100572833648,95,95.44001226369167
+ institutional_pay_share,M3 governance,institutional_pay_share,0.6522980268070601,-0.42021992023950805,0.09803672452367168,-0.020985683799568944,0.8853991870792476,95,100.88192137988204
+ distinct_persons_per_page,M3 governance,distinct_persons_per_page,0.6522142711309254,-0.2769104991437321,0.1607065927376814,0.07215549164775323,0.5486784386946231,95,66.47772239821455
+ persons_per_row,M3 governance,persons_per_row,0.6848899989710373,-0.3291947580804313,0.0906051004407773,0.13818787153433143,0.3112803444002571,95,79.02957024124687
+ sig_per_page,M3 governance,sig_per_page,0.7100347706831471,-0.34235664452293857,0.1173488529684236,0.20654391826012314,0.02827874074566382,95,82.18933571011651
+ mean_horizon_yrs,M4 planning horizon,mean_horizon_yrs,0.7277808856281903,-0.47909100112371616,0.02742965253062577,-0.08713427258714714,0.5763064662606614,92,115.01506325931594
+ multiyear_share,M4 planning horizon,multiyear_share,0.6146538496790889,-0.31344993504080354,0.06375911574734003,0.12683018463845314,0.09053473238028549,95,75.24972087304324
+ invest_spend_share,M5 financial mgmt,invest_spend_share,0.6693431269735985,-0.40117972677343383,0.037011788557309126,-0.08856811192926954,0.4731964627764026,95,96.31095458895157
+ sec_income_share,M5 financial mgmt,sec_income_share,0.708443570162018,-0.3997223496905069,0.04074455601005068,-0.0632515023311097,0.5154956336545107,95,95.96108302594504
+ rows_per_page,M6 accounting,rows_per_page,0.7156092137652356,-0.4090772436594792,0.02319246980036324,-0.008414893715665919,0.9673774564811661,95,98.20690630190278
+ rows_per_year,M6 accounting,rows_per_year,0.7210088888460169,-0.42059512149393535,0.03785309743317413,0.0296241078577531,0.7924995967498012,95,100.97199569960776
+ pages_per_year,M6 accounting,pages_per_year,0.716729111427211,-0.38897037883748786,0.0655317002301119,0.02032059784649158,0.8772973020393862,95,93.37986441628269
+ sections_per_page,M6 accounting,sections_per_page,0.6349749525803635,-0.29894455893083904,0.12064077078706065,-0.2578802239023429,0.3296987715534425,95,71.76742471850345
+ subtotal_ratio,M6 accounting,subtotal_ratio,0.6769082951888652,-0.35317106561158923,0.05888358051437417,-0.15732377734522712,0.32547503106037723,95,84.78554670699735
+ latin_share,M6 accounting,latin_share,0.55910364921555,-0.1335352857096823,0.658874214712053,0.2094409950773821,0.18305116840951463,95,32.05772869293338
+ arrears_share,M6 accounting,arrears_share,0.6876804322037834,-0.33903799610718066,0.1764814346726542,0.08797286858804672,0.6252201983695228,95,81.39262995572216
+ _trend_placebo,PLACEBO,_trend_placebo,0.46308944812638436,-0.028849156328815795,0.9463027084871636,-0.23510096980922032,0.30115367770891843,95,6.925798089202286
