era,term,relative_freq
pre_1760,ab,0.00038583037931949165
industrial_1760_1840,ab,7.341784543096275e-05
post_1840,ab,0.0
pre_1760,ab greenway,9.645759482987291e-05
industrial_1760_1840,ab greenway,1.2236307571827126e-05
post_1840,ab greenway,0.0
pre_1760,ab mason,9.645759482987291e-05
industrial_1760_1840,ab mason,1.2236307571827126e-05
post_1840,ab mason,0.0
pre_1760,abt,0.00043405917673442813
industrial_1760_1840,abt,7.341784543096275e-05
post_1840,abt,0.0
pre_1760,abt ye,0.000313487183197087
industrial_1760_1840,abt ye,3.6708922715481375e-05
post_1840,abt ye,0.0
pre_1760,acc,0.00021702958836721407
industrial_1760_1840,acc,0.0006852332240223191
post_1840,acc,0.000282845424975251
pre_1760,acc day,2.411439870746823e-05
industrial_1760_1840,acc day,3.6708922715481375e-05
post_1840,acc day,0.0
pre_1760,acc kidlington,0.0
industrial_1760_1840,acc kidlington,4.89452302873085e-05
post_1840,acc kidlington,3.5355678121906375e-05
pre_1760,accd,4.822879741493646e-05
industrial_1760_1840,accd,1.2236307571827126e-05
post_1840,accd,0.0
pre_1760,acco,7.234319612240469e-05
industrial_1760_1840,acco,2.447261514365425e-05
post_1840,acco,0.0
pre_1760,according,0.0
industrial_1760_1840,according,2.447261514365425e-05
post_1840,according,7.071135624381275e-05
pre_1760,accot,4.822879741493646e-05
industrial_1760_1840,accot,3.6708922715481375e-05
post_1840,accot,0.0
pre_1760,accot mr,2.411439870746823e-05
industrial_1760_1840,accot mr,2.447261514365425e-05
post_1840,accot mr,0.0
pre_1760,accounted,4.822879741493646e-05
industrial_1760_1840,accounted,6.118153785913563e-05
post_1840,accounted,0.0
pre_1760,accts,0.00012057199353734115
industrial_1760_1840,accts,2.447261514365425e-05
post_1840,accts,7.071135624381275e-05
pre_1760,acorns,0.0
industrial_1760_1840,acorns,3.6708922715481375e-05
post_1840,acorns,3.5355678121906375e-05
pre_1760,acquittance,2.411439870746823e-05
industrial_1760_1840,acquittance,3.6708922715481375e-05
post_1840,acquittance,0.00035355678121906376
pre_1760,act,0.0007475463599315151
industrial_1760_1840,act,0.0002569624590083696
post_1840,act,0.00021213406873143826
pre_1760,act dinner,7.234319612240469e-05
industrial_1760_1840,act dinner,2.447261514365425e-05
post_1840,act dinner,0.0
pre_1760,acts,2.411439870746823e-05
industrial_1760_1840,acts,2.447261514365425e-05
post_1840,acts,0.0
pre_1760,ad,0.01620487593141865
industrial_1760_1840,ad,0.013851500171308305
post_1840,ad,0.008273228680526093
pre_1760,ad ann,0.00012057199353734115
industrial_1760_1840,ad ann,0.00011012676814644413
post_1840,ad ann,0.00021213406873143826
pre_1760,ad annum,0.00021702958836721407
industrial_1760_1840,ad annum,7.341784543096275e-05
post_1840,ad annum,0.0
pre_1760,ad annun,2.411439870746823e-05
industrial_1760_1840,ad annun,6.118153785913563e-05
post_1840,ad annun,0.0
pre_1760,ad annunc,2.411439870746823e-05
industrial_1760_1840,ad annunc,0.00026919876658019673
post_1840,ad annunc,0.0
pre_1760,ad bapt,0.0
industrial_1760_1840,ad bapt,0.00023248984386471539
post_1840,ad bapt,3.5355678121906375e-05
pre_1760,ad dom,4.822879741493646e-05
industrial_1760_1840,ad dom,2.447261514365425e-05
post_1840,ad dom,0.0
pre_1760,ad fe,9.645759482987291e-05
industrial_1760_1840,ad fe,2.447261514365425e-05
post_1840,ad fe,0.0
pre_1760,ad fest,0.007089633219995659
industrial_1760_1840,ad fest,0.006570897166071166
post_1840,ad fest,0.005197284683920237
pre_1760,ad festi,0.0
industrial_1760_1840,ad festi,7.341784543096275e-05
post_1840,ad festi,3.5355678121906375e-05
pre_1760,ad festum,9.645759482987291e-05
industrial_1760_1840,ad festum,0.0010033772208898242
post_1840,ad festum,0.0016617168717295997
pre_1760,ad inst,7.234319612240469e-05
industrial_1760_1840,ad inst,1.2236307571827126e-05
post_1840,ad inst,0.0
pre_1760,ad jo,0.0
industrial_1760_1840,ad jo,1.2236307571827126e-05
post_1840,ad jo,0.0001414227124876255
pre_1760,ad mic,0.0021702958836721407
industrial_1760_1840,ad mic,0.00026919876658019673
post_1840,ad mic,0.0
pre_1760,ad mich,0.0022426390797945454
industrial_1760_1840,ad mich,0.0013215212177573295
post_1840,ad mich,0.0003182011030971574
pre_1760,ad mid,4.822879741493646e-05
industrial_1760_1840,ad mid,4.89452302873085e-05
post_1840,ad mid,0.0
pre_1760,ad mie,0.0003617159806120234
industrial_1760_1840,ad mie,1.2236307571827126e-05
post_1840,ad mie,0.0
pre_1760,ad nat,4.822879741493646e-05
industrial_1760_1840,ad nat,4.89452302873085e-05
post_1840,ad nat,3.5355678121906375e-05
pre_1760,ad pasch,2.411439870746823e-05
industrial_1760_1840,ad pasch,9.7890460574617e-05
post_1840,ad pasch,0.0
pre_1760,ad sept,0.0002411439870746823
industrial_1760_1840,ad sept,0.00012236307571827126
post_1840,ad sept,0.0
pre_1760,ad st,7.234319612240469e-05
industrial_1760_1840,ad st,1.2236307571827126e-05
post_1840,ad st,3.5355678121906375e-05
pre_1760,ad test,0.0006028599676867057
industrial_1760_1840,ad test,0.0006485243013068377
post_1840,ad test,0.0001414227124876255
pre_1760,ad xti,4.822879741493646e-05
industrial_1760_1840,ad xti,0.00020801722872106114
post_1840,ad xti,0.0
pre_1760,adams,0.0005064023728568328
industrial_1760_1840,adams,1.2236307571827126e-05
post_1840,adams,0.0
pre_1760,add,0.0
industrial_1760_1840,add,4.89452302873085e-05
post_1840,add,0.0003182011030971574
pre_1760,added,7.234319612240469e-05
industrial_1760_1840,added,0.0
post_1840,added,7.071135624381275e-05
pre_1760,addit,4.822879741493646e-05
industrial_1760_1840,addit,0.0
post_1840,addit,7.071135624381275e-05
pre_1760,addition,4.822879741493646e-05
industrial_1760_1840,addition,1.2236307571827126e-05
post_1840,addition,7.071135624381275e-05
pre_1760,additional,0.0
industrial_1760_1840,additional,0.00011012676814644413
post_1840,additional,7.071135624381275e-05
pre_1760,adfest,2.411439870746823e-05
industrial_1760_1840,adfest,4.89452302873085e-05
post_1840,adfest,0.0
pre_1760,adi,0.0
industrial_1760_1840,adi,3.6708922715481375e-05
post_1840,adi,3.5355678121906375e-05
pre_1760,adif,4.822879741493646e-05
industrial_1760_1840,adif,3.6708922715481375e-05
post_1840,adif,0.0002474897468533447
pre_1760,adif janitori,0.0
industrial_1760_1840,adif janitori,2.447261514365425e-05
post_1840,adif janitori,7.071135624381275e-05
