era,rank,term,relative_freq
pre_1760,1,soluta,0.04398366321080741
pre_1760,2,recepta,0.029531888155827836
pre_1760,3,ad,0.029531888155827836
pre_1760,4,arrearagia,0.023876845743009738
pre_1760,5,varia,0.022306000628338044
pre_1760,6,diem,0.020735155513666354
pre_1760,7,computus,0.020420986490732013
pre_1760,8,anni,0.019792648444863337
pre_1760,9,die,0.019478479421929
pre_1760,10,ordinaria,0.01853597235312598
pre_1760,11,eundem,0.018221803330191643
pre_1760,12,eundem diem,0.017593465284322967
pre_1760,13,soluta varia,0.017593465284322967
pre_1760,14,ad eundem,0.017593465284322967
pre_1760,15,soluta ordinaria,0.017279296261388626
pre_1760,16,et,0.017279296261388626
pre_1760,17,novembris,0.016965127238454288
pre_1760,18,novembris ad,0.015708451146716932
pre_1760,19,die novembris,0.015080113100848256
pre_1760,20,recepta anni,0.014451775054979578
pre_1760,21,rectoris,0.012252591894439209
pre_1760,22,secundo,0.011938422871504869
pre_1760,23,secundo die,0.011310084825636193
pre_1760,24,webber,0.010995915802701853
pre_1760,25,revolutum,0.00942507068803016
pre_1760,26,diem revolutum,0.009110901665095822
pre_1760,27,rector,0.009110901665095822
pre_1760,28,arrearagia recepta,0.008796732642161484
pre_1760,29,presentis,0.008168394596292806
pre_1760,30,ordinaria soluta,0.007854225573358466
pre_1760,31,library,0.007854225573358466
pre_1760,32,recepta recepta,0.007854225573358466
pre_1760,33,fest,0.007540056550424128
pre_1760,34,nov,0.007225887527489789
pre_1760,35,pro,0.006911718504555451
pre_1760,36,anni presentis,0.006911718504555451
pre_1760,37,rectoris secundo,0.006597549481621112
pre_1760,38,act,0.006283380458686773
pre_1760,39,ad fest,0.006283380458686773
pre_1760,40,varia soluta,0.0059692114357524344
industrial_1760_1840,1,soluta,0.04170512712931107
industrial_1760_1840,2,recepta,0.03348158093479903
industrial_1760_1840,3,ad,0.02928589410086431
industrial_1760_1840,4,varia,0.023076277586640933
industrial_1760_1840,5,die,0.021481916589745742
industrial_1760_1840,6,rents,0.019635814382814466
industrial_1760_1840,7,computus,0.019048418226063606
industrial_1760_1840,8,novembris,0.01661491986238147
industrial_1760_1840,9,arrearagia,0.015691868758915834
industrial_1760_1840,10,die novembris,0.014852731392128891
industrial_1760_1840,11,fest,0.013006629185197616
industrial_1760_1840,12,soluta varia,0.012754887975161534
industrial_1760_1840,13,diem,0.012587060501804146
industrial_1760_1840,14,pro,0.012335319291768062
industrial_1760_1840,15,ad fest,0.011580095661659814
industrial_1760_1840,16,eundem,0.010657044558194176
industrial_1760_1840,17,ad eundem,0.010657044558194176
industrial_1760_1840,18,ordinaria,0.010489217084836787
industrial_1760_1840,19,anni,0.010237475874800705
industrial_1760_1840,20,soluta ordinaria,0.01015356213812201
industrial_1760_1840,21,rectoris,0.010069648401443317
industrial_1760_1840,22,eundem diem,0.009985734664764621
industrial_1760_1840,23,recepta varia,0.009482252244692456
industrial_1760_1840,24,money,0.009230511034656374
industrial_1760_1840,25,nos,0.008810942351262901
industrial_1760_1840,26,money rents,0.008559201141226819
industrial_1760_1840,27,recepta anni,0.00839137366786943
industrial_1760_1840,28,comprobatus,0.008307459931190735
industrial_1760_1840,29,fixed,0.008307459931190735
industrial_1760_1840,30,revolutum,0.008307459931190735
industrial_1760_1840,31,diem revolutum,0.008223546194512042
industrial_1760_1840,32,computus comprobatus,0.008223546194512042
industrial_1760_1840,33,et,0.007971804984475958
industrial_1760_1840,34,variable,0.007971804984475958
industrial_1760_1840,35,arrearagia recepta,0.007971804984475958
industrial_1760_1840,36,rents fixed,0.007887891247797265
industrial_1760_1840,37,comprobatus nos,0.00780397751111857
industrial_1760_1840,38,varia soluta,0.007720063774439876
industrial_1760_1840,39,novembris ad,0.007720063774439876
industrial_1760_1840,40,land,0.007720063774439876
post_1840,1,soluta,0.040640759418570156
post_1840,2,fund,0.0308513794126372
post_1840,3,domus,0.026105013349154552
post_1840,4,varia,0.0231385345594779
post_1840,5,college,0.021358647285671908
post_1840,6,receipts,0.020765351527736578
post_1840,7,rents,0.020765351527736578
post_1840,8,recepta,0.02046870364876891
post_1840,9,soluta varia,0.018392168495995252
post_1840,10,die,0.015722337585286267
post_1840,11,money,0.014832393948383269
post_1840,12,et,0.013942450311480272
post_1840,13,ordinaria,0.013052506674577276
post_1840,14,money rents,0.013052506674577276
post_1840,15,novembris,0.012755858795609611
post_1840,16,rents variable,0.012755858795609611
post_1840,17,variable,0.012755858795609611
post_1840,18,die novembris,0.012459210916641946
post_1840,19,soluta ordinaria,0.01216256303767428
post_1840,20,ad,0.011865915158706615
post_1840,21,computus,0.011272619400771285
post_1840,22,richards,0.010086027884900622
post_1840,23,subscriptions,0.009196084247997626
post_1840,24,tax,0.00830614061109463
post_1840,25,summa,0.00830614061109463
post_1840,26,rectoris,0.0077128448531593
post_1840,27,varia soluta,0.0077128448531593
post_1840,28,land,0.0077128448531593
post_1840,29,diem,0.0077128448531593
post_1840,30,fixed,0.007416196974191634
post_1840,31,solutorum,0.007416196974191634
post_1840,32,eundem,0.006822901216256304
post_1840,33,redeemed land,0.006822901216256304
post_1840,34,land tax,0.006822901216256304
post_1840,35,receptorum,0.006822901216256304
post_1840,36,jackson,0.006822901216256304
post_1840,37,eundem diem,0.006822901216256304
post_1840,38,rents fixed,0.006822901216256304
post_1840,39,redeemed,0.006822901216256304
post_1840,40,ad eundem,0.006822901216256304
