description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
soluta ordinaria,192,136,1706,1868,Soluta Ordinaria,pre_1760
soluta varia,236,131,1700,1868,Soluta varia.,pre_1760
arrearagia recepta,129,107,1731,1856,Arrearagia recepta,pre_1760
recepta varia,108,81,1748,1856,Recepta Varia.,pre_1760
soluta,97,70,1700,1863,Soluta,pre_1760
computus comprobatus per nos,82,70,1767,1856,Computus comprobatus per nos,industrial_1760_1840
money rents fixed,110,54,1798,1853,"Money Rents, fixed,",industrial_1760_1840
mixed rents variable,95,50,1799,1853,Mixed Rents - variable,industrial_1760_1840
recepta anni praesentis,50,45,1714,1856,Recepta. Anni. Praesentis.,pre_1760
recepta,49,45,1724,1867,Recepta,pre_1760
redeemed land tax,65,35,1812,1853,Redeemed Land Tax,industrial_1760_1840
arrearagia,42,35,1705,1843,Arrearagia -,pre_1760
summa receptorum et solutorum,34,34,1822,1866,Summa Receptorum et Solutorum,industrial_1760_1840
recepta anni presentis,36,31,1700,1826,Recepta anni presentis,pre_1760
land tax redeemed,34,25,1803,1840,Land-Tax Redeemed,industrial_1760_1840
l s d,26,21,1744,1892,L  S  D,pre_1760
subscriptions viz,21,21,1827,1854,Subscriptions. viz.,industrial_1760_1840
soluta pro hoc anno,17,17,1800,1819,Soluta pro hoc Anno,industrial_1760_1840
s d,24,16,1711,1891,£ s d,pre_1760
a external,32,15,1883,1900,A. External,post_1840
b internal,32,15,1883,1900,B. Internal,post_1840
little tew,25,15,1774,1856,Little Tew,industrial_1760_1840
money rents variable,23,15,1839,1853,Money rents variable,industrial_1760_1840
c university purposes,15,14,1884,1900,C University Purposes,post_1840
c from trust funds,14,14,1883,1900,C. From Trust Funds,post_1840
soluta dno rectori scholaribus et officiariis,17,13,1767,1853,"Soluta Dno Rectori, Scholaribus et Officiariis.",industrial_1760_1840
jersey fines,13,13,1714,1744,Jersey Fines,pre_1760
special funds,14,12,1884,1900,Special Funds.,post_1840
assets,13,12,1883,1900,Assets,post_1840
liabilities,13,12,1883,1900,Liabilities,post_1840
arrearagia recipienda,16,11,1778,1798,Arrearagia recipienda,industrial_1760_1840
trust funds,12,11,1889,1900,Trust Funds,post_1840
act supper,11,11,1712,1745,Act. Supper,pre_1760
receipts,27,10,1881,1896,Receipts,post_1840
fee fund receipts,12,10,1870,1882,Fee Fund Receipts,post_1840
deduct,11,10,1797,1806,Deduct,industrial_1760_1840
fee fund payments,11,10,1871,1882,Fee Fund Payments,post_1840
computus dni rectoris j c jones,10,10,1820,1836,computus Dni Rectoris. J. C. Jones.,industrial_1760_1840
examined and approved by us,10,10,1857,1867,Examined and approved by us.,post_1840
domus payments,45,9,1870,1882,Domus payments.,post_1840
account dinner,11,9,1700,1725,Account Dinner,pre_1760
arreragia,10,9,1714,1729,Arreragia,pre_1760
h richards subrectorem,10,9,1774,1793,H. Richards Subrectorem,industrial_1760_1840
2do die novembris,9,9,1823,1864,2do Die Novembris.,industrial_1760_1840
balances due by the college,9,9,1891,1900,Balances due by the College :,post_1840
commoners library,9,9,1714,1747,Commoners Library.,pre_1760
dno rectori scholaribus et officiariis,9,9,1820,1848,"Dno Rectori, Scholaribus, et Officiariis-",industrial_1760_1840
stipend,14,8,1737,1780,Stipend -,pre_1760
june,11,8,1736,1882,June,pre_1760
computus henrici richards,10,8,1798,1807,Computus Henrici Richards,industrial_1760_1840
ad fest nativ,9,8,1704,1818,Ad Fest. Nativ.,pre_1760
due to the college,9,8,1892,1900,Due to the College:—,post_1840
balance,8,8,1893,1900,Balance,post_1840
examined and allowed,8,8,1872,1882,Examined and allowed,post_1840
tradesmen s bills viz,8,8,1836,1848,Tradesmen's Bills Viz.,industrial_1760_1840
payments,28,7,1883,1893,Payments,post_1840
ad fest d j bapt,8,7,1775,1799,Ad fest. D. J. Bapt.,industrial_1760_1840
exeter college,8,7,1884,1893,Exeter College,post_1840
general account ii capital,8,7,1883,1893,General Account II Capital,post_1840
recepta pro hoc anno,8,7,1770,1797,Recepta pro hoc Anno,industrial_1760_1840
balance sheet,7,7,1873,1893,Balance Sheet,post_1840
civitati oxon,7,7,1710,1841,Civitati Oxon,pre_1760
computus dni rectoris j l richards,7,7,1839,1853,Computus Dni Rectoris J. L. Richards,industrial_1760_1840
d investments,7,7,1883,1893,D. Investments,post_1840
hills pensions,7,7,1705,1744,Hills Pensions.,pre_1760
jersey guernsey fines,7,7,1747,1755,Jersey & Guernsey Fines,pre_1760
subscriptions,7,7,1844,1870,Subscriptions,post_1840
domus receipts,9,6,1877,1882,Domus receipts,post_1840
h richards decanum,8,6,1778,1784,H. Richards. Decanum.,industrial_1760_1840
accounts of trust funds,7,6,1883,1893,Accounts of Trust Funds,post_1840
dr richards prize,7,6,1883,1896,Dr Richards Prize,post_1840
march,7,6,1788,1882,March,industrial_1760_1840
pension fund,7,6,1883,1893,Pension Fund,post_1840
tuition fund,7,6,1883,1893,Tuition Fund,post_1840
college gardener,6,6,1842,1863,College Gardener,post_1840
open scholarships,6,6,1835,1852,Open Scholarships,industrial_1760_1840
