year,rank,term,tfidf
1700,1,ye,0.4996983349250988
1700,2,pro,0.27678602179563316
1700,3,mich,0.24288090166194135
1700,4,ann,0.23950672422693314
1700,5,pro mich,0.21058039515679067
1700,6,mr,0.19074797074309124
1700,7,ann mich,0.17156133411432126
1700,8,hutchins,0.151758855331334
1700,9,batts,0.13875616197997057
1700,10,anno,0.1321976072247834
1700,11,southn,0.10854149802591732
1700,12,ye coll,0.10408319365567388
1700,13,yt,0.10406712148497793
1700,14,lease,0.10069968357022123
1700,15,ye lease,0.09791191455734993
1701,1,ye,0.4359380239442873
1701,2,ann,0.3109897521530535
1701,3,mich,0.23811036704950392
1701,4,ann mich,0.21491151402294462
1701,5,hutchins,0.20738764117547454
1701,6,comoners,0.15428118037441343
1701,7,anno,0.14941474862830206
1701,8,cista,0.13346040606690251
1701,9,ye lease,0.12615668487196302
1701,10,red,0.1211548114144173
1701,11,hutchins ye,0.12040794652068527
1701,12,southn,0.11654383112184907
1701,13,yt,0.11173957658835912
1701,14,horses,0.1082994725236927
1701,15,mr,0.10728198392747922
1702,1,ye,0.5248247651301683
1702,2,mr,0.23826659002363595
1702,3,mich,0.20775396044450728
1702,4,pro,0.20698800608988552
1702,5,pro mic,0.1784963273528003
1702,6,ann,0.1735023619195955
1702,7,ann mich,0.16407361382272667
1702,8,reed mr,0.15320853490515524
1702,9,reed,0.13571102867759083
1702,10,anno,0.12547731407060286
1702,11,mic,0.12352977322852504
1702,12,ye college,0.12188636038218532
1702,13,mr rich,0.11778554966656371
1702,14,cudlington,0.11470201836669229
1702,15,pro anno,0.0941229994546301
1703,1,ye,0.3439488203831677
1703,2,ann mich,0.2999057345119624
1703,3,ann,0.2804187817774141
1703,4,pro,0.2444708828996191
1703,5,mich,0.24367154495965399
1703,6,mr,0.19054047036447083
1703,7,anno,0.16054961925269598
1703,8,mic,0.14049575029281827
1703,9,item,0.11384459508387834
1703,10,officiarijs ad,0.11303094084678071
1703,11,officiarijs,0.10915161042068142
1703,12,et officiarijs,0.10915161042068142
1703,13,ye yard,0.10579118155440459
1703,14,pro mic,0.10150579403052472
1703,15,cudlington,0.09784167235163234
1704,1,pro,0.43647145458440284
1704,2,ye,0.35090089877755015
1704,3,anno,0.2626671923133955
1704,4,pro anno,0.25801786410348865
1704,5,mr,0.23676918407809822
1704,6,pro mic,0.1957236441708875
1704,7,ann,0.18023465684113726
1704,8,pro biennio,0.17577026770466342
1704,9,biennio,0.17178232398673346
1704,10,mic,0.1354520719751434
1704,11,cuddington,0.11816585748523557
1704,12,vol,0.11749412560363344
1704,13,ann mich,0.10280511036973898
1704,14,officiarys,0.08191627591656218
1704,15,merton,0.07917955280333645
1705,1,ye,0.35357533884123427
1705,2,pro,0.33462897585709545
1705,3,anno,0.2739846241165044
1705,4,mr,0.22355111823944085
1705,5,pro mic,0.2143645425867873
1705,6,mic,0.18131990662323774
1705,7,biennio,0.1710391174802669
1705,8,pro anno,0.1695550325114715
1705,9,vol,0.12868437330784044
1705,10,mich,0.11435480610426826
1705,11,george,0.11091713517783269
1705,12,dimidio,0.10970572676615017
1705,13,ann,0.10966687220790337
1705,14,triennio,0.10926473059146065
1705,15,southn,0.10685430339427948
1706,1,anno,0.3387750916966323
