era,category,direction,n_entries,amount_sum
pre_1760,administrative,expenditure,1092.2142857142858,6278.63474702381
pre_1760,administrative,income,89.42857142857143,940.2401785714286
pre_1760,charitable,expenditure,191.42857142857142,524.6925595238095
pre_1760,charitable,income,4.5,0.575
pre_1760,domestic,expenditure,777.0,4804.293229166667
pre_1760,domestic,income,108.5,263.428125
pre_1760,ecclesiastical,expenditure,624.7857142857143,7356.520833333333
pre_1760,ecclesiastical,income,345.7142857142857,7602.133779761905
pre_1760,educational,expenditure,173.28571428571428,538.9354166666667
pre_1760,educational,income,205.57142857142858,2744.421130952381
pre_1760,financial,expenditure,65.5,7013.283333333333
pre_1760,financial,income,307.7857142857143,17491.877976190477
pre_1760,land_rent,expenditure,29.071428571428573,131.02395833333333
pre_1760,land_rent,income,4385.285714285715,49362.468154761904
pre_1760,maintenance,expenditure,469.42857142857144,3596.2816964285716
pre_1760,maintenance,income,3.0,112.00833333333333
pre_1760,other,expenditure,179.07142857142858,3585.6619047619047
pre_1760,other,income,91.35714285714286,4019.9224702380952
pre_1760,salary_stipend,expenditure,732.1428571428571,6557.630282738095
pre_1760,salary_stipend,income,1.0,43.75
industrial_1760_1840,administrative,expenditure,2113.785714285714,36631.70275297619
industrial_1760_1840,administrative,income,395.57142857142856,9228.855654761905
industrial_1760_1840,charitable,expenditure,322.57142857142856,2115.6918154761906
industrial_1760_1840,charitable,income,13.5,159.97083333333333
industrial_1760_1840,domestic,expenditure,796.0,9848.391145833333
industrial_1760_1840,domestic,income,36.5,1209.1562500000002
industrial_1760_1840,ecclesiastical,expenditure,1178.2142857142858,23842.165625
industrial_1760_1840,ecclesiastical,income,403.2857142857143,25161.514136904763
industrial_1760_1840,educational,expenditure,292.7142857142857,4994.122916666666
industrial_1760_1840,educational,income,70.42857142857143,2510.828869047619
industrial_1760_1840,financial,expenditure,267.5,36952.42291666667
industrial_1760_1840,financial,income,876.2142857142857,212834.13139880952
industrial_1760_1840,land_rent,expenditure,169.92857142857142,3387.325
industrial_1760_1840,land_rent,income,5025.714285714285,117647.42559523809
industrial_1760_1840,maintenance,expenditure,1278.5714285714287,31627.47663690476
industrial_1760_1840,maintenance,income,22.0,827.1083333333333
industrial_1760_1840,other,expenditure,274.92857142857144,99392.72247023809
industrial_1760_1840,other,income,111.64285714285714,63786.11190476191
industrial_1760_1840,salary_stipend,expenditure,1504.857142857143,77896.80305059523
industrial_1760_1840,salary_stipend,income,12.0,1078.5635416666667
post_1840,administrative,expenditure,1565.0,90355.578125
post_1840,administrative,income,223.0,41394.23125
post_1840,charitable,expenditure,514.0,5912.908333333333
post_1840,charitable,income,47.0,1548.6458333333335
post_1840,domestic,expenditure,520.0,41393.68125
post_1840,domestic,income,37.0,13184.146875
post_1840,ecclesiastical,expenditure,821.0,17265.158333333333
post_1840,ecclesiastical,income,165.0,12818.5625
post_1840,educational,expenditure,595.0,89871.659375
post_1840,educational,income,352.0,170308.26770833333
post_1840,financial,expenditure,416.0,186220.63229166667
post_1840,financial,income,1012.0,353511.51875
post_1840,land_rent,expenditure,245.0,11729.029166666667
post_1840,land_rent,income,1133.0,86011.51458333334
post_1840,maintenance,expenditure,1383.0,60048.878125
post_1840,maintenance,income,60.0,543.15625
post_1840,other,expenditure,311.0,99975.62083333333
post_1840,other,income,53.0,34992.078125
post_1840,salary_stipend,expenditure,1151.0,119739.009375
post_1840,salary_stipend,income,7.0,77.21666666666667
