decade,total_charitable,pre_total_rate,post_total_rate,pre_alms,pre_beggar,pre_poor,pre_prisoner,pre_bocardo,pre_widow,pre_destitute,pre_vagabond,post_subscription,post_donation,post_infirmary,post_orphan,post_dispensary,post_relief fund,post_charitable,post_institution
1700,78,1371.8,217.9,602.56,256.41,282.05,153.85,25.64,51.28,0.0,0.0,12.82,25.64,0.0,0.0,0.0,0.0,179.49,0.0
1710,70,1357.1,242.9,600.0,228.57,271.43,214.29,42.86,0.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,214.29,0.0
1720,82,1524.4,122.0,670.73,219.51,329.27,256.1,48.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.95,0.0
1730,68,1441.2,205.9,632.35,279.41,279.41,220.59,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.88,0.0
1740,73,1561.6,246.6,630.14,273.97,273.97,287.67,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.88,13.7
1750,71,1493.0,183.1,676.06,295.77,225.35,267.61,28.17,0.0,0.0,0.0,0.0,14.08,0.0,0.0,0.0,0.0,169.01,0.0
1760,74,1364.9,189.2,594.59,297.3,256.76,216.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.19,0.0
1770,65,1384.6,138.5,523.08,230.77,323.08,200.0,107.69,0.0,0.0,0.0,30.77,0.0,0.0,0.0,0.0,0.0,107.69,0.0
1780,59,1322.0,322.0,491.53,254.24,440.68,84.75,50.85,0.0,0.0,0.0,16.95,67.8,16.95,0.0,0.0,0.0,220.34,0.0
1790,66,1015.2,666.7,454.55,227.27,333.33,0.0,0.0,0.0,0.0,0.0,303.03,30.3,272.73,0.0,0.0,0.0,60.61,0.0
1800,36,861.1,805.6,305.56,55.56,500.0,0.0,0.0,0.0,0.0,0.0,444.44,27.78,305.56,0.0,0.0,0.0,27.78,0.0
1810,41,390.2,902.4,146.34,0.0,243.9,0.0,0.0,0.0,0.0,0.0,463.41,170.73,195.12,0.0,0.0,0.0,73.17,0.0
1820,57,87.7,1087.7,52.63,0.0,17.54,0.0,0.0,17.54,0.0,0.0,754.39,140.35,157.89,0.0,0.0,0.0,35.09,0.0
1830,75,173.3,1173.3,93.33,0.0,66.67,0.0,0.0,13.33,0.0,0.0,840.0,160.0,133.33,13.33,0.0,0.0,26.67,0.0
1840,135,237.0,1007.4,7.41,0.0,133.33,7.41,0.0,88.89,0.0,0.0,755.56,59.26,74.07,81.48,0.0,0.0,0.0,37.04
1850,147,197.3,1149.7,6.8,0.0,88.44,0.0,0.0,102.04,0.0,0.0,755.1,217.69,68.03,68.03,0.0,0.0,27.21,13.61
1860,125,328.0,976.0,56.0,0.0,152.0,0.0,0.0,120.0,0.0,0.0,536.0,208.0,80.0,80.0,0.0,8.0,40.0,24.0
1870,107,317.8,1056.1,56.07,0.0,121.5,0.0,0.0,140.19,0.0,0.0,411.21,308.41,205.61,84.11,0.0,0.0,37.38,9.35
1880,43,255.8,674.4,23.26,0.0,186.05,0.0,0.0,46.51,0.0,0.0,69.77,441.86,69.77,46.51,0.0,0.0,46.51,0.0
1890,11,0.0,1363.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,181.82,181.82
1900,1,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0
