decade,total_entries,avg_words,median_words,ditto_rate,personal_name_rate,institutional_rate
1700,3208,9.5,9.0,0.9,16.3,9.4
1710,2637,9.7,9.0,1.0,16.5,10.0
1720,3489,9.4,9.0,0.9,12.8,9.5
1730,2988,9.9,10.0,1.1,18.5,10.6
1740,3072,9.9,10.0,1.1,20.5,11.8
1750,3114,10.0,10.0,2.5,16.5,9.8
1760,3411,9.9,10.0,2.8,16.1,9.4
1770,3360,8.9,9.0,2.9,14.5,8.9
1780,3884,9.2,9.0,3.0,13.8,8.8
1790,3585,9.6,9.0,7.2,12.0,10.7
1800,2168,9.0,9.0,7.3,10.3,11.1
1810,1885,8.6,8.0,4.6,9.2,10.1
1820,2168,9.6,9.0,8.6,12.2,11.4
1830,2314,9.6,9.0,8.0,11.8,12.0
1840,2380,8.7,8.0,6.7,11.3,9.9
1850,2197,9.2,9.0,6.0,6.7,11.1
1860,2041,8.5,8.0,4.3,1.7,13.3
1870,2115,8.3,8.0,2.9,0.9,16.9
1880,1462,8.4,8.0,2.5,1.4,31.5
1890,1333,7.8,8.0,0.0,3.9,60.2
1900,86,6.8,7.0,1.2,4.7,55.8
