decade,total_entries,capons,brawn,oatmeal,feast,michaelmas,candlemas,maundy,augmentation,almoner,chest,glazier,joiner,thatcher,soluta,recepta
1700,3208,13.72,3.12,0.62,17.46,122.82,0.62,0.0,38.34,0.0,13.09,3.12,1.56,0.0,0.0,0.0
1710,2637,11.0,3.79,0.0,15.55,80.77,0.38,0.0,38.3,0.0,8.72,3.03,2.65,0.0,0.0,0.0
1720,3489,11.75,4.3,0.0,18.63,60.48,0.0,0.0,22.36,0.0,5.73,4.59,0.57,0.0,0.29,0.0
1730,2988,11.04,3.68,0.0,23.09,96.05,0.67,0.0,38.82,0.0,6.69,1.67,1.34,0.0,0.0,0.0
1740,3072,12.04,5.53,0.0,32.23,98.96,0.0,0.0,41.34,0.0,7.16,0.0,0.0,0.0,0.0,0.0
1750,3114,14.45,4.5,0.0,18.95,103.4,2.89,0.0,37.57,0.0,6.74,0.32,1.28,0.0,0.0,0.0
1760,3411,13.19,3.81,0.0,19.35,94.4,5.86,0.0,38.11,0.0,6.74,2.05,0.29,0.0,0.0,0.0
1770,3360,17.86,2.08,0.0,30.65,39.58,6.25,0.0,33.33,0.0,10.71,1.19,0.0,0.0,0.0,0.0
1780,3884,10.3,0.26,0.0,28.58,44.03,3.35,0.0,30.12,0.0,1.03,1.03,0.51,0.51,1.03,0.51
1790,3585,8.37,1.67,0.0,31.8,42.4,2.51,0.0,34.59,0.0,0.0,0.0,0.56,0.0,0.56,0.0
1800,2168,8.3,1.85,0.0,18.45,40.59,0.46,0.0,32.29,0.0,0.46,1.85,0.0,0.0,0.0,0.0
1810,1885,6.37,1.06,0.0,23.34,37.67,0.0,0.0,34.48,0.0,4.24,2.12,0.0,0.0,1.06,0.53
1820,2168,7.84,1.38,0.0,38.75,62.27,0.0,0.0,36.44,0.0,1.38,3.69,0.0,0.0,0.0,0.0
1830,2314,5.62,2.16,0.0,31.55,73.47,0.0,0.0,32.84,0.0,0.43,3.46,1.3,0.43,0.86,0.0
1840,2380,5.88,2.1,0.0,44.96,24.37,0.0,0.0,35.71,0.0,0.0,1.26,0.84,0.42,0.0,0.0
1850,2197,2.73,0.46,0.0,40.96,52.34,0.0,0.0,21.39,0.0,0.0,0.46,0.46,0.46,0.0,0.46
1860,2041,0.0,0.49,0.0,17.64,29.89,0.0,0.0,2.45,0.0,0.0,0.0,0.49,0.0,0.0,0.0
1870,2115,0.0,0.0,0.0,0.47,5.2,0.0,0.0,0.95,0.0,0.47,0.47,0.0,0.47,0.0,0.0
1880,1462,0.0,0.0,0.0,1.37,4.79,0.0,0.0,3.42,0.0,0.0,0.0,0.0,0.68,0.0,0.0
1890,1333,0.0,0.0,0.0,0.75,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
