era,bigram,count,lift
pre_industrial,robert curtis,353,385.68
pre_industrial,recorded coll,286,312.47
pre_industrial,payment newbery,229,250.2
pre_industrial,listed present,215,234.9
pre_industrial,abbreviated collegiate,212,231.62
pre_industrial,collegiate recipient,210,229.44
pre_industrial,john barton,210,229.44
pre_industrial,barton fund,210,229.44
pre_industrial,john thiess,210,229.44
pre_industrial,accounts were,210,229.44
pre_industrial,attendance recorded,210,229.44
pre_industrial,upton for,157,171.53
pre_industrial,formerly franklyn,145,158.42
pre_industrial,scholar officer,144,157.33
pre_industrial,from markham,144,157.33
pre_industrial,hall now,143,156.24
pre_industrial,john chown,142,155.14
pre_industrial,master arts,142,155.14
pre_industrial,fines relating,141,154.05
pre_industrial,cason pounds,140,152.96
pre_industrial,collected bray,140,152.96
pre_industrial,coll odis,140,152.96
pre_industrial,odis xti,140,152.96
pre_industrial,cope for,140,152.96
pre_industrial,for welscott,140,152.96
transition,non grain,38,136.46
transition,from leonard,35,125.69
transition,tithe decima,30,107.73
transition,received consols,30,107.73
transition,the watchman,28,100.55
transition,triennial non,26,93.37
transition,leverett close,26,93.37
transition,rector previously,24,86.19
transition,previously recorded,24,86.19
transition,sir turner,22,79.0
transition,for tew,22,79.0
transition,said feast,19,68.23
transition,from banwell,18,64.64
transition,from bowles,18,64.64
transition,leonard for,18,64.64
transition,from vivian,18,64.64
transition,from wilson,18,64.64
transition,from kemp,17,61.05
transition,tubb for,34,61.05
transition,wine bill,66,59.25
transition,payment tom,16,57.46
transition,text provided,16,57.46
transition,gardiner formerly,16,57.46
transition,tom dodd,16,57.46
transition,recorded page,15,53.87
early_industrial,gas lighting,66,319.39
early_industrial,for tradesman,48,232.29
early_industrial,open scholarship,36,174.21
early_industrial,lodgings for,34,164.54
early_industrial,bushey tenements,34,164.54
early_industrial,improved stipend,32,154.86
early_industrial,for tradesmen,31,150.02
early_industrial,payment dudley,29,140.34
early_industrial,bell ringer,26,125.82
early_industrial,year redeemed,25,120.98
early_industrial,provisional stipend,25,120.98
early_industrial,quarter payment,22,106.46
early_industrial,annual redeemed,19,91.95
early_industrial,martin tenement,19,91.95
early_industrial,dudley bowler,18,87.11
early_industrial,city premises,18,87.11
early_industrial,tradesman bill,53,85.49
early_industrial,tenant norris,17,82.27
early_industrial,payment plowman,17,82.27
early_industrial,orphans the,17,82.27
early_industrial,rent share,16,77.43
early_industrial,improved rents,16,77.43
early_industrial,tax rent,15,72.59
early_industrial,the bedmakers,15,72.59
early_industrial,livings the,15,72.59
late_industrial,and interest,95,619.13
late_industrial,dividends and,91,593.06
late_industrial,fee fund,77,501.82
late_industrial,the richards,75,488.78
late_industrial,tuition fund,65,423.61
late_industrial,the tuition,61,397.54
late_industrial,the symes,60,391.03
late_industrial,composition fund,59,384.51
late_industrial,trust fund,117,381.25
late_industrial,reading room,57,371.48
late_industrial,local rate,57,371.48
late_industrial,exhibition fund,94,306.3
late_industrial,charles fund,46,299.79
late_industrial,the gifford,45,293.27
late_industrial,closing balance,45,293.27
late_industrial,richards exhibition,40,260.68
late_industrial,and insurance,40,260.68
late_industrial,domus fund,33,215.07
late_industrial,the how,33,215.07
late_industrial,the loscombe,31,202.03
late_industrial,loscombe richards,30,195.51
late_industrial,the fee,58,189.0
late_industrial,and management,29,189.0
late_industrial,rates composition,29,189.0
late_industrial,exhibition account,28,182.48
