decade,total,personal_rate,personal_trade_rate,institutional_rate,maintenance_personal_rate,maintenance_institutional_rate,educational_personal_rate,educational_institutional_rate,salary_stipend_personal_rate,salary_stipend_institutional_rate,charitable_personal_rate,charitable_institutional_rate,domestic_personal_rate,domestic_institutional_rate,financial_personal_rate,financial_institutional_rate
1700,3208,16.3,0.8,1.7,22.4,0.0,60.0,6.7,9.4,10.8,9.0,0.0,21.8,0.0,60.3,2.5
1710,2637,16.5,0.8,2.2,24.3,0.0,53.4,8.5,10.7,14.0,5.7,1.4,20.2,0.5,77.3,0.0
1720,3489,12.8,0.7,1.6,15.4,0.0,49.6,9.7,6.0,11.7,0.0,0.0,18.9,0.0,73.5,2.0
1730,2988,18.5,0.7,1.9,27.5,0.0,46.1,6.0,12.0,12.4,1.5,1.5,21.8,0.5,69.7,0.0
1740,3072,20.5,0.7,2.1,19.7,0.0,48.6,6.8,8.9,11.2,0.0,1.4,27.9,0.0,61.0,2.9
1750,3114,16.5,0.7,2.2,18.2,0.0,48.9,8.1,9.1,11.4,2.8,0.0,15.5,0.0,60.5,4.7
1760,3411,16.1,0.7,2.1,15.1,0.0,47.5,9.8,11.7,10.1,0.0,0.0,15.6,0.0,44.5,3.3
1770,3360,14.5,0.6,1.0,13.6,0.0,25.5,0.0,17.2,0.7,1.5,3.1,12.0,0.0,35.5,1.3
1780,3884,13.9,0.3,1.0,22.1,0.0,29.8,0.0,22.0,2.5,5.1,3.4,16.3,0.7,13.4,6.7
1790,3585,12.0,0.4,1.6,20.9,0.0,22.7,0.0,7.5,1.9,0.0,0.0,9.1,0.0,19.7,4.3
1800,2168,10.2,0.2,1.8,11.7,0.0,35.0,0.0,9.8,1.4,8.3,5.6,16.8,0.0,16.4,8.4
1810,1885,9.2,0.1,1.7,9.3,0.8,34.3,8.6,10.7,0.0,4.9,0.0,6.3,0.0,16.9,6.1
1820,2168,12.3,0.3,2.9,19.3,0.9,28.6,0.0,13.3,1.8,10.5,0.0,2.7,2.7,33.3,19.0
1830,2314,11.9,0.1,2.3,16.3,0.0,39.5,2.5,9.6,0.9,12.0,4.0,7.9,1.1,29.0,18.3
1840,2380,11.3,0.1,1.9,9.8,1.0,45.3,2.7,17.4,0.4,10.4,10.4,22.3,0.0,24.4,7.1
1850,2197,6.9,0.0,3.2,6.6,1.0,17.0,2.3,10.9,0.0,4.1,6.8,6.7,3.4,17.5,15.3
1860,2041,2.4,0.0,6.0,0.6,0.3,4.1,3.6,5.7,0.0,2.4,12.0,0.9,18.3,4.0,26.0
1870,2115,1.0,0.0,7.9,1.1,1.4,0.7,12.7,2.7,2.3,0.9,8.4,0.8,2.3,2.6,32.9
1880,1462,1.4,0.1,20.1,0.7,6.4,1.3,17.6,1.0,1.9,0.0,7.0,1.8,0.9,3.0,50.3
1890,1333,3.9,0.0,40.7,0.0,18.8,4.8,36.2,0.0,2.9,0.0,0.0,0.0,10.0,6.9,65.3
1900,86,4.7,0.0,38.4,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,9.3,69.8
