lag,pearson_r,p_value,n
-10,-0.041767762543742676,0.5724146515603549,185
-9,0.05572921216892063,0.44994374459020353,186
-8,-0.0018884483768935572,0.979535698523049,187
-7,-0.10067869501777768,0.16921653095444023,188
-6,0.10307527962468088,0.15812305751475214,189
-5,-0.028571446905194857,0.6955671777032707,190
-4,0.06242591305902534,0.39093823355832374,191
-3,-0.12483644063537305,0.08448345080578983,192
-2,0.11126817126712218,0.123430513382546,193
-1,0.19510429063680126,0.006407293119291594,194
0,-0.4684345863305501,4.989405139126885e-12,195
1,0.157790767056672,0.027995315524121208,194
2,0.10955836812215192,0.12933851212318628,193
3,-0.11611151293992208,0.10875557752970556,192
4,0.07713221407486477,0.28888454082918663,191
5,-0.05442336524310342,0.45580219768642644,190
6,0.07899393834894311,0.2799320221117444,189
7,-0.11164702420693694,0.12716178730786765,188
8,0.12095634881129406,0.0991429928738407,187
9,-0.09031577378377748,0.22021882291506173,186
10,0.044849611694738535,0.5443878079543675,185
