decade,total,land tax,poor rate,window tax,house tax,income tax,property tax,stamp duty,legacy duty,church rate,tithe,gaol tax,lighting rate,highway rate,county rate,distinct_tax_types
1700,3208,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,2
1710,2637,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.76,0.0,0.0,0.0,3
1720,3489,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,2
1730,2988,8.37,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
1740,3072,9.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,2
1750,3114,9.31,0.0,0.96,0.0,0.0,0.0,0.64,0.0,0.0,0.64,0.0,0.0,0.0,0.0,4
1760,3411,10.85,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,3
1770,3360,17.86,5.06,1.19,0.0,0.0,0.0,0.0,0.0,0.6,1.19,0.6,0.0,0.0,0.0,6
1780,3884,18.8,16.22,2.32,0.51,0.0,0.0,1.03,0.0,0.0,8.24,1.54,0.0,0.0,0.0,7
1790,3585,17.85,8.37,6.14,0.0,0.56,0.0,0.0,0.0,0.0,0.28,2.79,0.0,0.0,0.0,6
1800,2168,30.9,17.99,6.0,0.92,2.77,33.21,0.0,0.46,0.0,6.46,1.85,0.0,0.0,0.0,9
1810,1885,39.26,10.61,6.37,0.53,0.0,20.69,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,6
1820,2168,43.36,4.15,3.23,0.0,0.0,0.0,0.92,0.0,1.38,5.07,0.0,0.0,0.0,0.0,6
1830,2314,35.0,0.86,0.0,0.0,0.0,0.0,0.86,0.0,0.43,3.89,0.0,0.0,0.0,0.0,5
1840,2380,27.31,1.68,0.0,0.0,0.42,13.45,2.52,0.0,1.68,3.36,0.0,0.0,0.0,0.0,7
1850,2197,17.3,1.37,0.0,0.0,1.37,5.46,0.46,0.46,0.91,4.1,0.0,0.0,0.0,0.0,8
1860,2041,4.9,0.0,0.0,0.0,1.96,9.31,1.96,0.0,0.49,5.88,0.0,0.0,0.0,0.0,6
1870,2115,0.95,11.82,0.0,0.0,3.78,1.42,3.78,0.47,2.36,5.67,0.0,0.0,0.0,0.0,8
1880,1462,0.0,9.58,0.0,0.0,2.05,0.0,0.0,0.0,2.05,12.31,0.0,0.0,0.0,0.0,4
1890,1333,0.0,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2
1900,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,0.0,0.0,0.0,0.0,1
