shock_year,shock_label,t_rel,mfs
1793,Enclosure Acts peak,-8,0.2093202319070736
1793,Enclosure Acts peak,-7,0.3365199502559464
1793,Enclosure Acts peak,-6,0.3885027423327567
1793,Enclosure Acts peak,-5,0.4726488422920808
1793,Enclosure Acts peak,-4,0.41018428350829234
1793,Enclosure Acts peak,-3,0.5193090955152311
1793,Enclosure Acts peak,-2,0.5539270204913653
1793,Enclosure Acts peak,-1,0.3235905591678858
1793,Enclosure Acts peak,0,0.17341883169764905
1793,Enclosure Acts peak,1,0.1807921479538699
1793,Enclosure Acts peak,2,0.253702629881598
1793,Enclosure Acts peak,3,0.20935061430862306
1793,Enclosure Acts peak,4,0.3181778955963873
1793,Enclosure Acts peak,5,0.540884695797513
1793,Enclosure Acts peak,6,0.5203001487796544
1793,Enclosure Acts peak,7,0.3020522712512251
1793,Enclosure Acts peak,8,0.5436427253759382
1822,Post-Napoleonic depression,-8,0.4289975674344131
1822,Post-Napoleonic depression,-7,0.22322064207417114
1822,Post-Napoleonic depression,-6,0.12893881856311376
1822,Post-Napoleonic depression,-5,0.34096272372038744
1822,Post-Napoleonic depression,-4,
1822,Post-Napoleonic depression,-3,0.15184638696983965
1822,Post-Napoleonic depression,-2,0.19782519400491838
1822,Post-Napoleonic depression,-1,0.27530157574073233
1822,Post-Napoleonic depression,0,0.35822266025533106
1822,Post-Napoleonic depression,1,0.17660757304594712
1822,Post-Napoleonic depression,2,0.20707619047441353
1822,Post-Napoleonic depression,3,0.11566147125207031
1822,Post-Napoleonic depression,4,0.20034186663886086
1822,Post-Napoleonic depression,5,0.2387927880879711
1822,Post-Napoleonic depression,6,0.2792827997717492
1822,Post-Napoleonic depression,7,0.15903098046470512
1822,Post-Napoleonic depression,8,0.3686120650191364
1846,Corn Laws repeal,-8,0.24699847279775844
1846,Corn Laws repeal,-7,0.21559368070147533
1846,Corn Laws repeal,-6,0.20536136005616948
1846,Corn Laws repeal,-5,0.13706779774139774
1846,Corn Laws repeal,-4,0.22742083494035187
1846,Corn Laws repeal,-3,0.14981607720429826
1846,Corn Laws repeal,-2,0.34425938717355564
1846,Corn Laws repeal,-1,0.6497073423259815
1846,Corn Laws repeal,0,0.16399896745630912
1846,Corn Laws repeal,1,0.23117696139214866
1846,Corn Laws repeal,2,0.2543147160773852
1846,Corn Laws repeal,3,0.15010884539042563
1846,Corn Laws repeal,4,0.17894614264919945
1846,Corn Laws repeal,5,0.4817032074626665
1846,Corn Laws repeal,6,0.6963602108221155
1846,Corn Laws repeal,7,0.07492549293863662
1846,Corn Laws repeal,8,0.08393464035479925
1873,Great Agricultural Depression,-8,0.03222062297345503
1873,Great Agricultural Depression,-7,0.06101268501185105
1873,Great Agricultural Depression,-6,0.0627788210886087
1873,Great Agricultural Depression,-5,0.10962938819209778
1873,Great Agricultural Depression,-4,0.06269320228430761
1873,Great Agricultural Depression,-3,0.11628139893512808
1873,Great Agricultural Depression,-2,0.1028576705499629
1873,Great Agricultural Depression,-1,0.09455808593805891
1873,Great Agricultural Depression,0,0.29383580486852495
1873,Great Agricultural Depression,1,
1873,Great Agricultural Depression,2,
1873,Great Agricultural Depression,3,0.1229667849012315
1873,Great Agricultural Depression,4,0.1448539864665026
1873,Great Agricultural Depression,5,0.2280111278206574
1873,Great Agricultural Depression,6,0.5402745694318548
1873,Great Agricultural Depression,7,0.28739360600382463
1873,Great Agricultural Depression,8,0.08508471982460261
