year,modern_function_share,t,D54,t_post54,D77,t_post77,fitted,counterfactual
1700,0.1088008896490209,0,0.0,-0.0,0.0,-0.0,0.20238792593383936,0.20238792593383936
1701,0.0982393946790137,1,0.0,-0.0,0.0,-0.0,0.20305482620036866,0.20305482620036866
1702,0.1923272737213963,2,0.0,-0.0,0.0,-0.0,0.20372172646689793,0.20372172646689793
1703,0.1384385787386559,3,0.0,-0.0,0.0,-0.0,0.20438862673342723,0.20438862673342723
1704,0.0824046326590348,4,0.0,-0.0,0.0,-0.0,0.20505552699995652,0.20505552699995652
1705,0.2481061275945115,5,0.0,-0.0,0.0,-0.0,0.2057224272664858,0.2057224272664858
1706,0.4518833997422016,6,0.0,-0.0,0.0,-0.0,0.2063893275330151,0.2063893275330151
1707,0.3083101056574031,7,0.0,-0.0,0.0,-0.0,0.20705622779954438,0.20705622779954438
1708,0.1336390070562021,8,0.0,-0.0,0.0,-0.0,0.20772312806607365,0.20772312806607365
1709,0.1058472368312901,9,0.0,-0.0,0.0,-0.0,0.20839002833260295,0.20839002833260295
1710,0.2985560943292874,10,0.0,-0.0,0.0,-0.0,0.20905692859913225,0.20905692859913225
1711,0.1472653644021395,11,0.0,-0.0,0.0,-0.0,0.20972382886566152,0.20972382886566152
1712,0.3432213036595737,12,0.0,-0.0,0.0,-0.0,0.2103907291321908,0.2103907291321908
1713,0.2685565616049095,13,0.0,-0.0,0.0,-0.0,0.2110576293987201,0.2110576293987201
1714,0.0563181691012762,14,0.0,-0.0,0.0,-0.0,0.2117245296652494,0.2117245296652494
1715,0.2773189771454057,15,0.0,-0.0,0.0,-0.0,0.21239142993177867,0.21239142993177867
1716,0.3242872181893907,16,0.0,-0.0,0.0,-0.0,0.21305833019830797,0.21305833019830797
1717,0.1921726726406039,17,0.0,-0.0,0.0,-0.0,0.21372523046483727,0.21372523046483727
1718,0.1648281455621434,18,0.0,-0.0,0.0,-0.0,0.21439213073136654,0.21439213073136654
1719,0.0549383123279275,19,0.0,-0.0,0.0,-0.0,0.21505903099789583,0.21505903099789583
1720,0.3096126779803402,20,0.0,-0.0,0.0,-0.0,0.21572593126442513,0.21572593126442513
1721,0.1722720380011766,21,0.0,-0.0,0.0,-0.0,0.2163928315309544,0.2163928315309544
1722,0.1722720380011765,22,0.0,-0.0,0.0,-0.0,0.2170597317974837,0.2170597317974837
1723,0.2720607870974231,23,0.0,-0.0,0.0,-0.0,0.217726632064013,0.217726632064013
1724,0.0332548638661447,24,0.0,-0.0,0.0,-0.0,0.21839353233054226,0.21839353233054226
1725,0.3707552281513018,25,0.0,-0.0,0.0,-0.0,0.21906043259707156,0.21906043259707156
1726,0.2146810372770466,26,0.0,-0.0,0.0,-0.0,0.21972733286360085,0.21972733286360085
1727,0.1309131013300514,27,0.0,-0.0,0.0,-0.0,0.22039423313013012,0.22039423313013012
1728,0.592318339350293,28,0.0,-0.0,0.0,-0.0,0.22106113339665942,0.22106113339665942
1729,0.0614972326505207,29,0.0,-0.0,0.0,-0.0,0.22172803366318872,0.22172803366318872
1730,0.2032675683960255,30,0.0,-0.0,0.0,-0.0,0.222394933929718,0.222394933929718
1731,0.3145398507103695,31,0.0,-0.0,0.0,-0.0,0.22306183419624728,0.22306183419624728
