h,beta,se,pval,ci_lo,ci_hi,n
0,0.17352275304433096,0.07126041160028908,0.014889681376197493,0.033854912784264085,0.3131905933043978,193
1,0.15294855608252758,0.05509940676361518,0.005505493641341985,0.04495570325631916,0.260941408908736,192
2,0.007633699604924892,0.048234578988499,0.874250372135612,-0.08690433802198556,0.10217173723183536,191
3,-0.0166401718591667,0.04474266749944724,0.7099610843937394,-0.1043341887303341,0.07105384501200068,190
4,0.02737763143025756,0.04983171424982914,0.5827297676631221,-0.07029073378729896,0.12504599664781407,189
5,0.08446624129390332,0.039598829663813714,0.032920712439564855,0.006853961322892094,0.16207852126491454,188
6,0.027971850680064064,0.0534254850620014,0.6005793517505364,-0.07674017589804133,0.13268387725816946,187
7,-0.04864450822542922,0.054723433876133244,0.37404849810639007,-0.1559004677330095,0.05861145128215106,186
8,0.09512763034880396,0.04960917789377952,0.05516924316945991,-0.002104571625644508,0.19235983232325243,185
9,0.018777267804847522,0.051893553376632394,0.7174700947294721,-0.08293222784315889,0.12048676345285393,184
10,0.04867305542038247,0.0436239877281228,0.264533174830631,-0.03682838938875552,0.13417450022952046,183
