Pair,Lag,Correlation
L1_inv–L2,-15,0.1947
L1_inv–L2,-14,0.2034
L1_inv–L2,-13,0.1609
L1_inv–L2,-12,0.1828
L1_inv–L2,-11,0.2005
L1_inv–L2,-10,0.2217
L1_inv–L2,-9,0.1654
L1_inv–L2,-8,0.2846
L1_inv–L2,-7,0.2147
L1_inv–L2,-6,0.1801
L1_inv–L2,-5,0.1686
L1_inv–L2,-4,0.1644
L1_inv–L2,-3,0.2078
L1_inv–L2,-2,0.262
L1_inv–L2,-1,0.184
L1_inv–L2,0,0.2436
L1_inv–L2,1,0.2179
L1_inv–L2,2,0.2283
L1_inv–L2,3,0.2207
L1_inv–L2,4,0.1592
L1_inv–L2,5,0.2285
L1_inv–L2,6,0.249
L1_inv–L2,7,0.2057
L1_inv–L2,8,0.172
L1_inv–L2,9,0.2138
L1_inv–L2,10,0.2651
L1_inv–L2,11,0.184
L1_inv–L2,12,0.2255
L1_inv–L2,13,0.1562
L1_inv–L2,14,0.2687
L1_inv–L2,15,0.1727
L2–L3,-15,0.2102
L2–L3,-14,0.328
L2–L3,-13,0.3247
L2–L3,-12,0.2719
L2–L3,-11,0.2363
L2–L3,-10,0.279
L2–L3,-9,0.2273
L2–L3,-8,0.3509
L2–L3,-7,0.2937
L2–L3,-6,0.3726
L2–L3,-5,0.3126
L2–L3,-4,0.3018
L2–L3,-3,0.2551
L2–L3,-2,0.2586
L2–L3,-1,0.2735
L2–L3,0,0.3626
L2–L3,1,0.2301
L2–L3,2,0.1888
L2–L3,3,0.2858
L2–L3,4,0.3064
L2–L3,5,0.29
L2–L3,6,0.287
L2–L3,7,0.2761
L2–L3,8,0.2289
L2–L3,9,0.2037
L2–L3,10,0.2147
L2–L3,11,0.1001
L2–L3,12,0.2226
L2–L3,13,0.2022
L2–L3,14,0.2467
L2–L3,15,0.1991
L3–L4,-15,0.1345
L3–L4,-14,0.0545
L3–L4,-13,0.2356
L3–L4,-12,0.0508
L3–L4,-11,-0.0368
L3–L4,-10,-0.0231
L3–L4,-9,-0.116
L3–L4,-8,0.0264
L3–L4,-7,-0.0371
L3–L4,-6,-0.0254
L3–L4,-5,0.0328
L3–L4,-4,0.0368
L3–L4,-3,-0.0376
L3–L4,-2,-0.0452
L3–L4,-1,-0.0215
L3–L4,0,0.0106
L3–L4,1,-0.0514
L3–L4,2,-0.0947
L3–L4,3,-0.1165
L3–L4,4,-0.1039
L3–L4,5,-0.0674
L3–L4,6,-0.1304
L3–L4,7,-0.1042
L3–L4,8,-0.1257
L3–L4,9,-0.1782
L3–L4,10,-0.1834
L3–L4,11,-0.2476
L3–L4,12,-0.2278
L3–L4,13,-0.2235
L3–L4,14,-0.2864
L3–L4,15,-0.2915
