Lag,r_levels,CI_lo_lev,CI_hi_lev,r_diffs,CI_lo_dif,CI_hi_dif
-15,0.13449310366345665,-0.17282173628746952,0.223479092651643,-0.0104138200403227,-0.16223543078125424,0.1670704142211325
-14,0.05453082023667086,-0.1707698707883521,0.20590158448863907,-0.22148797394934916,-0.16361097421351753,0.16186385541418258
-13,0.2355997062177623,-0.15968276978229043,0.19418102141645402,0.3234427379773944,-0.16589514396499014,0.1612709305089495
-12,0.05084440972800018,-0.1610510924805044,0.19416108698322848,-0.07012012991517105,-0.16038505112421386,0.15184391481455986
-11,-0.036797092877847465,-0.16769458948592506,0.20680034528880972,-0.0803703619182683,-0.15457438507847077,0.15348889260609294
-10,-0.02311348197251449,-0.18232193458130563,0.21351701971859544,0.06970787758718716,-0.16736374969226928,0.1574683074610422
-9,-0.11595427498137002,-0.16397619782389877,0.2101174032897694,-0.196337923724769,-0.16567917410690322,0.14908330224406166
-8,0.026435054346188522,-0.1620334935512709,0.185573953419782,0.17781246463505496,-0.15674533516827543,0.15248089579084176
-7,-0.03714674100175677,-0.16300476925340085,0.18147718413891167,-0.05887729790913519,-0.1491876229938114,0.16950059220555141
-6,-0.02544119138326864,-0.16901258519697762,0.19634647036705138,-0.0540827371988513,-0.16175457770299434,0.1536688882855547
-5,0.03282997088907054,-0.17728181637523677,0.21714789046495164,0.05109156133909634,-0.15100885717384255,0.1597743262407673
-4,0.03676864138228375,-0.1583327803285574,0.20868515988319336,0.07136877551665546,-0.13843056887375213,0.17987575912001388
-3,-0.03764327024299731,-0.15912522709803223,0.18468184620429254,-0.06392308695438115,-0.16649846482688868,0.14769854973753593
-2,-0.04524760409894445,-0.1723125923117996,0.13199986386197626,-0.02594004252021986,-0.19699662013532593,0.1473568198813139
-1,-0.021545916472332075,-0.14738517265260426,0.10082406635511772,-0.029078322917876993,-0.22299915475049525,0.14607931933667018
0,0.010627588456072368,-0.11896361017071312,0.13591372377783642,0.15245745425965257,-0.0014346141069592434,0.37550644523228704
1,-0.051413817721523244,-0.2341813135580035,0.05307855120949288,-0.09849900150512145,-0.22105136925318186,0.017364919402350784
2,-0.09471276508861093,-0.22501644527881015,0.07732870696538628,0.0076574277542029445,-0.14171405074960397,0.15060173477815927
3,-0.11652017618863716,-0.19839447957064585,0.09891865253735413,-0.06303965161255931,-0.1673579233167761,0.10901569796103452
4,-0.10390873472004883,-0.19450809672279257,0.15165794095785323,-0.011540640010858888,-0.15009210882180324,0.16571971777833572
5,-0.06736860948022073,-0.1843975572422898,0.20536474452673384,0.12054551750289476,-0.16125786164801567,0.15113856609055865
6,-0.1303689128564493,-0.168435616227041,0.1865649694011542,-0.09549035823812477,-0.15230739669465754,0.15391206842120317
7,-0.10423295536634247,-0.1528740268830484,0.1891923876636161,0.02187940530466846,-0.14848385812915968,0.1564416639817819
8,-0.1257246445032122,-0.16633373974579094,0.18262079437429002,0.1011413280064536,-0.1570707447713899,0.15789583363817192
9,-0.17819178236533584,-0.1722180977081499,0.1873022454367897,-0.1473836670744924,-0.1526950651427572,0.15249271385597346
10,-0.18341058237199004,-0.1886840859311264,0.20475939188051265,0.15949341403108702,-0.1505209499097341,0.16264884346870123
11,-0.24764668294295714,-0.16432405570264563,0.2124144519570549,-0.09473573288356431,-0.16105428298336275,0.16259995771802627
12,-0.22782495407933426,-0.15592400731862993,0.18785898478195978,-0.016397658777055187,-0.1665689339482991,0.1587369578269863
13,-0.22348025268125266,-0.1549965907069401,0.17901794047779745,0.05202527783258833,-0.17383692948835092,0.16306673049458398
14,-0.28637120740705596,-0.15511363729523142,0.20122565653004393,-0.011927355809828653,-0.1598049251804563,0.16725137599817214
15,-0.29149483303336343,-0.17799228055039348,0.21505609501660353,0.02415218659968535,-0.1564221680889064,0.15768221315563416
