Mode,Direction,Lag k,Beta_k,SE,p,Cumulative
levels,L3→L4 (capability→mission),0,0.05401,0.04265,0.2054,0.05401
levels,L3→L4 (capability→mission),1,-0.00749,0.03573,0.834,0.04652
levels,L3→L4 (capability→mission),2,-0.01649,0.02755,0.5496,0.03004
levels,L3→L4 (capability→mission),3,-0.0286,0.03246,0.3783,0.00144
levels,L3→L4 (capability→mission),4,-0.03127,0.03146,0.3202,-0.02983
levels,L3→L4 (capability→mission),5,0.0232,0.0308,0.4513,-0.00663
levels,L3→L4 (capability→mission),6,-0.03175,0.03316,0.3384,-0.03838
levels,L3→L4 (capability→mission),7,0.00626,0.04698,0.8939,-0.03212
levels,L3→L4 (capability→mission),8,-0.02548,0.0513,0.6194,-0.0576
levels,L3→L4 (capability→mission),9,-0.04317,0.04378,0.324,-0.10077
levels,L3→L4 (capability→mission),10,-0.06511,0.04176,0.119,-0.16588
levels,L4→L3 (reverse),0,0.06249,0.24711,0.8004,0.06249
levels,L4→L3 (reverse),1,0.01219,0.23389,0.9584,0.07467
levels,L4→L3 (reverse),2,-0.14469,0.2397,0.5461,-0.07001
levels,L4→L3 (reverse),3,-0.15841,0.21362,0.4583,-0.22842
levels,L4→L3 (reverse),4,0.32779,0.30968,0.2898,0.09937
levels,L4→L3 (reverse),5,0.28751,0.23752,0.2261,0.38688
levels,L4→L3 (reverse),6,-0.24055,0.24471,0.3256,0.14633
levels,L4→L3 (reverse),7,-0.06496,0.21157,0.7588,0.08137
levels,L4→L3 (reverse),8,0.40313,0.24503,0.0999,0.4845
levels,L4→L3 (reverse),9,-0.66171,0.27123,0.0147,-0.17721
levels,L4→L3 (reverse),10,-0.07397,0.27972,0.7915,-0.25117
diffs,ΔL3→ΔL4 (capability→mission),0,0.03322,0.04599,0.4701,0.03322
diffs,ΔL3→ΔL4 (capability→mission),1,-0.0323,0.02665,0.2254,0.00092
diffs,ΔL3→ΔL4 (capability→mission),2,-0.01167,0.02703,0.6659,-0.01075
diffs,ΔL3→ΔL4 (capability→mission),3,-0.02684,0.0231,0.2452,-0.03759
diffs,ΔL3→ΔL4 (capability→mission),4,0.00321,0.0337,0.9241,-0.03438
diffs,ΔL3→ΔL4 (capability→mission),5,0.04732,0.02803,0.0914,0.01293
diffs,ΔL3→ΔL4 (capability→mission),6,0.00562,0.02893,0.8459,0.01855
diffs,ΔL3→ΔL4 (capability→mission),7,0.02803,0.02825,0.3211,0.04659
diffs,ΔL3→ΔL4 (capability→mission),8,0.05339,0.03089,0.084,0.09997
diffs,ΔL3→ΔL4 (capability→mission),9,-0.00919,0.03193,0.7735,0.09078
diffs,ΔL3→ΔL4 (capability→mission),10,0.05902,0.03424,0.0847,0.14981
diffs,ΔL4→ΔL3 (reverse),0,0.55453,0.22899,0.0155,0.55453
diffs,ΔL4→ΔL3 (reverse),1,0.32134,0.27676,0.2456,0.87587
diffs,ΔL4→ΔL3 (reverse),2,0.07825,0.24322,0.7477,0.95412
diffs,ΔL4→ΔL3 (reverse),3,0.05677,0.26447,0.83,1.01089
diffs,ΔL4→ΔL3 (reverse),4,0.4196,0.34464,0.2234,1.43049
diffs,ΔL4→ΔL3 (reverse),5,0.21378,0.23356,0.36,1.64427
diffs,ΔL4→ΔL3 (reverse),6,-0.32814,0.20785,0.1144,1.31614
diffs,ΔL4→ΔL3 (reverse),7,-0.08659,0.24948,0.7285,1.22954
diffs,ΔL4→ΔL3 (reverse),8,0.39232,0.23933,0.1012,1.62186
diffs,ΔL4→ΔL3 (reverse),9,-0.64492,0.30806,0.0363,0.97695
diffs,ΔL4→ΔL3 (reverse),10,0.02032,0.22308,0.9274,0.99727
