year,r_sync,r_L3_leads5,lead_advantage
1715,-0.1339,0.4094,0.5434
1716,-0.1333,0.4105,0.5438
1717,-0.1497,0.4067,0.5564
1718,-0.1503,0.4081,0.5584
1719,-0.1775,0.3786,0.5561
1720,-0.1616,0.3736,0.5352
1721,-0.156,0.3851,0.541
1722,-0.1411,0.4547,0.5958
1723,-0.1437,0.4755,0.6192
1724,-0.1656,0.476,0.6416
1725,-0.1562,0.477,0.6332
1726,-0.1174,0.5282,0.6456
1727,-0.1211,0.5277,0.6488
1728,-0.1198,0.5372,0.657
1729,-0.1203,0.5376,0.6579
1730,-0.1277,0.5329,0.6607
1731,-0.0477,0.6348,0.6825
1732,-0.0388,0.6459,0.6848
1733,-0.0133,0.6388,0.6521
1734,-0.0251,0.625,0.6501
1735,-0.0421,0.549,0.5911
1736,-0.0587,0.5515,0.6103
1737,-0.0585,0.5533,0.6118
1738,-0.061,0.5508,0.6117
1739,-0.0332,0.5687,0.6019
1740,-0.013,0.5614,0.5744
1741,0.0077,0.6108,0.6031
1742,0.028,0.621,0.593
1743,0.0274,0.5901,0.5626
1744,0.1087,0.3377,0.229
1745,0.0942,0.316,0.2219
1746,0.099,0.3136,0.2146
1747,0.1435,0.2819,0.1384
1748,0.255,0.2722,0.0172
1749,0.3432,0.2943,-0.0489
1750,0.3312,0.2864,-0.0447
1751,0.351,0.2327,-0.1183
1752,0.3671,0.2102,-0.1568
1753,0.365,0.1941,-0.1709
1754,0.4427,0.1796,-0.2631
1755,0.4092,0.2902,-0.1191
1756,0.3961,0.2156,-0.1805
1757,0.392,0.2168,-0.1752
1758,0.4634,0.2198,-0.2436
1759,0.4954,0.2535,-0.2419
1760,0.4621,0.2158,-0.2463
1761,0.5051,0.2059,-0.2991
1762,0.5257,0.2206,-0.3051
1763,0.527,0.2425,-0.2844
1764,0.3649,0.1513,-0.2136
1765,0.3135,0.1421,-0.1714
1766,0.2794,0.0418,-0.2377
1767,0.2715,-0.0278,-0.2993
1768,0.2881,-0.0133,-0.3015
1769,0.2797,-0.0198,-0.2995
1770,0.2904,0.0166,-0.2738
1771,0.1923,0.0269,-0.1654
1772,0.1775,0.0277,-0.1499
1773,0.1501,-0.0185,-0.1687
1774,0.1035,-0.0686,-0.1721
1775,0.0692,-0.0966,-0.1658
1776,0.0486,-0.1327,-0.1813
1777,0.0341,-0.1511,-0.1852
1778,-0.0006,-0.1507,-0.1501
1779,0.0142,-0.137,-0.1512
1780,0.0091,-0.1388,-0.1479
1781,-0.0241,-0.1435,-0.1194
1782,-0.0176,-0.1354,-0.1179
1783,-0.0323,-0.154,-0.1217
1784,-0.0728,-0.1856,-0.1128
1785,-0.0956,-0.299,-0.2034
1786,-0.0983,-0.3403,-0.242
1787,-0.131,-0.3254,-0.1944
1788,-0.1649,-0.346,-0.1811
1789,-0.1989,-0.3779,-0.1789
1790,-0.2429,-0.3826,-0.1396
1791,-0.3505,-0.3964,-0.0459
1792,-0.3485,-0.3899,-0.0414
1793,-0.3714,-0.4179,-0.0465
1794,-0.3665,-0.426,-0.0596
1795,-0.3629,-0.3989,-0.0359
1796,-0.3412,-0.3118,0.0294
1797,-0.3213,-0.1609,0.1604
1798,-0.3271,-0.1794,0.1477
1799,-0.3385,-0.1577,0.1808
1800,-0.3715,-0.1928,0.1787
1801,-0.1547,-0.1252,0.0296
1802,0.1264,-0.0684,-0.1948
1803,0.1198,-0.0643,-0.184
1804,0.1205,-0.063,-0.1835
1805,0.1364,-0.0385,-0.1749
1806,0.085,-0.0206,-0.1056
1807,0.0237,-0.0192,-0.0429
1808,0.0318,-0.1645,-0.1963
1809,0.0099,-0.1764,-0.1863
1810,0.0277,-0.1974,-0.2251
1811,0.0359,-0.2012,-0.2371
1812,0.0283,-0.2254,-0.2536
1813,-0.0885,-0.2184,-0.1298
1814,-0.0619,-0.1833,-0.1214
1815,-0.0342,-0.1383,-0.1041
1816,-0.0315,-0.17,-0.1386
1817,-0.0073,-0.2018,-0.1946
1819,0.0259,-0.2594,-0.2852
1820,0.0733,-0.2943,-0.3676
1821,0.0974,-0.2893,-0.3867
1822,0.0825,-0.2358,-0.3183
1823,0.0522,-0.221,-0.2733
1824,0.1351,-0.1622,-0.2973
1825,0.1569,-0.1497,-0.3065
1826,0.1669,-0.3308,-0.4977
1827,0.2431,-0.2818,-0.5249
1828,0.287,-0.2405,-0.5275
1829,0.2918,-0.2438,-0.5356
1830,0.3388,-0.2594,-0.5982
1831,0.0644,-0.1541,-0.2185
1832,0.0745,-0.1328,-0.2073
1833,0.0462,-0.1558,-0.202
1834,0.0539,-0.1256,-0.1795
1835,0.05,-0.1211,-0.1711
1836,0.048,-0.1085,-0.1565
1837,-0.0268,-0.1646,-0.1378
1838,0.1148,-0.1916,-0.3065
1839,0.1003,-0.1642,-0.2645
1840,0.1202,-0.1654,-0.2856
1841,0.1261,-0.2343,-0.3604
1842,0.1212,-0.2348,-0.356
1843,0.1486,-0.2666,-0.4152
1844,0.2043,-0.2888,-0.493
1845,0.1961,-0.3501,-0.5462
1846,0.1152,-0.3384,-0.4536
1847,0.1493,-0.3672,-0.5165
1848,0.1133,-0.3366,-0.4499
1849,0.0747,-0.3447,-0.4194
1850,-0.0007,-0.3092,-0.3084
1851,0.0227,-0.3542,-0.3769
1852,-0.0135,-0.3783,-0.3649
1853,0.0037,-0.3789,-0.3826
1854,-0.0436,-0.3769,-0.3333
1855,-0.0405,-0.401,-0.3605
1856,-0.087,-0.4074,-0.3204
1857,-0.1005,-0.3458,-0.2454
1858,-0.1044,-0.2961,-0.1917
1859,-0.0523,-0.2654,-0.2132
1860,-0.1,-0.2518,-0.1517
1861,-0.0461,-0.2293,-0.1831
1862,-0.0696,-0.1982,-0.1286
1863,0.1396,-0.0498,-0.1894
1864,0.1686,0.0058,-0.1627
1865,0.1689,-0.0066,-0.1755
1866,0.1767,0.0029,-0.1739
1867,0.4789,0.2132,-0.2656
1868,0.6986,0.4331,-0.2655
1869,0.758,0.5382,-0.2198
1870,0.7648,0.5483,-0.2165
1871,0.7903,0.5917,-0.1986
1872,0.8554,,
1873,0.8436,,
1876,0.8248,,
1877,0.812,,
1878,0.7098,,
