file_name,file_name_range,visually_inferred_range,status,confidence,notes,image_reference
1721-1722.pdf,1721-1722,1720-1721,mismatch,high,"Title line appears to end '... Novembris 1720 ad eundem diem revolutam 1721'; likely one-year offset relative to file name.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1721-1722_header.jpg"
1759-1760.pdf,1759-1760,1758-1759,mismatch,high,"First-page title appears '1758 ... revolutionem 1759'; likely one-year offset relative to file name.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1759-1760_full.jpg"
1767-1768.pdf,1767-1768,1767-1768,match,high,"Header visually shows 1767 to 1768.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1767-1768_header.jpg"
1769-1770.pdf,1769-1770,1769-1770,match,high,"Header visually shows 1769 to 1770.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1769-1770_header.jpg"
1770-1771.pdf,1770-1771,1770-1771,match,high,"Header visually shows 1770 to 1771.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1770-1771_full.jpg"
1771-1772.pdf,1771-1772,1771-1772,match,high,"Header visually shows 1771 to 1772.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1771-1772_full.jpg"
1772-1773.pdf,1772-1773,1772-1773,match,high,"Header visually shows 1772 to 1773.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1772-1773_full.jpg"
1773-1774.pdf,1773-1774,1773-1774,match,high,"Header visually shows 1773 to 1774.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1773-1774_full.jpg"
1774-1775.pdf,1774-1775,1774-1775,match,high,"Expanded full image clearly shows 1774 to 1775.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1774-1775_full.jpg"
1775-1776.pdf,1775-1776,1775-1776,match,high,"Header visually shows 1775 to 1776.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1775-1776_full.jpg"
1776-1777.pdf,1776-1777,1776-1777,match,high,"Header visually shows 1776 to 1777.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1776-1777_full.jpg"
1778-1779.pdf,1778-1779,1778-1779,match,medium,"Title is lighter but appears consistent with 1778 to 1779.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1778-1779_full.jpg"
1779-1780.pdf,1779-1780,1779-1780,match,high,"Header visually shows 1779 to 1780.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1779-1780_full.jpg"
1780-1781.pdf,1780-1781,1780-?,unclear,medium,"The visible crop confirms a start date of 2 Nov 1780, but the terminal year is not visible in the inspected image set.","/Users/EthanJoo/PhD/Research/Archieve/tmp/pdfs/header_crops/1780-1781_header.jpg"
