year,n_volumes_touching_year,single_year_pdf_pages_exact,page_exposure_equal_split,page_exposure_full_assignment,has_any_volume,has_single_year_pdf
1700,1,12,12.0,12,1,1
1701,1,5,5.0,5,1,1
1702,1,6,6.0,6,1,1
1703,1,6,6.0,6,1,1
1704,1,7,7.0,7,1,1
1705,1,7,7.0,7,1,1
1706,1,7,7.0,7,1,1
1707,1,6,6.0,6,1,1
1708,1,7,7.0,7,1,1
1709,1,7,7.0,7,1,1
1710,1,7,7.0,7,1,1
1711,1,7,7.0,7,1,1
1712,1,7,7.0,7,1,1
1713,1,7,7.0,7,1,1
1714,1,8,8.0,8,1,1
1715,1,7,7.0,7,1,1
1716,1,8,8.0,8,1,1
1717,1,7,7.0,7,1,1
1718,1,7,7.0,7,1,1
1719,1,6,6.0,6,1,1
1720,1,7,7.0,7,1,1
1721,1,0,6.5,13,1,0
1722,1,0,6.5,13,1,0
1723,1,7,7.0,7,1,1
1724,1,7,7.0,7,1,1
1725,1,6,6.0,6,1,1
1726,1,6,6.0,6,1,1
1727,1,6,6.0,6,1,1
1728,1,6,6.0,6,1,1
1729,1,6,6.0,6,1,1
1730,1,9,9.0,9,1,1
1731,1,7,7.0,7,1,1
1732,1,7,7.0,7,1,1
1733,1,6,6.0,6,1,1
1734,1,5,5.0,5,1,1
1735,1,5,5.0,5,1,1
1736,1,5,5.0,5,1,1
1737,1,5,5.0,5,1,1
1738,1,5,5.0,5,1,1
1739,1,6,6.0,6,1,1
1740,1,5,5.0,5,1,1
1741,1,5,5.0,5,1,1
1742,1,5,5.0,5,1,1
1743,1,7,7.0,7,1,1
1744,1,7,7.0,7,1,1
1745,1,6,6.0,6,1,1
1746,1,7,7.0,7,1,1
1747,1,7,7.0,7,1,1
1748,1,7,7.0,7,1,1
1749,1,7,7.0,7,1,1
1750,1,8,8.0,8,1,1
1751,1,7,7.0,7,1,1
1752,1,8,8.0,8,1,1
1753,1,6,6.0,6,1,1
1754,1,9,9.0,9,1,1
1755,1,8,8.0,8,1,1
1756,1,7,7.0,7,1,1
1757,1,8,8.0,8,1,1
1758,1,7,7.0,7,1,1
1759,1,0,6.0,12,1,0
1760,1,0,6.0,12,1,0
1761,1,8,8.0,8,1,1
1762,1,8,8.0,8,1,1
1763,1,9,9.0,9,1,1
1764,1,8,8.0,8,1,1
1765,1,8,8.0,8,1,1
1766,1,10,10.0,10,1,1
1767,2,8,15.0,22,1,1
1768,1,0,7.0,14,1,0
1769,1,0,3.0,6,1,0
1770,2,0,6.0,12,1,0
1771,2,0,7.5,15,1,0
1772,2,0,8.5,17,1,0
1773,2,0,10.0,20,1,0
1774,2,0,11.5,23,1,0
1775,2,0,10.0,20,1,0
1776,2,0,12.5,25,1,0
1777,1,0,8.0,16,1,0
1778,1,0,4.5,9,1,0
1779,2,0,8.0,16,1,0
1780,2,0,8.5,17,1,0
1781,2,0,9.5,19,1,0
1782,2,0,9.0,18,1,0
1783,2,0,7.5,15,1,0
1784,2,0,7.0,14,1,0
1785,2,0,9.0,18,1,0
1786,2,0,10.5,21,1,0
1787,2,0,10.5,21,1,0
1788,2,0,9.5,19,1,0
1789,2,0,10.0,20,1,0
1790,2,0,10.5,21,1,0
1791,2,0,8.0,16,1,0
1792,2,0,7.5,15,1,0
1793,2,0,10.5,21,1,0
1794,2,0,11.0,22,1,0
1795,2,0,10.0,20,1,0
1796,2,0,9.0,18,1,0
1797,2,0,8.0,16,1,0
1798,2,0,8.0,16,1,0
1799,2,0,7.0,14,1,0
1800,2,7,10.0,13,1,1
1801,1,8,8.0,8,1,1
1802,1,7,7.0,7,1,1
1803,1,9,9.0,9,1,1
1804,1,8,8.0,8,1,1
1805,1,8,8.0,8,1,1
1806,1,8,8.0,8,1,1
1807,1,7,7.0,7,1,1
1808,1,4,4.0,4,1,1
1809,1,13,13.0,13,1,1
1810,1,9,9.0,9,1,1
1811,1,7,7.0,7,1,1
1812,1,7,7.0,7,1,1
1813,1,7,7.0,7,1,1
1814,1,7,7.0,7,1,1
1815,1,5,5.0,5,1,1
1816,1,5,5.0,5,1,1
1817,1,11,11.0,11,1,1
1818,1,3,3.0,3,1,1
1819,1,6,6.0,6,1,1
1820,1,10,10.0,10,1,1
1821,1,11,11.0,11,1,1
1822,1,9,9.0,9,1,1
1823,1,11,11.0,11,1,1
1824,1,11,11.0,11,1,1
1825,1,12,12.0,12,1,1
1826,1,10,10.0,10,1,1
1827,1,12,12.0,12,1,1
1828,1,12,12.0,12,1,1
1829,1,13,13.0,13,1,1
1830,1,12,12.0,12,1,1
1831,1,12,12.0,12,1,1
1832,1,12,12.0,12,1,1
1833,1,11,11.0,11,1,1
1834,1,15,15.0,15,1,1
1835,1,12,12.0,12,1,1
1836,1,13,13.0,13,1,1
1837,1,13,13.0,13,1,1
1838,1,9,9.0,9,1,1
1839,1,11,11.0,11,1,1
1840,1,8,8.0,8,1,1
1841,1,10,10.0,10,1,1
1842,1,8,8.0,8,1,1
1843,1,12,12.0,12,1,1
1844,1,8,8.0,8,1,1
1845,1,10,10.0,10,1,1
1846,1,10,10.0,10,1,1
1847,1,10,10.0,10,1,1
1848,1,12,12.0,12,1,1
1849,1,9,9.0,9,1,1
1850,1,11,11.0,11,1,1
1851,1,7,7.0,7,1,1
1852,1,11,11.0,11,1,1
1853,1,11,11.0,11,1,1
1854,1,9,9.0,9,1,1
1855,1,10,10.0,10,1,1
1856,1,9,9.0,9,1,1
1857,1,7,7.0,7,1,1
1858,1,8,8.0,8,1,1
1859,1,6,6.0,6,1,1
1860,1,6,6.0,6,1,1
1861,1,8,8.0,8,1,1
1862,1,7,7.0,7,1,1
1863,1,8,8.0,8,1,1
1864,1,8,8.0,8,1,1
1865,1,6,6.0,6,1,1
1866,1,7,7.0,7,1,1
1867,1,7,7.0,7,1,1
1868,1,7,7.0,7,1,1
1869,1,9,9.0,9,1,1
1870,1,9,9.0,9,1,1
1871,1,9,9.0,9,1,1
1872,1,9,9.0,9,1,1
1873,1,17,17.0,17,1,1
1874,0,0,0,0,0,0
1875,0,0,0,0,0,0
1876,1,10,10.0,10,1,1
1877,1,9,9.0,9,1,1
1878,1,8,8.0,8,1,1
1879,1,9,9.0,9,1,1
1880,1,8,8.0,8,1,1
1881,1,12,12.0,12,1,1
1882,1,10,10.0,10,1,1
1883,1,5,5.0,5,1,1
1884,1,5,5.0,5,1,1
1885,1,1,1.0,1,1,1
1886,1,1,1.0,1,1,1
1887,0,0,0,0,0,0
1888,0,0,0,0,0,0
1889,1,5,5.0,5,1,1
1890,0,0,0,0,0,0
1891,1,8,8.0,8,1,1
1892,1,4,4.0,4,1,1
1893,1,10,10.0,10,1,1
1894,1,6,6.0,6,1,1
1895,1,6,6.0,6,1,1
1896,1,6,6.0,6,1,1
1897,1,6,6.0,6,1,1
1898,1,6,6.0,6,1,1
1899,1,6,6.0,6,1,1
1900,1,6,6.0,6,1,1
