page,v2,v2_no_gemini,v2_no_gpt,v2_no_claude,delta_v2_no_gemini,delta_v2_no_gpt,delta_v2_no_claude
1700_7,0.6623,0.5151,0.6109,0.665,-0.1472,-0.0514,0.0027
1704_1,0.8235,0.7586,0.8252,0.9027,-0.0649,0.0017,0.0792
1709_1,0.8296,0.8139,0.8208,0.8477,-0.0157,-0.0088,0.0181
1713_7,0.9143,0.8941,0.9226,0.9226,-0.0202,0.0083,0.0083
1719_2,0.8611,0.8833,0.8611,0.8611,0.0222,0.0,0.0
1725_3,0.8154,0.8306,0.8154,0.8154,0.0152,0.0,0.0
1731_1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1744_5,0.7814,0.8342,0.8018,0.7691,0.0528,0.0204,-0.0123
1753_4,0.6054,0.6438,0.5915,0.6054,0.0384,-0.0139,0.0
1759-1760_3,0.8581,0.8108,0.8786,0.888,-0.0473,0.0205,0.0299
1767_7,0.7803,0.7556,0.7805,0.7805,-0.0247,0.0002,0.0002
1774-1775_5,0.9407,0.8794,0.9026,0.9321,-0.0613,-0.0381,-0.0086
1783-1784_2,0.7911,0.7744,0.7977,0.7911,-0.0167,0.0066,0.0
1788-1789_3,0.8949,1.0,0.8949,0.8949,0.1051,0.0,0.0
1795-1796_1,0.8131,0.9631,0.8494,0.8684,0.15,0.0363,0.0553
1801_1,0.9909,0.9909,0.9909,0.9909,0.0,0.0,0.0
1807_4,0.7902,0.795,0.8454,0.8175,0.0048,0.0552,0.0273
1814_2,0.8402,0.857,0.8328,0.8501,0.0168,-0.0074,0.0099
1819_5,0.8916,0.8277,0.775,0.8083,-0.0639,-0.1166,-0.0833
1825_10,0.9282,0.9032,0.9074,0.9244,-0.025,-0.0208,-0.0038
1831_10,0.9728,0.9246,0.9066,0.9412,-0.0482,-0.0662,-0.0316
1838_9,0.7657,0.8195,0.763,0.7664,0.0538,-0.0027,0.0007
1844_7,1.0,0.9026,0.9035,0.9667,-0.0974,-0.0965,-0.0333
1850_4,0.7144,0.7604,0.7604,0.7651,0.046,0.046,0.0507
1855_7,0.971,0.9743,0.9794,0.9827,0.0033,0.0084,0.0117
1860_1,0.7798,0.9641,0.8591,0.8619,0.1843,0.0793,0.0821
1865_3,0.6805,0.8077,0.6854,0.8047,0.1272,0.0049,0.1242
1869_8,0.8145,0.8232,0.7647,0.782,0.0087,-0.0498,-0.0325
1873_5,0.6286,0.6754,0.6766,0.6234,0.0468,0.048,-0.0052
1881_1,0.7329,0.7129,0.5846,0.662,-0.02,-0.1483,-0.0709
1889_4,0.9002,0.9054,0.8651,0.9721,0.0052,-0.0351,0.0719
1895_2,0.9146,0.9382,0.9269,0.9202,0.0236,0.0123,0.0056
1900_6,0.6869,0.7603,0.6953,0.6869,0.0734,0.0084,0.0
