year,n_header_rows,n_unique_header_texts
1700,30,30
1701,19,19
1702,20,20
1703,17,17
1704,20,20
1705,18,18
1706,21,21
1707,24,24
1708,43,42
1709,19,19
1710,27,27
1711,29,28
1712,17,17
1713,22,22
1714,15,15
1715,22,22
1716,21,21
1717,19,19
1718,25,23
1719,10,10
1720,16,16
1721,49,45
1722,49,45
1723,23,21
1724,15,14
1725,15,15
1726,11,11
1727,17,17
1728,19,19
1729,16,16
1730,27,24
1731,16,15
1732,15,13
1733,15,14
1734,22,21
1735,18,18
1736,25,25
1737,27,25
1738,12,12
1739,13,13
1740,24,24
1741,18,18
1742,19,19
1743,26,26
1744,22,22
1745,21,20
1746,29,28
1747,26,26
1748,22,21
1749,24,24
1750,27,23
1751,16,16
1752,27,24
1753,21,19
1754,18,15
1755,16,16
1756,16,16
1757,21,21
1758,21,19
1759,47,44
1760,47,44
1761,15,15
1762,23,22
1763,26,21
1764,19,18
1765,22,19
1766,24,21
1767,60,48
1768,45,39
1769,23,18
1770,46,36
1771,53,46
1772,57,50
1773,58,47
1774,63,53
1775,55,49
1776,61,53
1777,38,34
1778,26,23
1779,48,41
1780,42,38
1781,48,41
1782,53,43
1783,45,41
1784,38,35
1785,55,53
1786,63,60
1787,53,49
1788,61,55
1789,72,61
1790,58,50
1791,44,42
1792,53,48
1793,58,54
1794,51,47
1795,50,46
1796,49,44
1797,47,41
1798,58,47
1799,55,43
1800,57,43
1801,38,33
1802,22,20
1803,37,28
1804,33,26
1805,35,31
1806,30,25
1807,31,28
1808,30,23
1809,51,43
1810,44,40
1811,25,19
1812,25,22
1813,25,24
1814,24,24
1815,16,15
1816,15,13
1817,42,34
1818,21,20
1819,21,17
1820,34,32
1821,43,35
1822,29,24
1823,34,25
1824,44,28
1825,37,21
1826,37,28
1827,37,25
1828,45,36
1829,40,32
1830,35,26
1831,36,27
1832,35,24
1833,40,30
1834,52,33
1835,34,26
1836,38,27
1837,38,30
1838,31,24
1839,30,21
1840,31,28
1841,27,23
1842,28,24
1843,34,29
1844,25,23
1845,30,25
1846,30,26
1847,31,29
1848,44,37
1849,28,25
1850,31,29
1851,22,22
1852,30,26
1853,31,29
1854,42,31
1855,24,16
1856,31,22
1857,27,18
1858,29,19
1859,35,27
1860,29,19
1861,40,29
1862,23,13
1863,31,21
1864,28,18
1865,26,16
1866,34,24
1867,34,24
1868,28,18
1869,32,22
1870,27,17
1871,25,14
1872,27,17
1873,62,40
1876,41,24
1877,32,18
1878,31,21
1879,36,22
1880,33,22
1881,41,24
1882,56,47
1883,51,43
1884,51,43
1885,10,8
1886,16,13
1889,41,38
1891,89,53
1892,64,54
1893,86,65
1894,34,32
1895,30,28
1896,32,27
1897,35,30
1898,31,27
1899,28,25
1900,35,31
