term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
rectory,0.0004822879741493646,0.006264989476775488,0.0067882901994060245,0.0063060022252566595,0.005782701502626123,industrial_vs_pre
tax,0.0019291518965974584,0.006840095932651363,0.004949794937066893,0.003020643040469435,0.004910944036053905,industrial_vs_pre
kidlington,0.003158986230678338,0.007354020850668102,0.008131805968038468,0.004972819737360129,0.004195034619989765,industrial_vs_pre
money,0.0011816055366659433,0.00515148548773922,0.003570923490312544,0.002389317953646601,0.0039698799510732765,industrial_vs_pre
rent,0.0018085799030601172,0.00489452302873085,0.008131805968038468,0.00632322606497835,0.0030859431256707323,industrial_vs_pre
rectori,0.00016880079095227762,0.0030713132005286085,0.00282845424975251,0.0026596534588002327,0.0029025124095763306,industrial_vs_pre
newington,0.002941956642311124,0.005836718711761539,0.0020152736529486636,-0.0009266829893624603,0.002894762069450415,industrial_vs_pre
anni,0.001278063131495816,0.004135871959277568,0.0021213406873143827,0.0008432775558185667,0.002857808827781752,industrial_vs_pre
dno,0.0007234319612240468,0.0033527482746806324,0.002969876962240136,0.002246445001016089,0.002629316313456586,industrial_vs_pre
bien,0.0017362367069377125,0.004307180265283148,0.0,-0.0017362367069377125,0.002570943558345435,industrial_vs_pre
pro bien,0.0016397791121078396,0.004197053497136704,0.0,-0.0016397791121078396,0.0025572743850288647,industrial_vs_pre
day,0.00231498227591695,0.0048333414908717145,0.0052679960401640505,0.0029530137642471005,0.0025183592149547645,industrial_vs_pre
varia,7.234319612240469e-05,0.0025696245900836963,0.0021213406873143827,0.002048997491191978,0.0024972813939612916,industrial_vs_pre
st,0.0024114398707468228,0.004784396260584406,0.0068943572337717435,0.00448291736302492,0.0023729563898375835,industrial_vs_pre
plate money,0.0002411439870746823,0.0025696245900836963,0.0,-0.0002411439870746823,0.0023284806030090138,industrial_vs_pre
recepta,2.411439870746823e-05,0.002337134746218981,0.0005303351718285957,0.0005062207731211275,0.002313020347511513,industrial_vs_pre
plate,0.0009645759482987292,0.003242621506534188,0.0006717578843162212,-0.000292818063982508,0.002278045558235459,industrial_vs_pre
poor,0.00019291518965974583,0.0024227888992217708,0.004171970018384953,0.0039790548287252075,0.002229873709562025,industrial_vs_pre
college,0.0011816055366659433,0.003401693504967941,0.008662141139867062,0.007480535603201119,0.0022200879683019975,industrial_vs_pre
taylor,0.0002411439870746823,0.002361607361362635,0.0002474897468533447,6.3457597786623695e-06,0.0021204633742879526,industrial_vs_pre
div,7.234319612240469e-05,0.0021780627477852284,0.001131381699901004,0.0010590385037785993,0.0021057195516628237,industrial_vs_pre
ut,2.411439870746823e-05,0.0021168812099260927,0.0001414227124876255,0.00011730831378015728,0.0020927668112186246,industrial_vs_pre
land,0.0009886903470061974,0.0030713132005286085,0.0021213406873143827,0.0011326503403081853,0.002082622853522411,industrial_vs_pre
pro trien,0.00019291518965974583,0.0022025353629288825,0.0,-0.00019291518965974583,0.0020096201732691366,industrial_vs_pre
rates,0.0,0.001970045519064167,0.0032173667090934803,0.0032173667090934803,0.001970045519064167,industrial_vs_pre
land tax,0.0008922327521763244,0.0028510596642357202,0.0015202941592419744,0.0006280614070656499,0.0019588269120593958,industrial_vs_pre
domus,0.00019291518965974583,0.0021291175174979198,0.0052679960401640505,0.005075080850504305,0.0019362023278381739,industrial_vs_pre
trien,0.0004822879741493646,0.002373843668934462,0.0,-0.0004822879741493646,0.0018915556947850976,industrial_vs_pre
parish,0.0,0.0018721550584895501,0.001025314665535285,0.001025314665535285,0.0018721550584895501,industrial_vs_pre
pro dim,0.0007716607586389833,0.002618569820371005,0.0,-0.0007716607586389833,0.0018469090617320217,industrial_vs_pre
dno rectori,2.411439870746823e-05,0.0017987372130585874,0.00205062933107057,0.0020265149323631017,0.001774622814351119,industrial_vs_pre
dim,0.0018809230991825218,0.0035974744261171748,3.5355678121906375e-05,-0.0018455674210606154,0.001716551326934653,industrial_vs_pre
rectori ut,0.0,0.0017008467524839705,0.0001414227124876255,0.0001414227124876255,0.0017008467524839705,industrial_vs_pre
tew,0.00028937278448961875,0.0019333365963486858,0.003146655352849668,0.002857282568360049,0.001643963811859067,industrial_vs_pre
gardiner,0.00014468639224480938,0.0017865009054867603,7.071135624381275e-05,-7.397503600099663e-05,0.001641814513241951,industrial_vs_pre
augment,0.0007475463599315151,0.002373843668934462,0.0019445622967048507,0.0011970159367733356,0.001626297309002947,industrial_vs_pre
benefaction,0.00019291518965974583,0.0018109735206304147,0.0004596238155847829,0.0002667086259250371,0.0016180583309706687,industrial_vs_pre
stip,0.00028937278448961875,0.0018966276736332045,0.0004949794937066893,0.0002056067092170706,0.0016072548891435858,industrial_vs_pre
garsington,0.0003617159806120234,0.0018843913660613774,0.0022981190779239147,0.0019364030973118914,0.001522675385449354,industrial_vs_pre
half,0.0009645759482987292,0.0024594978219372524,0.0008485362749257531,-0.00011603967337297616,0.0014949218736385233,industrial_vs_pre
poor rates,0.0,0.0014928295237629093,0.00010606703436571913,0.00010606703436571913,0.0014928295237629093,industrial_vs_pre
little,0.0014950927198630302,0.0029611864323821646,0.004065902984019234,0.0025708102641562036,0.0014660937125191343,industrial_vs_pre
wittenham,0.0006028599676867057,0.002067935979638784,0.0025809645028991657,0.00197810453521246,0.0014650760119520783,industrial_vs_pre
july,0.0006752031638091105,0.0021291175174979198,0.0011667373780229104,0.0004915342142138,0.0014539143536888093,industrial_vs_pre
soluta,0.0002411439870746823,0.0016641378297684892,0.000565690849950502,0.0003245468628758197,0.0014229938426938069,industrial_vs_pre
shiers,0.0002411439870746823,0.0016151925994811805,0.0004596238155847829,0.0002184798285101006,0.0013740486124064982,industrial_vs_pre
napier,2.411439870746823e-05,0.0013827027556164652,0.0,-2.411439870746823e-05,0.001358588356908997,industrial_vs_pre
gwinear,0.00045817357544189637,0.0017865009054867603,0.0010606703436571913,0.000602496768215295,0.001328327330044864,industrial_vs_pre
supra,4.822879741493646e-05,0.0013704664480446382,0.0001414227124876255,9.319391507268905e-05,0.0013222376506297018,industrial_vs_pre
yarnton,0.0003617159806120234,0.0016763741373403162,0.0035002121340687313,0.003138496153456708,0.001314658156728293,industrial_vs_pre
ut supra,2.411439870746823e-05,0.0013092849101855025,0.0001414227124876255,0.00011730831378015728,0.0012851705114780342,industrial_vs_pre
richards,0.00014468639224480938,0.0014071753707601195,0.003464856455946825,0.0033201700637020158,0.0012624889785153102,industrial_vs_pre
money mr,2.411439870746823e-05,0.0012848122950418481,0.0,-2.411439870746823e-05,0.0012606978963343798,industrial_vs_pre
tenement,0.0006752031638091105,0.0019088639812050315,0.0009899589874133787,0.00031475582360426823,0.001233660817395921,industrial_vs_pre
repairs,2.411439870746823e-05,0.0012481033723263668,0.0063286663838212414,0.006304551985113773,0.0012239889736188985,industrial_vs_pre
lighting,0.000626974366394174,0.001847682443345896,0.0,-0.000626974366394174,0.001220708076951722,industrial_vs_pre
curtis,4.822879741493646e-05,0.0012358670647545397,7.071135624381275e-05,2.2482558828876294e-05,0.0011876382673396033,industrial_vs_pre
michl,0.000313487183197087,0.0014928295237629093,0.0004949794937066893,0.00018149231050960235,0.0011793423405658224,industrial_vs_pre
dr,0.0014227495237406256,0.002594097205227351,0.004065902984019234,0.0026431534602786083,0.0011713476814867252,industrial_vs_pre
rect pro,0.0024596686681617594,0.0036219470412608293,0.0,-0.0024596686681617594,0.00116227837309907,industrial_vs_pre
little tew,0.00028937278448961875,0.001443884293475601,0.002333474756045821,0.0020441019715562022,0.0011545115089859823,industrial_vs_pre
paving,2.411439870746823e-05,0.001174685526895404,0.00010606703436571913,8.195263565825091e-05,0.0011505711281879357,industrial_vs_pre
house,0.001253948732788348,0.0023983162840781167,0.00243954179041154,0.001185593057623192,0.0011443675512897687,industrial_vs_pre
whittenham,0.0,0.0011379766041799226,7.071135624381275e-05,7.071135624381275e-05,0.0011379766041799226,industrial_vs_pre
annunc,0.00016880079095227762,0.0012970486026136754,3.5355678121906375e-05,-0.00013344511283037123,0.0011282478116613978,industrial_vs_pre
comm,4.822879741493646e-05,0.001162449219323577,0.003429500777824919,0.0033812719804099823,0.0011142204219086406,industrial_vs_pre
lad lane,0.0004822879741493646,0.0015907199843375264,0.0005303351718285957,4.804719767923107e-05,0.0011084320101881619,industrial_vs_pre
olim,0.00033760158190455523,0.001443884293475601,0.0,-0.00033760158190455523,0.0011062827115710457,industrial_vs_pre
vicarage,0.0011092623405435386,0.0022147716705007096,0.0019799179748267574,0.0008706556342832187,0.001105509329957171,industrial_vs_pre
fees,0.00043405917673442813,0.0015295384464783907,0.005409418752651676,0.004975359575917248,0.0010954792697439625,industrial_vs_pre
rector,0.00033760158190455523,0.0014194116783319466,0.005020506293310706,0.004682904711406151,0.0010818100964273914,industrial_vs_pre
pro ann,0.0018085799030601172,0.0028755322793793743,0.0,-0.0018085799030601172,0.0010669523763192571,industrial_vs_pre
festum,9.645759482987291e-05,0.0011502129117517497,0.0016617168717295997,0.0015652592768997267,0.0010537553169218767,industrial_vs_pre
turner,4.822879741493646e-05,0.0010890313738926142,0.0002474897468533447,0.00019926094943840822,0.0010408025764776778,industrial_vs_pre
annuity,0.0004099447780269599,0.0014316479859037736,0.0,-0.0004099447780269599,0.0010217032078768137,industrial_vs_pre
dimid,0.0018809230991825218,0.002900004894523029,0.0,-0.0018809230991825218,0.001019081795340507,industrial_vs_pre
long,0.0013262919289107526,0.002337134746218981,0.004702305190213548,0.003376013261302796,0.0010108428173082283,industrial_vs_pre
school,2.411439870746823e-05,0.0010278498360334785,0.005833686890114553,0.005809572491407084,0.0010037354373260102,industrial_vs_pre
stock,0.0,0.0010033772208898242,0.0007071135624381275,0.0007071135624381275,0.0010033772208898242,industrial_vs_pre
june,0.000626974366394174,0.0016274289070530078,0.0007778249186819403,0.0001508505522877663,0.0010004545406588337,industrial_vs_pre
fund,2.411439870746823e-05,0.0007097058391659733,0.012445198698911045,0.012421084300203576,0.0006855914404585051,post_vs_pre
