year,n_header_rows,n_unique_header_texts,header_diversity
1700,30,30,1.0
1701,19,19,1.0
1702,20,20,1.0
1703,17,17,1.0
1704,20,20,1.0
1705,18,18,1.0
1706,21,21,1.0
1707,24,24,1.0
1708,43,42,0.9767
1709,19,19,1.0
1710,27,27,1.0
1711,29,28,0.9655
1712,17,17,1.0
1713,22,22,1.0
1714,15,15,1.0
1715,22,22,1.0
1716,21,21,1.0
1717,19,19,1.0
1718,25,23,0.92
1719,10,10,1.0
1720,16,16,1.0
1721,49,45,0.9184
1722,49,45,0.9184
1723,23,21,0.913
1724,15,14,0.9333
1725,15,15,1.0
1726,11,11,1.0
1727,17,17,1.0
1728,19,19,1.0
1729,16,16,1.0
1730,27,24,0.8889
1731,16,15,0.9375
1732,15,13,0.8667
1733,15,14,0.9333
1734,22,21,0.9545
1735,18,18,1.0
1736,25,25,1.0
1737,27,25,0.9259
1738,12,12,1.0
1739,13,13,1.0
1740,24,24,1.0
1741,18,18,1.0
1742,19,19,1.0
1743,26,26,1.0
1744,22,22,1.0
1745,21,20,0.9524
1746,29,28,0.9655
1747,26,26,1.0
1748,22,21,0.9545
1749,24,24,1.0
1750,27,23,0.8519
1751,16,16,1.0
1752,27,24,0.8889
1753,21,19,0.9048
1754,18,15,0.8333
1755,16,16,1.0
1756,16,16,1.0
1757,21,21,1.0
1758,21,19,0.9048
1759,47,44,0.9362
1760,47,44,0.9362
1761,15,15,1.0
1762,23,22,0.9565
1763,26,21,0.8077
1764,19,18,0.9474
1765,22,19,0.8636
1766,24,21,0.875
1767,60,48,0.8
1768,45,39,0.8667
1769,23,18,0.7826
1770,46,36,0.7826
1771,53,46,0.8679
1772,57,50,0.8772
1773,58,47,0.8103
1774,63,53,0.8413
1775,55,49,0.8909
1776,61,53,0.8689
1777,38,34,0.8947
1778,26,23,0.8846
1779,48,41,0.8542
1780,42,38,0.9048
1781,48,41,0.8542
1782,53,43,0.8113
1783,45,41,0.9111
1784,38,35,0.9211
1785,55,53,0.9636
1786,63,60,0.9524
1787,53,49,0.9245
1788,61,55,0.9016
1789,72,61,0.8472
1790,58,50,0.8621
1791,44,42,0.9545
1792,53,48,0.9057
1793,58,54,0.931
1794,51,47,0.9216
1795,50,46,0.92
1796,49,44,0.898
1797,47,41,0.8723
1798,58,47,0.8103
1799,55,43,0.7818
1800,57,43,0.7544
1801,38,33,0.8684
1802,22,20,0.9091
1803,37,28,0.7568
1804,33,26,0.7879
1805,35,31,0.8857
1806,30,25,0.8333
1807,31,28,0.9032
1808,30,23,0.7667
1809,51,43,0.8431
1810,44,40,0.9091
1811,25,19,0.76
1812,25,22,0.88
1813,25,24,0.96
1814,24,24,1.0
1815,16,15,0.9375
1816,15,13,0.8667
1817,42,34,0.8095
1818,21,20,0.9524
1819,21,17,0.8095
1820,34,32,0.9412
1821,43,35,0.814
1822,29,24,0.8276
1823,34,25,0.7353
1824,44,28,0.6364
1825,37,21,0.5676
1826,37,28,0.7568
1827,37,25,0.6757
1828,45,36,0.8
1829,40,32,0.8
1830,35,26,0.7429
1831,36,27,0.75
1832,35,24,0.6857
1833,40,30,0.75
1834,52,33,0.6346
1835,34,26,0.7647
1836,38,27,0.7105
1837,38,30,0.7895
1838,31,24,0.7742
1839,30,21,0.7
1840,31,28,0.9032
1841,27,23,0.8519
1842,28,24,0.8571
1843,34,29,0.8529
1844,25,23,0.92
1845,30,25,0.8333
1846,30,26,0.8667
1847,31,29,0.9355
1848,44,37,0.8409
1849,28,25,0.8929
1850,31,29,0.9355
1851,22,22,1.0
1852,30,26,0.8667
1853,31,29,0.9355
1854,42,31,0.7381
1855,24,16,0.6667
1856,31,22,0.7097
1857,27,18,0.6667
1858,29,19,0.6552
1859,35,27,0.7714
1860,29,19,0.6552
1861,40,29,0.725
1862,23,13,0.5652
1863,31,21,0.6774
1864,28,18,0.6429
1865,26,16,0.6154
1866,34,24,0.7059
1867,34,24,0.7059
1868,28,18,0.6429
1869,32,22,0.6875
1870,27,17,0.6296
1871,25,14,0.56
1872,27,17,0.6296
1873,62,40,0.6452
1876,41,24,0.5854
1877,32,18,0.5625
1878,31,21,0.6774
1879,36,22,0.6111
1880,33,22,0.6667
1881,41,24,0.5854
1882,56,47,0.8393
1883,51,43,0.8431
1884,51,43,0.8431
1885,10,8,0.8
1886,16,13,0.8125
1889,41,38,0.9268
1891,89,53,0.5955
1892,64,54,0.8438
1893,86,65,0.7558
1894,34,32,0.9412
1895,30,28,0.9333
1896,32,27,0.8438
1897,35,30,0.8571
1898,31,27,0.871
1899,28,25,0.8929
1900,35,31,0.8857
