year,era,amount_sum,amount_median,latinbert_cluster,tfidf_cluster
1700,pre_1760,7719.83125,1.0,0,0
1701,pre_1760,4737.6,0.9156249999999999,0,0
1702,pre_1760,5669.116666666667,1.6567708333333333,0,0
1703,pre_1760,3250.734375,1.4916666666666667,0,0
1704,pre_1760,2397.3125,1.0,0,0
1705,pre_1760,4052.211458333333,1.8510416666666667,0,0
1706,pre_1760,3544.2708333333335,1.0,0,0
1707,pre_1760,3501.4041666666667,1.1708333333333332,0,0
1708,pre_1760,2635.5885416666665,1.7,0,0
1709,pre_1760,3301.1604166666666,1.0,0,0
1710,pre_1760,3659.1197916666665,1.6,0,0
1711,pre_1760,4060.7458333333334,2.0,0,0
1712,pre_1760,4804.964583333333,1.6666666666666665,0,0
1713,pre_1760,3752.085416666667,2.0479166666666666,0,0
1714,pre_1760,4000.257291666667,1.3333333333333335,0,0
1715,pre_1760,5521.434375,1.95,0,0
1716,pre_1760,4753.323958333333,1.4333333333333333,0,0
1717,pre_1760,4379.067708333333,1.3333333333333335,0,0
1718,pre_1760,3427.946875,1.5,0,0
1719,pre_1760,1254.2604166666667,1.0,0,0
1720,pre_1760,2451.179166666667,1.3291666666666666,0,0
1721,pre_1760,2589.54375,1.8182291666666668,0,0
1722,pre_1760,2589.54375,1.8182291666666668,0,0
1723,pre_1760,3133.8406250000003,1.3,0,0
1724,pre_1760,2358.054166666667,1.3333333333333335,0,0
1725,pre_1760,3080.008333333333,1.0875,0,0
1726,pre_1760,2922.6114583333333,1.0833333333333335,0,0
1727,pre_1760,3257.0197916666666,0.775,0,0
1728,pre_1760,2578.865625,1.05,0,0
1729,pre_1760,2582.9166666666665,1.1,0,0
1730,pre_1760,4748.309375,1.95,0,0
1731,pre_1760,4727.39375,5.479166666666667,0,0
1732,pre_1760,3090.0145833333336,4.03125,0,0
1733,pre_1760,4014.828125,4.0,0,0
1734,pre_1760,6086.39375,5.366666666666666,0,0
1735,pre_1760,5362.536458333333,4.610416666666667,0,0
1736,pre_1760,5055.461458333333,5.0,0,0
1737,pre_1760,3683.9020833333334,4.4677083333333325,0,0
1738,pre_1760,2684.014583333333,3.6041666666666665,0,0
1739,pre_1760,2858.9177083333334,2.7880208333333334,0,0
1740,pre_1760,9113.066666666666,4.0,0,0
1741,pre_1760,4290.03125,5.254166666666666,0,0
1742,pre_1760,5538.770833333334,4.0,0,0
1743,pre_1760,3920.1927083333335,4.0,0,0
1744,pre_1760,6411.1125,4.0,0,0
1745,pre_1760,9682.742708333333,3.765625,0,0
1746,pre_1760,6680.954166666666,3.75,0,0
1747,pre_1760,4622.001041666666,3.25,0,0
1748,pre_1760,5250.948958333333,3.7874999999999996,0,0
1749,pre_1760,9126.823958333334,3.275,0,0
1750,pre_1760,6214.064583333333,4.227083333333334,0,0
1751,pre_1760,2306.4,4.226041666666667,0,0
1752,pre_1760,5098.048958333334,4.5,0,0
1753,pre_1760,9461.766666666666,6.675000000000001,0,0
1754,pre_1760,6185.528125,2.075,0,0
1755,pre_1760,5631.41875,3.5166666666666666,0,0
1756,pre_1760,4485.478125,4.55625,0,0
1757,pre_1760,5921.172916666666,5.737500000000001,0,0
1758,pre_1760,4243.616666666667,3.4885416666666664,0,0
1759,pre_1760,4809.7421875,5.125,0,0
1760,industrial_1760_1840,4809.7421875,5.125,0,0
1761,industrial_1760_1840,6489.623958333334,3.8166666666666664,0,0
1762,industrial_1760_1840,6055.4125,5.4677083333333325,0,0
1763,industrial_1760_1840,7120.190625,4.55625,0,0
1764,industrial_1760_1840,7267.883333333333,7.230208333333334,0,0
1765,industrial_1760_1840,6439.525,5.465625,0,0
1766,industrial_1760_1840,7281.398958333333,4.995833333333334,0,1
1767,industrial_1760_1840,15621.940625,5.73125,0,0
1768,industrial_1760_1840,9637.1625,5.920833333333333,0,0
1769,industrial_1760_1840,1609.1958333333334,2.3,0,0
1770,industrial_1760_1840,3916.103125,5.0,0,0
1771,industrial_1760_1840,4985.9765625,5.75,0,0
1772,industrial_1760_1840,10147.545833333334,3.7916666666666665,0,0
1773,industrial_1760_1840,10945.821354166666,4.0,0,0
1774,industrial_1760_1840,9811.894270833332,5.713541666666667,0,0
1775,industrial_1760_1840,10543.547395833333,5.208333333333334,0,0
1776,industrial_1760_1840,16114.597395833332,4.9,0,0
1777,industrial_1760_1840,11905.599479166667,5.0,0,0
1778,industrial_1760_1840,6687.966666666667,6.0,0,0
1779,industrial_1760_1840,13950.379166666666,5.75,0,0
1780,industrial_1760_1840,11377.204166666666,5.0,0,0
1781,industrial_1760_1840,8019.139062499999,5.0,0,0
1782,industrial_1760_1840,7872.307291666667,5.079166666666667,0,0
1783,industrial_1760_1840,5660.074479166667,5.0,0,0
1784,industrial_1760_1840,6386.576041666666,6.3,0,0
1785,industrial_1760_1840,13496.303125,6.495833333333334,0,0
1786,industrial_1760_1840,17481.182291666668,6.525,0,0
1787,industrial_1760_1840,16702.3359375,5.7,0,0
1788,industrial_1760_1840,15881.4375,5.25,0,0
1789,industrial_1760_1840,16489.654166666667,3.15,0,0
1790,industrial_1760_1840,16614.700520833332,2.969791666666667,0,0
1791,industrial_1760_1840,15686.340104166668,7.002083333333333,0,0
1792,industrial_1760_1840,15122.694791666667,10.0,0,0
