year,metric,delta,abs_delta_robust_z,is_change_point
1894,amount_median,102.46875,73.33822563959177,True
1895,amount_median,89.50729166666667,63.951614707115894,True
1896,amount_median,-80.78333333333333,57.63377603802599,True
1897,amount_median,-78.94895833333334,56.30533258772543,True
1886,amount_median,-65.525,46.58378190968825,True
1885,amount_median,62.48125000000001,44.379516286872644,True
1891,amount_sum,217759.5078125,39.64449152774494,True
1880,amount_sum,-215516.93333333332,39.22812961359677,True
1898,amount_median,53.66979166666667,37.99831063889277,True
1891,amount_sum_real,135845.02159999998,36.111758540530424,True
1892,amount_sum,-194020.39739583334,35.237029681960024,True
1879,amount_sum,189288.8427083333,34.358557557673514,True
1892,amount_sum_real,-121053.04689999999,32.093368240731586,True
1876,amount_sum,-171890.19687500002,31.128282019424898,True
1880,amount_sum_real,-117391.64660000001,31.098711628102276,True
1873,amount_sum,163485.56354166666,29.567857045855888,True
1899,amount_median,-41.75,29.366068502726126,True
1879,amount_sum_real,103340.24100000001,27.281504452810186,True
1893,amount_sum,151079.01875,27.26442731123104,True
1894,amount_sum,-137663.45208333334,24.773660084275285,True
1883,amount_median,35.28385416666667,24.683324199636516,True
1893,amount_sum_real,92222.9,24.26136575327901,True
1876,amount_sum_real,-90045.3474,23.669811452882474,True
1873,amount_sum_real,86317.1017,22.65699560780489,True
1894,amount_sum_real,-85060.2309,22.315553877863284,True
1900,amount_median,31.714583333333337,22.098479519082904,True
1889,data_rows_per_page,-37.4,16.54975605536333,True
1893,data_rows_per_page,-34.95,15.406140138408313,True
1894,n_data_rows,-294.0,12.945666666666668,True
1885,entry_ratio,0.15849999999999997,12.911857142857263,True
1818,n_data_rows,-290.0,12.756333333333334,True
1883,amount_sum,68050.1703125,11.84908633321285,True
1883,entry_ratio,-0.1403000000000001,11.317584415584532,True
1891,n_data_rows,255.0,11.099666666666668,True
1893,amount_median,16.41770833333333,11.020573745281698,True
1889,entry_ratio,-0.13690000000000002,11.019753246753355,True
1809,n_data_rows,251.0,10.910333333333334,True
1873,n_data_rows,249.0,10.815666666666665,True
1889,amount_sum,60692.3875,10.483022211749475,True
1891,amount_median,15.10416666666665,10.069314693135736,True
1883,amount_sum_real,39035.429,9.812448561902773,True
1889,amount_sum_real,38771.7142,9.740807755605738,True
1884,amount_median,14.310416666666661,9.494485670348102,True
1851,amount_sum,-54750.567708333336,9.379849280386626,True
1894,data_rows_per_page,-21.799999999999997,9.267956747404847,True
1819,amount_median,-13.533333333333331,8.93172654830141,True
1851,amount_sum_real,-34075.8982,8.465141602388195,True
1884,entry_ratio,-0.1067999999999999,8.383071428571503,True
1892,n_data_rows,-195.0,8.259666666666666,True
1833,amount_sum,48111.92395833333,8.147302292638463,True
1817,n_data_rows,192.0,8.117666666666667,True
1860,amount_sum,47791.20104166667,8.087756084146811,True
1701,n_data_rows,-188.0,7.928333333333334,True
1850,amount_sum,46436.78125,7.836291161907951,True
1885,data_rows_per_page,18.6,7.77425432525952,True
1885,n_data_rows,-179.0,7.502333333333333,True
1886,data_rows_per_page,18.0,7.494185121107269,True
1850,amount_sum_real,28907.583300000002,7.061116319647154,True
