category,decade_from,decade_to,cosine_sim
land_rent,1700,1710,0.956324009398207
land_rent,1710,1720,0.9683407346821121
land_rent,1720,1730,0.9310459797994547
land_rent,1730,1740,0.9395511158449623
land_rent,1740,1750,0.9484695151103035
land_rent,1750,1760,0.969857521699185
land_rent,1760,1770,0.7822039424456174
land_rent,1770,1780,0.8942972796382131
land_rent,1780,1790,0.8409675140946945
land_rent,1790,1800,0.8521796286133134
land_rent,1800,1810,0.9049933669165876
land_rent,1810,1820,0.8273950655495618
land_rent,1820,1830,0.9330532614601839
land_rent,1830,1840,0.8324917586927063
land_rent,1840,1850,0.8464024200555996
land_rent,1850,1860,0.5851734829371267
land_rent,1860,1870,0.8509175630660128
land_rent,1870,1880,0.45944794896594626
land_rent,1880,1890,0.7009892801545515
land_rent,1890,1900,0.7039332799467938
ecclesiastical,1700,1710,0.9150418444106239
ecclesiastical,1710,1720,0.9327665701805151
ecclesiastical,1720,1730,0.9102272016656927
ecclesiastical,1730,1740,0.9012570793330531
ecclesiastical,1740,1750,0.9300899925308761
ecclesiastical,1750,1760,0.9679099837548206
ecclesiastical,1760,1770,0.7898870851989717
ecclesiastical,1770,1780,0.7739054224389713
ecclesiastical,1780,1790,0.721164733404766
ecclesiastical,1790,1800,0.7468325435689728
ecclesiastical,1800,1810,0.7932521501615922
ecclesiastical,1810,1820,0.7798847696576193
ecclesiastical,1820,1830,0.7066596001377274
ecclesiastical,1830,1840,0.7540557597794779
ecclesiastical,1840,1850,0.8090695823476272
ecclesiastical,1850,1860,0.8140650049328111
ecclesiastical,1860,1870,0.7429209742311804
ecclesiastical,1870,1880,0.6027968162126922
ecclesiastical,1880,1890,0.33548834521230336
ecclesiastical,1890,1900,0.6314560839190722
maintenance,1700,1710,0.8871955457089936
maintenance,1710,1720,0.9245094950666825
maintenance,1720,1730,0.8575329625499779
maintenance,1730,1740,0.8280388941997219
maintenance,1740,1750,0.8811219555666461
maintenance,1750,1760,0.9078829209052781
maintenance,1760,1770,0.7007173896688974
maintenance,1770,1780,0.7886343143350946
maintenance,1780,1790,0.7921984766407694
maintenance,1790,1800,0.8259590657329656
maintenance,1800,1810,0.8249314705507494
maintenance,1810,1820,0.7755287157359358
maintenance,1820,1830,0.8227301706230974
maintenance,1830,1840,0.6677372017405243
maintenance,1840,1850,0.7162446589917723
maintenance,1850,1860,0.8110673835674941
maintenance,1860,1870,0.8478917910443458
maintenance,1870,1880,0.7664943081152062
maintenance,1880,1890,0.33323326744788095
maintenance,1890,1900,0.5515845042991512
salary_stipend,1700,1710,0.9383091366994052
salary_stipend,1710,1720,0.9694888571577167
salary_stipend,1720,1730,0.9270215182833974
salary_stipend,1730,1740,0.9261023448004462
salary_stipend,1740,1750,0.9445687048582542
salary_stipend,1750,1760,0.9589564513832656
salary_stipend,1760,1770,0.5803545461257725
salary_stipend,1770,1780,0.7338379496087377
salary_stipend,1780,1790,0.743587297132713
salary_stipend,1790,1800,0.8190290004135661
salary_stipend,1800,1810,0.8182501459315321
salary_stipend,1810,1820,0.7691256654707526
salary_stipend,1820,1830,0.7673335289018327
salary_stipend,1830,1840,0.8159475424450344
salary_stipend,1840,1850,0.827615844847665
salary_stipend,1850,1860,0.5931751267986548
salary_stipend,1860,1870,0.8074604943074044
salary_stipend,1870,1880,0.6638687654412355
salary_stipend,1880,1890,0.5565249180712852
salary_stipend,1890,1900,0.6566269455170493
administrative,1700,1710,0.9862585746798576
administrative,1710,1720,0.9743433263061996
administrative,1720,1730,0.9599886896867881
administrative,1730,1740,0.9743337537088982
administrative,1740,1750,0.9719219784251831
administrative,1750,1760,0.9710176211908221
administrative,1760,1770,0.7018966668641874
administrative,1770,1780,0.8350349799542086
administrative,1780,1790,0.8392888914417059
