era,name,n_entries,amount_sum,first_year,last_year
pre_1760,Cook,138.5,1187.9145833333334,1700,1759
pre_1760,Sadler,86.85714285714286,325.2438244047619,1700,1759
pre_1760,Hopkins,71.0,134.859375,1700,1748
pre_1760,Franklyn,69.0,49.44583333333333,1700,1757
pre_1760,Napper,58.857142857142854,287.9955357142857,1700,1759
pre_1760,Librarian,58.214285714285715,61.95059523809524,1700,1759
pre_1760,Ralph Marshall,55.0,30.395833333333332,1700,1733
pre_1760,Lucas Eaton,51.0,421.9625,1700,1759
pre_1760,Molineux,45.0,287.440625,1703,1758
pre_1760,Janitor,44.5,74.14583333333333,1700,1759
pre_1760,Franklin,42.0,45.7,1704,1758
pre_1760,Walker,33.0,21.541666666666668,1700,1717
pre_1760,Laundress,31.5,54.083333333333336,1700,1759
pre_1760,Hughes,31.0,23.071875,1700,1726
pre_1760,Lord,31.0,128.171875,1700,1751
pre_1760,Warner,31.0,30.220833333333335,1708,1730
pre_1760,Webb,30.0,66.15,1727,1758
pre_1760,Barber,28.5,25.150000000000002,1700,1759
pre_1760,Mr Hutchins,28.0,264.2375,1700,1717
pre_1760,Curate of South Newington,27.0,365.81666666666666,1700,1752
pre_1760,Mason,25.0,170.21666666666667,1721,1757
pre_1760,Mayor,25.0,23.166666666666664,1700,1757
pre_1760,Newman,24.5,84.06666666666666,1716,1759
pre_1760,Mr Sadler,23.357142857142858,48.044642857142854,1700,1759
pre_1760,Mr Horner,23.0,43.354166666666664,1737,1753
pre_1760,Vicar of South Newington,23.0,308.875,1736,1758
pre_1760,Molineaux,22.0,59.20625,1708,1755
pre_1760,Boyce,21.0,111.73333333333333,1721,1743
pre_1760,Mr Townsend,20.357142857142858,760.0056547619048,1700,1759
pre_1760,Wilmot,19.5,34.58541666666667,1733,1759
pre_1760,John Hudson; Scholars,19.0,201.05520833333333,1741,1741
pre_1760,George,18.0,45.958333333333336,1700,1722
pre_1760,Jennings,17.0,40.15208333333334,1700,1744
pre_1760,Greenway,16.0,51.4,1700,1756
pre_1760,Morton,16.0,111.59791666666666,1717,1742
pre_1760,Balliol College,15.0,163.67291666666665,1705,1756
pre_1760,Mr Weston,14.0,461.378125,1740,1749
pre_1760,Mynn,14.0,42.166666666666664,1716,1742
pre_1760,Bishop,13.0,22.416666666666668,1700,1722
pre_1760,Jesus College,13.0,14.670833333333334,1708,1753
pre_1760,Minne,13.0,12.270833333333334,1700,1711
pre_1760,Mr Clarke,13.0,22.302083333333332,1705,1727
pre_1760,Mr Collison,13.0,308.2708333333333,1703,1733
pre_1760,Scullion,13.0,25.977083333333333,1700,1756
pre_1760,St John's College,13.0,489.825,1705,1742
pre_1760,Hackworth,12.0,44.420833333333334,1739,1752
pre_1760,Vicar,12.0,17.125,1705,1757
pre_1760,Mr Upton,11.714285714285714,256.7075148809524,1700,1759
pre_1760,Broadwater,11.0,80.14166666666667,1700,1728
pre_1760,Horner,11.0,16.433333333333334,1718,1759
pre_1760,Mr Wright,11.0,36.90416666666667,1715,1758
pre_1760,Porter,11.0,9.864583333333334,1745,1758
pre_1760,All Souls College,10.0,29.04583333333333,1705,1742
pre_1760,Mr Adams,10.0,111.82916666666667,1700,1716
pre_1760,Mr Bonney,10.0,600.0,1746,1755
pre_1760,Mr Rowney,10.0,530.0125,1734,1757
pre_1760,Rector Salenby,10.0,249.55625,1752,1752
pre_1760,Rector and Fellows,10.0,171.990625,1701,1733
pre_1760,Mr Bray,9.857142857142858,363.8407738095238,1700,1759
pre_1760,Beadle of Beggars,9.5,10.558333333333334,1705,1759
pre_1760,Bigg,9.0,42.16979166666667,1730,1738
pre_1760,Biggs,9.0,27.835416666666667,1724,1736
pre_1760,Gardener,9.0,14.520833333333334,1700,1740
pre_1760,Mrs Shiers,9.0,383.3333333333333,1744,1754
pre_1760,Beadle,8.857142857142858,9.747619047619049,1700,1759
pre_1760,Mr Webber,8.5,261.80625,1742,1759
pre_1760,Smith,8.5,54.91458333333333,1716,1759
pre_1760,Beadle of the Beggars,8.0,12.049999999999999,1703,1747
pre_1760,Clarke,8.0,14.064583333333333,1721,1755
pre_1760,Cosens,8.0,87.24166666666667,1700,1728
pre_1760,Greeneway,8.0,3.5,1702,1709
pre_1760,Marshall,8.0,1.3979166666666667,1717,1745
pre_1760,Mr Brooks,8.0,1.775,1720,1745
pre_1760,Mr Hole,8.0,15.65,1720,1745
pre_1760,Mr Verman,8.0,105.50520833333333,1700,1710
pre_1760,Rector,8.0,2.261458333333333,1717,1748
pre_1760,Rowney,8.0,329.0,1735,1756
pre_1760,Supervisor,8.0,30.0,1729,1755
pre_1760,West,8.0,8.095833333333333,1700,1724
pre_1760,Francis Webber,7.857142857142857,0.0,1700,1759
pre_1760,Banister,7.0,3.55,1723,1750
pre_1760,Blake,7.0,3.0,1700,1709
pre_1760,City of Oxford,7.0,34.949999999999996,1705,1756
pre_1760,Elizabeth Thiers,7.0,136.48125,1746,1749
pre_1760,Guinear,7.0,268.628125,1706,1728
pre_1760,Hughs,7.0,6.75,1702,1724
pre_1760,Mr Clark,7.0,16.375,1700,1716
pre_1760,Mr Sherwin,7.0,7.208333333333334,1703,1715
pre_1760,Preacher,7.0,10.0,1739,1758
pre_1760,Vicar of Cuddington,7.0,28.0,1702,1736
pre_1760,West Supervisor,7.0,25.75,1700,1708
pre_1760,Banister (now Franklin),6.0,3.1,1734,1749
pre_1760,Christ Church,6.0,2.8041666666666667,1705,1730
pre_1760,Clerk of the Market,6.0,12.924999999999999,1734,1735
pre_1760,Hilliard,6.0,12.183333333333334,1705,1722
pre_1760,Laundry worker,6.0,8.866666666666667,1702,1758
pre_1760,Mr Halifax,6.0,18.883333333333333,1715,1740
pre_1760,Mr Pain,6.0,29.925,1700,1731
pre_1760,Mr Wise,6.0,13.975,1708,1746
pre_1760,Mynne,6.0,10.530208333333333,1700,1710
pre_1760,Ralph Marshal,6.0,28.544791666666665,1708,1734
pre_1760,Sparks,6.0,123.83333333333333,1702,1727
pre_1760,Supervisor of Buildings,6.0,24.0,1741,1756
pre_1760,Sayer,5.857142857142857,7.55595238095238,1700,1759
pre_1760,Francis Upton,5.714285714285714,257.1428571428571,1700,1759
pre_1760,Mr Bush,5.5,219.74583333333334,1734,1759
pre_1760,Mr Wilmot,5.5,58.3,1731,1759
pre_1760,Vicar of Kidlington,5.5,38.2,1738,1759
pre_1760,Robert Curtis,5.142857142857142,24.4,1700,1759
pre_1760,Alderman Shilfox,5.0,46.666666666666664,1746,1750
pre_1760,Boyse,5.0,12.466666666666667,1730,1741
pre_1760,Bursar,5.0,120.5125,1716,1749
pre_1760,Dod,5.0,26.083333333333332,1753,1758
pre_1760,Duncan,5.0,13.154166666666667,1758,1758
pre_1760,Exchequer,5.0,287.5,1741,1755
pre_1760,Fox,5.0,8.5,1716,1729
pre_1760,G. Cook,5.0,71.725,1729,1729
pre_1760,Glazier,5.0,18.329166666666666,1702,1727
pre_1760,Jennins,5.0,13.7,1703,1709
pre_1760,John Morton,5.0,51.3,1733,1734
pre_1760,Mountague,5.0,4.4,1704,1712
pre_1760,Mr Broadwater,5.0,40.75,1707,1716
pre_1760,Mr Coperal,5.0,66.81770833333333,1737,1746
pre_1760,Mr Cozens,5.0,89.325,1721,1744
pre_1760,Mr Haviland,5.0,55.94375,1721,1723
pre_1760,Mr Le Britton,5.0,11.542708333333334,1703,1707
pre_1760,Mr Sury,5.0,6.766666666666667,1704,1707
pre_1760,Mrs Payne,5.0,82.73541666666667,1740,1745
pre_1760,Rector of the Schools,5.0,127.36666666666666,1751,1751
pre_1760,Teasler,5.0,77.53750000000001,1737,1748
pre_1760,Thomas Bray,5.0,0.0,1732,1758
pre_1760,Weston,5.0,67.4625,1741,1752
pre_1760,Mr Thomson,4.857142857142857,72.56369047619047,1700,1759
pre_1760,Mr Lawrence,4.714285714285714,99.90714285714286,1700,1759
pre_1760,Gooch,4.5,63.0,1753,1759
pre_1760,Mr Fletcher,4.5,15.337499999999999,1749,1759
pre_1760,Banister (alias Franklin),4.0,9.4875,1737,1750
pre_1760,Barrett,4.0,3.0052083333333335,1721,1745
pre_1760,Baylis,4.0,10.216666666666667,1740,1749
pre_1760,Beard,4.0,4.5,1707,1710
pre_1760,Blay,4.0,12.0,1724,1733
pre_1760,Carpenter,4.0,18.541666666666664,1720,1755
pre_1760,Carter,4.0,2.2125,1736,1756
pre_1760,Collins,4.0,93.33541666666667,1750,1757
pre_1760,Comyn,4.0,30.66666666666667,1747,1753
pre_1760,Dean,4.0,4.761458333333334,1745,1749
pre_1760,Dr Coperat,4.0,100.98333333333333,1750,1752
pre_1760,Fhien,4.0,166.66666666666666,1756,1756
pre_1760,Francke,4.0,35.9,1751,1751
pre_1760,Garrington Sadler,4.0,18.1625,1747,1755
pre_1760,George Lumbart,4.0,16.15,1747,1748
pre_1760,Green,4.0,79.47083333333333,1738,1751
pre_1760,Greenaway,4.0,1.8,1702,1750
