era,name,n_entries,amount_sum,first_year,last_year
pre_1760,South Newington,346.92857142857144,6294.583035714286,1700,1759
pre_1760,Merton,232.42857142857142,2929.211011904762,1700,1759
pre_1760,Long Wittenham,152.85714285714286,4664.199702380953,1700,1759
pre_1760,Cuddington,144.0,2781.103125,1700,1738
pre_1760,Kidlington,135.92857142857142,3138.0877976190477,1700,1759
pre_1760,Bampton,106.0,279.96458333333334,1700,1759
pre_1760,Clifton Ferry,91.5,397.7729166666667,1700,1759
pre_1760,Morton,67.0,678.3770833333333,1704,1759
pre_1760,Yardington,64.5,1327.503125,1700,1759
pre_1760,Backgate,62.0,284.5416666666667,1700,1757
pre_1760,Oxford,57.857142857142854,188.25133928571427,1700,1759
pre_1760,Bensington,54.5,266.56666666666666,1700,1759
pre_1760,Greenway,54.0,132.275,1700,1758
pre_1760,Chase Hill,45.357142857142854,525.1395833333333,1700,1759
pre_1760,Chapel,44.5,463.3770833333333,1700,1759
pre_1760,Thrupp,40.0,708.1739583333333,1700,1758
pre_1760,Medenham,39.0,293.48541666666665,1700,1757
pre_1760,Tintinhull,37.857142857142854,117.57366071428571,1700,1759
pre_1760,Christ Church,37.5,27.220833333333335,1700,1759
pre_1760,Balliol College,36.5,37.520833333333336,1700,1759
pre_1760,All Souls College,34.857142857142854,115.1970238095238,1700,1759
pre_1760,Hart Hall,32.357142857142854,125.36294642857142,1700,1759
pre_1760,St John's College,32.0,475.39583333333337,1700,1752
pre_1760,Ladlane,31.5,319.40208333333334,1700,1759
pre_1760,Leadenhall,31.0,19.15833333333333,1702,1757
pre_1760,Guinear,30.5,1368.8604166666667,1700,1759
pre_1760,Brewhouse,30.0,237.2,1700,1740
pre_1760,Thrup,29.0,303.9354166666667,1700,1755
pre_1760,Chace Hill,27.0,151.96666666666667,1703,1756
pre_1760,Calcot,26.5,81.434375,1700,1759
pre_1760,Mountacute,26.5,208.3125,1710,1759
pre_1760,Back Gate,26.0,121.80104166666666,1707,1758
pre_1760,Little Tew,25.857142857142858,139.0797619047619,1700,1759
pre_1760,Leaden Hall,25.0,45.10208333333333,1700,1759
pre_1760,Gwinear,24.714285714285715,2351.7441964285713,1700,1759
pre_1760,Cuddington Mills,24.0,157.41666666666666,1700,1738
pre_1760,Yarnton,23.0,363.26458333333335,1716,1754
pre_1760,Little Few,22.714285714285715,61.20892857142857,1700,1759
pre_1760,Garsington,20.714285714285715,130.5261904761905,1700,1759
pre_1760,Kidlington Mills,20.0,437.92031249999997,1739,1759
pre_1760,Mountague,19.0,14.2875,1700,1708
pre_1760,Quadrangle,17.5,34.204166666666666,1702,1759
pre_1760,Sparks,17.0,541.025,1703,1739
pre_1760,Bocardo,16.0,29.35,1700,1758
pre_1760,Minhinnet,16.0,427.5,1700,1751
pre_1760,Norton,16.0,109.01458333333333,1714,1753
pre_1760,Calcott,15.0,27.79479166666667,1700,1723
pre_1760,Lad Lane,15.0,187.69166666666666,1703,1758
pre_1760,Library,15.0,36.420833333333334,1700,1759
pre_1760,Montacute,15.0,86.49583333333334,1715,1754
pre_1760,Brew House,14.0,71.225,1700,1737
pre_1760,Thorp,14.0,436.67291666666665,1715,1753
pre_1760,Meriton,13.5,304.9458333333333,1707,1759
pre_1760,Castle,13.0,7.833333333333334,1702,1758
pre_1760,Yarrington,13.0,162.6,1715,1729
pre_1760,Molineux,12.0,41.27916666666667,1704,1748
pre_1760,Trethewin,12.0,51.61666666666667,1700,1746
pre_1760,Bennington,11.5,81.29166666666667,1713,1759
pre_1760,Buttery,11.0,89.75,1700,1741
pre_1760,Harthall,11.0,63.86666666666667,1700,1756
pre_1760,Little Town,11.0,63.94166666666667,1743,1743
