decade,total,eccl_total,sec_total,eccl_rate,sec_rate,eccl_michaelmas,eccl_christmas,eccl_midsummer,eccl_lady_day,eccl_candlemas,eccl_feast,eccl_nativity,eccl_annunciation,sec_half_year,sec_quarterly,sec_annually,sec_instalment,sec_calendar,sec_january,sec_december
1700,3208,695,115,216.6,35.8,122.82,21.82,16.21,14.03,0.62,17.46,2.81,20.89,26.18,0.31,0.31,2.81,0.0,6.23,0.0
1710,2637,457,97,173.3,36.8,80.77,18.58,20.86,18.58,0.38,15.55,0.38,18.2,28.44,0.0,0.38,0.38,0.0,7.58,0.0
1720,3489,521,120,149.3,34.4,60.48,17.2,18.63,18.06,0.0,18.63,0.29,16.05,25.22,1.43,0.57,1.15,0.0,5.73,0.29
1730,2988,646,128,216.2,42.8,96.05,24.43,24.1,24.1,0.67,23.09,1.67,22.09,33.47,0.0,0.0,1.0,0.0,7.7,0.67
1740,3072,715,114,232.7,37.1,98.96,26.04,23.44,21.81,0.0,32.23,3.91,26.37,27.34,0.33,0.0,0.0,0.0,7.16,2.28
1750,3114,641,139,205.8,44.6,103.4,19.27,21.52,21.19,2.89,18.95,1.93,16.7,33.4,0.64,0.0,0.96,0.0,7.71,1.93
1760,3411,712,170,208.7,49.8,94.4,19.06,20.23,25.8,5.86,19.35,2.05,21.99,36.94,0.88,0.29,2.05,0.0,8.21,1.47
1770,3360,490,169,145.8,50.3,39.58,13.69,5.95,28.57,6.25,30.65,0.6,20.54,45.24,1.19,0.89,2.98,0.0,0.0,0.0
1780,3884,540,177,139.0,45.6,44.03,10.56,13.9,19.31,3.35,28.58,0.77,18.54,35.79,0.0,0.26,3.35,0.0,4.12,2.06
1790,3585,564,207,157.3,57.7,42.4,20.92,20.64,21.48,2.51,31.8,2.23,15.34,42.68,1.12,0.0,8.37,0.0,4.46,1.12
1800,2168,262,81,120.8,37.4,40.59,17.07,9.23,23.52,0.46,18.45,5.54,6.0,28.6,1.38,0.0,3.23,0.0,3.69,0.46
1810,1885,222,49,117.8,26.0,37.67,19.1,6.9,18.04,0.0,23.34,5.84,6.9,15.92,0.53,0.0,1.59,0.0,1.06,6.9
1820,2168,410,93,189.1,42.9,62.27,23.99,23.52,19.37,0.0,38.75,6.92,14.3,32.29,2.77,0.0,4.15,0.0,0.92,2.77
1830,2314,468,84,202.2,36.3,73.47,45.81,12.53,22.47,0.0,31.55,5.19,11.24,28.09,3.89,0.0,3.46,0.0,0.0,0.86
1840,2380,316,157,132.8,66.0,24.37,21.43,7.14,14.71,0.0,44.96,6.3,13.87,48.74,5.88,0.0,8.82,0.0,0.84,1.68
1850,2197,378,151,172.1,68.7,52.34,26.4,10.92,28.22,0.0,40.96,3.64,9.56,45.06,6.37,0.0,13.65,0.0,1.82,1.82
1860,2041,203,35,99.5,17.1,29.89,18.62,12.74,15.19,0.0,17.64,0.0,5.39,6.86,1.47,0.0,4.41,0.0,0.98,3.43
1870,2115,23,31,10.9,14.7,5.2,3.78,0.47,0.95,0.0,0.47,0.0,0.0,7.09,0.95,0.0,2.36,0.0,1.42,2.84
1880,1462,47,17,32.1,11.6,4.79,6.84,14.36,3.42,0.0,1.37,0.0,1.37,5.47,1.37,0.0,0.68,0.0,3.42,0.68
1890,1333,1,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
