era,category,rank,word,count,log_odds
pre_industrial,land_rent,1,pierris,5,1.47
pre_industrial,land_rent,2,chase,144,1.47
pre_industrial,land_rent,3,quit,238,1.47
pre_industrial,land_rent,4,mountague,19,1.47
pre_industrial,land_rent,5,hughs,8,1.47
pre_industrial,land_rent,6,minne,17,1.47
pre_industrial,land_rent,7,brome,6,1.47
pre_industrial,land_rent,8,ferry,131,1.47
pre_industrial,land_rent,9,seat,5,1.47
pre_industrial,land_rent,10,calcutt,12,1.47
pre_industrial,financial,1,introduced,4,4.3
pre_industrial,financial,2,placed,91,4.3
pre_industrial,financial,3,transferred,4,4.3
pre_industrial,financial,4,benefactor,3,4.3
pre_industrial,financial,5,consols,5,4.3
pre_industrial,financial,6,percent,9,4.3
pre_industrial,financial,7,bring,3,4.3
pre_industrial,financial,8,investment,21,4.3
pre_industrial,financial,9,capital,3,4.3
pre_industrial,financial,10,mitchells,5,4.3
pre_industrial,educational,1,volume,9,4.54
pre_industrial,educational,2,student,22,4.54
pre_industrial,educational,3,subscriptions,6,4.54
pre_industrial,educational,4,commoner,21,4.54
pre_industrial,educational,5,history,8,4.54
pre_industrial,educational,6,woff,4,4.54
pre_industrial,educational,7,scholarly,6,4.54
pre_industrial,educational,8,publication,6,4.54
pre_industrial,educational,9,milman,9,4.54
pre_industrial,educational,10,neells,3,4.54
pre_industrial,ecclesiastical,1,procuration,158,3.32
pre_industrial,ecclesiastical,2,sermon,242,3.32
pre_industrial,ecclesiastical,3,consecration,120,3.32
pre_industrial,ecclesiastical,4,preacher,46,3.32
pre_industrial,ecclesiastical,5,curate,60,3.32
pre_industrial,ecclesiastical,6,tenths,17,3.32
pre_industrial,ecclesiastical,7,synodal,153,3.32
pre_industrial,ecclesiastical,8,preaching,5,3.32
pre_industrial,ecclesiastical,9,purification,11,3.32
pre_industrial,ecclesiastical,10,synod,20,3.32
pre_industrial,maintenance,1,fitting,5,4.5
pre_industrial,maintenance,2,nails,10,4.5
pre_industrial,maintenance,3,joiner,20,4.5
pre_industrial,maintenance,4,metalworker,6,4.5
pre_industrial,maintenance,5,smithing,8,4.5
pre_industrial,maintenance,6,lock,3,4.5
pre_industrial,maintenance,7,wire,9,4.5
pre_industrial,maintenance,8,loads,7,4.5
pre_industrial,maintenance,9,gravel,21,4.5
pre_industrial,maintenance,10,load,4,4.5
pre_industrial,administrative,1,curia,109,2.38
pre_industrial,administrative,2,hoystings,8,2.38
pre_industrial,administrative,3,hustings,103,2.38
pre_industrial,administrative,4,engraving,4,2.38
pre_industrial,administrative,5,tour,38,2.38
pre_industrial,administrative,6,inspection,53,2.38
pre_industrial,administrative,7,progress,150,2.38
pre_industrial,administrative,8,dodwell,4,2.38
pre_industrial,administrative,9,examined,3,2.38
pre_industrial,administrative,10,approver,7,2.38
pre_industrial,domestic,1,cloth,7,3.84
pre_industrial,domestic,2,towels,3,3.84
pre_industrial,domestic,3,tablecloth,4,3.84
pre_industrial,domestic,4,meat,14,3.84
pre_industrial,domestic,5,butcher,3,3.84
pre_industrial,domestic,6,goldsmith,7,3.84
pre_industrial,domestic,7,coffee,6,3.84
pre_industrial,domestic,8,linen,18,3.84
pre_industrial,domestic,9,firewood,5,3.84
pre_industrial,domestic,10,tobacco,3,3.84
pre_industrial,charitable,1,alms,357,5.44
pre_industrial,charitable,2,beggars,149,5.44
pre_industrial,charitable,3,relief,42,5.44
pre_industrial,charitable,4,charitable,103,5.44
pre_industrial,charitable,5,pauperibus,5,5.44
pre_industrial,charitable,6,bedle,4,5.44
pre_industrial,charitable,7,bedell,10,5.44
pre_industrial,charitable,8,beadles,70,5.44
pre_industrial,charitable,9,protestants,70,5.44
pre_industrial,charitable,10,vandon,70,5.44
transition,land_rent,1,bensington,65,1.6
transition,land_rent,2,comyns,46,1.6
transition,land_rent,3,arish,22,1.6
transition,land_rent,4,tenancy,43,1.6
transition,land_rent,5,tenant,290,1.6
transition,land_rent,6,gregory,20,1.6
transition,land_rent,7,puckett,6,1.6
transition,land_rent,8,triennium,6,1.6
transition,land_rent,9,chace,29,1.6
transition,land_rent,10,holdings,4,1.6
transition,financial,1,capital,21,3.57
transition,financial,2,bartholomew,18,3.57
transition,financial,3,stockings,4,3.57
transition,financial,4,designated,3,3.57
transition,financial,5,holmbridge,4,3.57
transition,financial,6,exchange,4,3.57
transition,financial,7,credit,4,3.57
transition,financial,8,debts,26,3.57
transition,financial,9,comptroller,4,3.57
transition,financial,10,llwitt,6,3.57
transition,educational,1,battle,3,5.68
transition,educational,2,symes,4,5.68
transition,educational,3,exhibition,13,5.68
transition,educational,4,battel,4,5.68
transition,educational,5,lecture,7,5.68
transition,educational,6,breckland,6,5.68
transition,educational,7,instruction,4,5.68
transition,educational,8,version,6,5.68
transition,educational,9,septuagint,11,5.68
transition,educational,10,edition,8,5.68
transition,ecclesiastical,1,procuration,45,3.39
transition,ecclesiastical,2,procurationes,11,3.39
transition,ecclesiastical,3,synodal,41,3.39
transition,ecclesiastical,4,sermon,15,3.39
transition,ecclesiastical,5,livings,13,3.39
transition,ecclesiastical,6,living,14,3.39
transition,ecclesiastical,7,decima,30,3.39
transition,ecclesiastical,8,buren,6,3.39
transition,ecclesiastical,9,benefices,9,3.39
transition,ecclesiastical,10,gidl,4,3.39
transition,maintenance,1,picture,6,3.79
transition,maintenance,2,frame,6,3.79
transition,maintenance,3,carpentry,22,3.79
transition,maintenance,4,founder,4,3.79
transition,maintenance,5,glazier,12,3.79
transition,maintenance,6,glazing,29,3.79
transition,maintenance,7,upkeep,4,3.79
transition,maintenance,8,rope,20,3.79
transition,maintenance,9,tasks,4,3.79
transition,maintenance,10,removing,4,3.79
transition,administrative,1,municipal,26,2.44
transition,administrative,2,hustings,22,2.44
transition,administrative,3,inter,57,2.44
transition,administrative,4,letters,16,2.44
transition,administrative,5,agency,4,2.44
transition,administrative,6,michaels,3,2.44
transition,administrative,7,inspection,16,2.44
transition,administrative,8,engraving,3,2.44
transition,administrative,9,certification,6,2.44
transition,administrative,10,verifier,12,2.44
transition,domestic,1,wine,113,4.15
transition,domestic,2,candles,34,4.15
transition,domestic,3,purchases,14,4.15
transition,domestic,4,candle,4,4.15
transition,domestic,5,coals,14,4.15
transition,domestic,6,lawrance,4,4.15
transition,domestic,7,food,12,4.15
transition,domestic,8,provisions,36,4.15
transition,domestic,9,forge,4,4.15
transition,domestic,10,silver,7,4.15
transition,charitable,1,beggars,32,5.83
transition,charitable,2,charitable,21,5.83
transition,charitable,3,castle,5,5.83
transition,charitable,4,bocardo,3,5.83
transition,charitable,5,prisoners,5,5.83
transition,charitable,6,alms,74,5.83
