decade,total_entries,capons,augmentation,feast,michaelmas,quit rent,almoner,maundy,insurance,dividend,consols,bankers,loan,mortgage,rack rent,deficit,percentage,tuition,prize,exhibition,exhibitioner,undergraduate,entrance,private,composition,income tax,canal,railway,gas,drainage,insurance premium
1700,3208,13.72,38.34,17.46,122.82,16.83,0.0,0.0,0.0,9.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710,2637,11.0,38.3,15.55,80.77,3.41,0.0,0.0,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1720,3489,11.75,22.36,18.63,60.48,6.02,0.0,0.0,0.0,8.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1730,2988,11.04,38.82,23.09,96.05,3.01,0.0,0.0,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.34,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,1.34,0.0,0.0
1740,3072,12.04,41.34,32.23,98.96,9.77,0.0,0.0,0.0,10.74,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750,3114,14.45,37.57,18.95,103.4,4.17,0.0,0.0,0.0,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.64,0.0,0.0
1760,3411,13.19,38.11,19.35,94.4,11.14,0.0,0.0,0.0,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,1.17,0.0,0.0
1770,3360,17.86,33.33,30.65,39.58,5.36,0.0,0.0,0.0,21.13,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0
1780,3884,10.3,30.12,28.58,44.03,0.0,0.0,0.0,0.0,7.47,1.54,0.51,0.0,0.0,0.51,0.0,0.0,0.0,0.51,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
1790,3585,8.37,34.59,31.8,42.4,0.0,0.0,0.0,1.39,23.99,11.16,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.56,0.0,1.12
1800,2168,8.3,32.29,18.45,40.59,0.0,0.0,0.0,8.3,53.04,13.84,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.46,2.77,1.85,0.0,0.0,0.46,2.77
1810,1885,6.37,34.48,23.34,37.67,0.53,0.0,0.0,7.96,18.57,0.0,3.18,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,6.37
1820,2168,7.84,36.44,38.75,62.27,1.85,0.0,0.0,5.07,8.3,1.85,0.0,0.92,0.0,0.0,0.0,0.0,0.46,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.15,0.46,4.15
1830,2314,5.62,32.84,31.55,73.47,0.0,0.0,0.0,12.53,5.19,0.86,0.0,7.78,0.0,0.0,0.0,0.0,0.43,3.46,0.0,0.0,0.0,0.0,0.43,0.0,0.0,4.32,0.0,7.78,2.16,4.75
1840,2380,5.88,35.71,44.96,24.37,2.94,0.0,0.0,16.39,3.36,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,7.98,0.0,0.0,0.0,0.42,0.42,0.42,0.42,2.52,2.52,11.76,2.94,7.98
1850,2197,2.73,21.39,40.96,52.34,1.82,0.0,0.0,15.48,8.19,9.1,0.0,14.11,0.0,0.0,0.91,0.0,0.0,4.1,0.46,0.0,0.0,0.0,0.0,0.46,1.37,1.82,1.82,10.47,5.92,5.46
1860,2041,0.0,2.45,17.64,29.89,1.96,0.0,0.0,13.23,10.78,4.9,0.0,8.33,0.0,0.0,4.41,0.0,0.49,5.88,9.8,0.49,0.0,0.49,0.98,8.82,1.96,0.0,1.47,11.27,6.86,3.92
1870,2115,0.0,0.95,0.47,5.2,8.04,0.0,0.0,33.57,7.09,1.42,0.0,3.31,0.0,0.0,2.84,11.35,0.0,8.51,7.09,0.0,0.95,10.4,4.26,17.97,3.78,0.0,0.0,0.0,7.09,16.08
1880,1462,0.0,3.42,1.37,4.79,7.52,0.0,0.0,19.15,47.88,5.47,3.42,16.42,0.0,0.0,2.74,6.16,16.42,8.89,75.24,10.26,2.74,7.52,2.05,23.26,2.05,2.05,0.0,0.0,8.21,8.21
1890,1333,0.0,3.0,0.75,0.0,20.26,0.0,0.0,19.5,54.76,0.0,8.25,11.25,0.0,3.0,0.0,0.0,45.76,27.76,87.77,20.26,15.0,0.0,16.5,32.26,0.0,0.0,0.75,0.0,0.0,3.0
1900,86,0.0,0.0,0.0,0.0,23.26,0.0,0.0,23.26,11.63,0.0,11.63,0.0,0.0,23.26,0.0,0.0,34.88,23.26,93.02,0.0,11.63,0.0,23.26,34.88,0.0,0.0,0.0,0.0,0.0,0.0
