term,log_odds,era_favoring
insurance,5.394207219741881,late_industrial
trust fund,5.17468585711609,late_industrial
dividends received,4.897906192807175,late_industrial
exhibition fund,4.896533205046696,late_industrial
cottages,4.845241307896956,late_industrial
furniture,4.8099640710863465,late_industrial
fee fund,4.740679291526139,late_industrial
scholarship,4.618644118258283,late_industrial
exhibition,4.61707978466127,late_industrial
tuition fund,4.589792813317998,late_industrial
tuition,4.572146636106,late_industrial
scholarships,4.567784144645741,late_industrial
trust,4.555842783307655,late_industrial
thatching,4.529677656198699,late_industrial
king charles,4.517638704180156,late_industrial
cottage,4.50829472381095,late_industrial
scholarship payment,4.468179142511805,late_industrial
insurance premium,4.455962229897115,late_industrial
premium,4.455962229897115,late_industrial
infirmary,4.445372674660708,late_industrial
annual rent,-5.0181769475137,pre_industrial
arrears,-4.402385783356204,pre_industrial
arrear,-3.8733210323595637,pre_industrial
biennial,-3.7493789086879143,pre_industrial
curtis,-3.7219662686701387,pre_industrial
annual,-3.6362091902293106,pre_industrial
bray,-3.55595340127742,pre_industrial
newbery,-3.4504698483888365,pre_industrial
sadler,-3.4073817734101794,pre_industrial
charles curtis,-3.396871771942383,pre_industrial
capons,-3.3789263781809016,pre_industrial
year period,-3.3533571650352165,pre_industrial
upton,-3.313275591523383,pre_industrial
received mr,-3.3079286697791757,pre_industrial
paid john,-3.2879510666676373,pre_industrial
tenement,-3.240326870672787,pre_industrial
robert curtis,-3.232496990592356,pre_industrial
plate money,-3.1997260824197546,pre_industrial
mr,-3.1885941019053474,pre_industrial
rent arrears,-3.1845320321823154,pre_industrial
