spec,description,variable,coef,se,pval,ci_lo,ci_hi,n_obs,r_squared,adj_r_squared
S1,"S1: Y ~ year_trend  [Newey-West HAC SE, maxlags=10]",const,0.2560101023477146,0.02343708229412063,8.920245409992432e-28,0.21007426514853678,0.3019459395468924,195,0.033406914419280564,0.028398660089846817
S1,"S1: Y ~ year_trend  [Newey-West HAC SE, maxlags=10]",year_norm,0.05166840446132538,0.04528749299519041,0.25391242440096107,-0.0370934507593578,0.14043025968200856,195,0.033406914419280564,0.028398660089846817
S2,S2: Y ~ era_dummies  [HC3 robust SE; ref=pre_industrial],const,0.22240399427675395,0.014238661198468398,5.343430560222371e-55,0.19449673113968796,0.25031125741381993,195,0.07620546178863552,0.061695599931912426
S2,S2: Y ~ era_dummies  [HC3 robust SE; ref=pre_industrial],early_industrial,-0.005307667135333002,0.02715988420666188,0.8450617810778025,-0.058540062004668506,0.0479247277340025,195,0.07620546178863552,0.061695599931912426
S2,S2: Y ~ era_dummies  [HC3 robust SE; ref=pre_industrial],late_industrial,0.068626467895712,0.04111602146207864,0.09509892970681669,-0.011959453357538036,0.14921238914896204,195,0.07620546178863552,0.061695599931912426
S2,S2: Y ~ era_dummies  [HC3 robust SE; ref=pre_industrial],transition,0.10440352327518121,0.027882698530121958,0.00018083708102336804,0.04975443836435427,0.15905260818600814,195,0.07620546178863552,0.061695599931912426
S3,S3: Y ~ land_rent_share(t-1) + year_trend + era_dummies  [HC3 robust SE],const,0.30676755496337266,0.0512016698094719,2.0809545647080316e-09,0.20641412618849592,0.4071209837382494,193,0.1487796415153979,0.1260197388821197
S3,S3: Y ~ land_rent_share(t-1) + year_trend + era_dummies  [HC3 robust SE],early_industrial,-0.2241537102129821,0.0651269705549118,0.0005778670605093501,-0.3518002269228098,-0.0965071935031544,193,0.1487796415153979,0.1260197388821197
S3,S3: Y ~ land_rent_share(t-1) + year_trend + era_dummies  [HC3 robust SE],late_industrial,-0.25682404713870294,0.0936257579499869,0.006086367124706814,-0.4403271607459419,-0.07332093353146396,193,0.1487796415153979,0.1260197388821197
S3,S3: Y ~ land_rent_share(t-1) + year_trend + era_dummies  [HC3 robust SE],transition,-0.026327309214103426,0.04825587600010922,0.5853565505324096,-0.12090708821674825,0.06825246978854141,193,0.1487796415153979,0.1260197388821197
S3,S3: Y ~ land_rent_share(t-1) + year_trend + era_dummies  [HC3 robust SE],land_rent_lag1,0.14484449181458425,0.07007529219860847,0.03873568308881587,0.007499442899191022,0.2821895407299775,193,0.1487796415153979,0.1260197388821197
S3,S3: Y ~ land_rent_share(t-1) + year_trend + era_dummies  [HC3 robust SE],year_norm,0.2804567541278198,0.06526724848327552,1.7308468070794493e-05,0.1525352977305733,0.4083782105250663,193,0.1487796415153979,0.1260197388821197
S4,S4: log(modern_real_exp) ~ land_rent(t−1) + year + eras  [HC3 robust SE],const,5.909380602244279,0.27693022854273874,4.9466591427055815e-101,5.366607328070065,6.452153876418493,193,0.635885710580649,0.6261500343929658
S4,S4: log(modern_real_exp) ~ land_rent(t−1) + year + eras  [HC3 robust SE],early_industrial,-0.3281194597145138,0.41293298706567355,0.42684212029190605,-1.1374532423917778,0.4812143229627503,193,0.635885710580649,0.6261500343929658
S4,S4: log(modern_real_exp) ~ land_rent(t−1) + year + eras  [HC3 robust SE],late_industrial,-0.7056720598999677,0.6057293740796775,0.24402077101081598,-1.8928798174741255,0.48153569767419,193,0.635885710580649,0.6261500343929658
S4,S4: log(modern_real_exp) ~ land_rent(t−1) + year + eras  [HC3 robust SE],transition,0.3137132070278128,0.27674961677968773,0.2569777775956448,-0.22870607459563697,0.8561324886512626,193,0.635885710580649,0.6261500343929658
S4,S4: log(modern_real_exp) ~ land_rent(t−1) + year + eras  [HC3 robust SE],land_rent_lag1,0.23264284372522526,0.5321061844163759,0.6619581057850039,-0.8102661136818996,1.2755518011323501,193,0.635885710580649,0.6261500343929658
S4,S4: log(modern_real_exp) ~ land_rent(t−1) + year + eras  [HC3 robust SE],year_norm,2.4305123833743814,0.5085180178648033,1.7564486849266418e-06,1.433835382869671,3.4271893838790914,193,0.635885710580649,0.6261500343929658
