decade,cosine_similarity_to_ref,cosine_distance_from_ref
1700,0.9999999999999999,1.1102230246251565e-16
1710,0.9524117036387569,0.047588296361243065
1720,0.9229857982120916,0.07701420178790841
1730,0.9372003291052258,0.06279967089477423
1740,0.9062170047223885,0.09378299527761147
1750,0.9242847226813676,0.07571527731863237
1760,0.9159262400006845,0.08407375999931554
1770,0.7979632242148185,0.20203677578518153
1780,0.78784155445652,0.21215844554347996
1790,0.7658546566383012,0.2341453433616988
1800,0.6739078708311456,0.32609212916885444
1810,0.685988507280544,0.31401149271945605
1820,0.6841298509942808,0.3158701490057192
1830,0.6718585595968596,0.3281414404031404
1840,0.6296326563532884,0.37036734364671164
1850,0.6230992747191251,0.3769007252808749
1860,0.4801689321564274,0.5198310678435726
1870,0.45984746281518696,0.540152537184813
1880,0.3743665457023418,0.6256334542976583
1890,0.17318084471683703,0.826819155283163
1900,0.13809083871596625,0.8619091612840337
