year,era,category,direction,language,entry_cluster,dominant_category
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,administrative,expenditure,mixed,3,administrative
1700,pre_1760,domestic,expenditure,english,3,administrative
1700,pre_1760,administrative,expenditure,mixed,3,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,administrative,expenditure,latin,4,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,ecclesiastical,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,mixed,3,administrative
1700,pre_1760,salary_stipend,expenditure,english,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,charitable,expenditure,english,3,administrative
1700,pre_1760,domestic,expenditure,english,3,administrative
1700,pre_1760,ecclesiastical,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,english,3,administrative
1700,pre_1760,ecclesiastical,expenditure,mixed,3,administrative
1700,pre_1760,ecclesiastical,expenditure,english,3,administrative
1700,pre_1760,domestic,expenditure,mixed,3,administrative
1700,pre_1760,ecclesiastical,expenditure,english,3,administrative
1700,pre_1760,ecclesiastical,expenditure,mixed,3,administrative
1700,pre_1760,administrative,expenditure,mixed,3,administrative
1700,pre_1760,administrative,expenditure,mixed,3,administrative
1700,pre_1760,charitable,expenditure,latin,3,administrative
1700,pre_1760,other,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,domestic,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,3,administrative
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,land_rent,income,latin,2,land_rent
1700,pre_1760,ecclesiastical,income,latin,3,administrative
1700,pre_1760,land_rent,income,english,3,administrative
1700,pre_1760,administrative,unclear,latin,3,administrative
1700,pre_1760,administrative,unclear,latin,3,administrative
1700,pre_1760,administrative,unclear,latin,3,administrative
1700,pre_1760,administrative,unclear,latin,3,administrative
1700,pre_1760,administrative,unclear,latin,3,administrative
1700,pre_1760,administrative,unclear,latin,3,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,domestic,expenditure,english,3,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,administrative,expenditure,latin,0,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,administrative,expenditure,latin,4,administrative
1700,pre_1760,administrative,expenditure,latin,3,administrative
1700,pre_1760,ecclesiastical,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
1700,pre_1760,salary_stipend,expenditure,latin,3,administrative
