year,era,top5_similar_years,top5_similarities,mean_sim_to_prev10
1700,pre_1760,1702;1707;1705;1701;1703,0.8402;0.8381;0.8370;0.8354;0.8094,
1701,pre_1760,1769;1713;1714;1715;1700,0.8656;0.8543;0.8416;0.8413;0.8354,0.8353702768144284
1702,pre_1760,1703;1705;1700;1710;1712,0.8486;0.8423;0.8402;0.8256;0.8246,0.8188312646464599
1703,pre_1760,1702;1712;1705;1709;1713,0.8486;0.8482;0.8450;0.8366;0.8215,0.8181654428480312
1704,pre_1760,1715;1705;1725;1713;1764,0.8484;0.8335;0.8304;0.8291;0.8268,0.8052999236287725
1705,pre_1760,1710;1709;1703;1702;1720,0.8579;0.8522;0.8450;0.8423;0.8417,0.83264664104499
1706,pre_1760,1715;1705;1707;1712;1702,0.8151;0.8111;0.8097;0.8084;0.8047,0.7782768985698141
1707,pre_1760,1700;1715;1704;1706;1734,0.8381;0.8305;0.8146;0.8097;0.8092,0.8032680040742822
1708,pre_1760,1718;1723;1705;1729;1715,0.8469;0.8415;0.8311;0.8285;0.8245,0.7890873460863311
1709,pre_1760,1710;1705;1717;1716;1720,0.8742;0.8522;0.8514;0.8442;0.8439,0.8086985928251439
1710,pre_1760,1709;1705;1716;1717;1719,0.8742;0.8579;0.8538;0.8488;0.8432,0.8166893153020544
1711,pre_1760,1715;1714;1769;1719;1713,0.8601;0.8539;0.8518;0.8405;0.8404,0.79803172026937
1712,pre_1760,1769;1715;1714;1713;1703,0.9157;0.8954;0.8780;0.8650;0.8482,0.817183650106473
1713,pre_1760,1769;1714;1715;1712;1701,0.9125;0.9015;0.8873;0.8650;0.8543,0.8168713988840606
1714,pre_1760,1769;1715;1713;1712;1711,0.9347;0.9055;0.9015;0.8780;0.8539,0.8242080678853526
1715,pre_1760,1769;1714;1712;1713;1757,0.9396;0.9055;0.8954;0.8873;0.8719,0.8520663767915446
1716,pre_1760,1717;1710;1709;1722;1721,0.8595;0.8538;0.8442;0.8431;0.8431,0.8096224569720347
1717,pre_1760,1716;1720;1709;1710;1722,0.8595;0.8520;0.8514;0.8488;0.8478,0.8109150490795087
1718,pre_1760,1708;1723;1729;1724;1734,0.8469;0.8283;0.8193;0.8034;0.8028,0.7779620193712675
1719,pre_1760,1720;1724;1710;1726;1717,0.8548;0.8504;0.8432;0.8417;0.8406,0.819689180945972
1720,pre_1760,1719;1717;1725;1709;1705,0.8548;0.8520;0.8452;0.8439;0.8417,0.8249430315823292
1721,pre_1760,1722;1717;1716;1720;1724,1.0000;0.8478;0.8431;0.8309;0.8179,0.7949740171141755
1722,pre_1760,1721;1717;1716;1720;1724,1.0000;0.8478;0.8431;0.8309;0.8179,0.8172638509789779
1723,pre_1760,1708;1720;1725;1718;1729,0.8415;0.8358;0.8318;0.8283;0.8277,0.8043834429455858
1724,pre_1760,1719;1729;1715;1743;1742,0.8504;0.8452;0.8371;0.8362;0.8359,0.8204633027388526
1725,pre_1760,1715;1726;1753;1720;1769,0.8677;0.8484;0.8466;0.8452;0.8432,0.8257871437880256
1726,pre_1760,1725;1719;1720;1717;1723,0.8484;0.8417;0.8413;0.8335;0.8162,0.8090170109960095
1727,pre_1760,1725;1729;1715;1717;1726,0.7412;0.7311;0.7295;0.7286;0.7283,0.7204993801886482
1728,pre_1760,1729;1725;1715;1734;1720,0.8343;0.8327;0.8306;0.8199;0.8180,0.7883261487634283
1729,pre_1760,1724;1725;1757;1719;1734,0.8452;0.8378;0.8369;0.8365;0.8363,0.8135084650869053
1730,pre_1760,1731;1724;1734;1716;1719,0.7093;0.7066;0.7040;0.7013;0.7007,0.6699735877858577
1731,pre_1760,1715;1769;1713;1712;1714,0.8532;0.8348;0.8338;0.8318;0.8294,0.7764953523803244
1732,pre_1760,1745;1758;1734;1731;1708,0.8202;0.8092;0.8026;0.8025;0.8024,0.7523873122637148
1733,pre_1760,1734;1731;1712;1735;1715,0.8263;0.8226;0.8213;0.8126;0.7971,0.7346239734182862
1734,pre_1760,1715;1757;1742;1755;1753,0.8588;0.8469;0.8435;0.8432;0.8402,0.7984885286194661
1735,pre_1760,1736;1734;1733;1712;1731,0.8324;0.8320;0.8126;0.8102;0.8073,0.7489341083592087
1736,pre_1760,1712;1734;1735;1715;1705,0.8415;0.8377;0.8324;0.8249;0.8192,0.7680086635052827
1737,pre_1760,1736;1715;1753;1734;1738,0.7856;0.7842;0.7733;0.7726;0.7652,0.7225191809143954
1738,pre_1760,1715;1769;1734;1757;1742,0.8017;0.7923;0.7861;0.7853;0.7812,0.7401878838290845
1739,pre_1760,1712;1731;1750;1715;1769,0.8054;0.7991;0.7930;0.7881;0.7879,0.7519373576558153
1740,pre_1760,1751;1742;1712;1715;1769,0.8099;0.8094;0.8049;0.8029;0.8028,0.7586393104533266
1741,pre_1760,1712;1742;1769;1731;1733,0.7658;0.7555;0.7470;0.7439;0.7413,0.7186035561980512
1742,pre_1760,1743;1715;1757;1769;1753,0.8751;0.8562;0.8519;0.8482;0.8481,0.7893424646926421
1743,pre_1760,1742;1715;1724;1764;1753,0.8751;0.8370;0.8362;0.8333;0.8289,0.7759642216418406
1744,pre_1760,1745;1743;1747;1758;1749,0.8268;0.8218;0.8162;0.8152;0.8143,0.7567006212022809
1745,pre_1760,1758;1744;1748;1732;1749,0.8398;0.8268;0.8242;0.8202;0.8128,0.7520685079711383
1746,pre_1760,1747;1740;1713;1742;1769,0.7402;0.7355;0.7292;0.7265;0.7234,0.6856688791561432
1747,pre_1760,1748;1742;1755;1749;1750,0.8656;0.8412;0.8395;0.8381;0.8365,0.7866095321619139
1748,pre_1760,1747;1749;1750;1752;1742,0.8656;0.8541;0.8408;0.8259;0.8242,0.7897530542219687
1749,pre_1760,1748;1747;1715;1758;1769,0.8541;0.8381;0.8295;0.8293;0.8258,0.7918577859580013
