page,supervisor_model,extractor_models,ext_gpt-5-mini_axis1,ext_gpt-5-mini_axis2,ext_gpt-5-mini_combined,ext_claude-haiku_axis1,ext_claude-haiku_axis2,ext_claude-haiku_combined,supervisor_axis1,supervisor_axis2,supervisor_combined
1700_7,gemini-flash,gpt-5-mini|claude-haiku,0.5,0.5114,0.5057,0.4773,0.3044,0.3909,0.5,0.5301,0.5151
1704_1,gemini-flash,gpt-5-mini|claude-haiku,0.6351,0.8667,0.7509,0.8333,0.3406,0.587,0.5838,0.9333,0.7586
1709_1,gemini-flash,gpt-5-mini|claude-haiku,0.8889,0.6946,0.7917,0.8537,0.3603,0.607,0.8889,0.739,0.8139
1713_7,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.8629,0.9315,0.552,0.8836,0.7178,0.8853,0.9029,0.8941
1719_2,gemini-flash,gpt-5-mini|claude-haiku,0.8731,0.6104,0.7418,0.5398,0.641,0.5904,0.9875,0.7791,0.8833
1725_3,gemini-flash,gpt-5-mini|claude-haiku,0.8611,0.8,0.8306,0.8207,0.6232,0.7219,0.8611,0.8,0.8306
1731_1,gemini-flash,gpt-5-mini|claude-haiku,1.0,1.0,1.0,0.8333,0.7767,0.805,1.0,1.0,1.0
1744_5,gemini-flash,gpt-5-mini|claude-haiku,0.8301,0.8384,0.8342,0.8454,0.6238,0.7346,0.8301,0.8384,0.8342
1753_4,gemini-flash,gpt-5-mini|claude-haiku,0.7401,0.5472,0.6437,0.8035,0.4064,0.6049,0.7401,0.5474,0.6438
1759-1760_3,gemini-flash,gpt-5-mini|claude-haiku,0.8848,0.7368,0.8108,0.6667,0.6592,0.6629,0.8848,0.7368,0.8108
1767_7,gemini-flash,gpt-5-mini|claude-haiku,0.6667,0.9103,0.7885,0.6667,0.6947,0.6807,0.6667,0.8445,0.7556
1774-1775_5,gemini-flash,gpt-5-mini|claude-haiku,0.9293,0.8294,0.8794,0.9293,0.707,0.8181,0.9293,0.8294,0.8794
1783-1784_2,gemini-flash,gpt-5-mini|claude-haiku,0.7086,0.8402,0.7744,0.5929,0.4936,0.5433,0.7086,0.8402,0.7744
1788-1789_3,gemini-flash,gpt-5-mini|claude-haiku,1.0,1.0,1.0,0.9603,0.818,0.8891,1.0,1.0,1.0
1795-1796_1,gemini-flash,gpt-5-mini|claude-haiku,0.9828,0.9434,0.9631,0.7483,0.7548,0.7515,0.9828,0.9434,0.9631
1801_1,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.9818,0.9909,1.0,0.4747,0.7373,1.0,0.9818,0.9909
1807_4,gemini-flash,gpt-5-mini|claude-haiku,0.7013,0.8887,0.795,0.5952,0.6448,0.62,0.7013,0.8887,0.795
1814_2,gemini-flash,gpt-5-mini|claude-haiku,0.9172,0.7656,0.8414,0.5459,0.5325,0.5392,0.9023,0.8118,0.857
1819_5,gemini-flash,gpt-5-mini|claude-haiku,0.8333,0.8221,0.8277,0.8333,0.636,0.7347,0.8333,0.8221,0.8277
1825_10,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.8065,0.9032,0.9167,0.6647,0.7907,1.0,0.8065,0.9032
1831_10,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.8868,0.9434,0.7778,0.6173,0.6976,1.0,0.8492,0.9246
1838_9,gemini-flash,gpt-5-mini|claude-haiku,0.8322,0.8068,0.8195,0.784,0.2136,0.4988,0.8322,0.8068,0.8195
1844_7,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.8053,0.9026,0.9333,0.5689,0.7511,1.0,0.8053,0.9026
1850_4,gemini-flash,gpt-5-mini|claude-haiku,0.5521,0.9686,0.7604,0.5486,0.8172,0.6829,0.5521,0.9686,0.7604
1855_7,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.9041,0.9521,0.9874,0.8503,0.9188,1.0,0.9485,0.9743
1860_1,gemini-flash,gpt-5-mini|claude-haiku,1.0,0.9282,0.9641,1.0,0.5993,0.7996,1.0,0.9282,0.9641
1865_3,gemini-flash,gpt-5-mini|claude-haiku,0.8255,0.7734,0.7994,0.8255,0.5074,0.6664,0.8255,0.7899,0.8077
1869_8,gemini-flash,gpt-5-mini|claude-haiku,0.8889,0.7783,0.8336,0.9357,0.4059,0.6708,0.8889,0.7574,0.8232
1873_5,gemini-flash,gpt-5-mini|claude-haiku,0.5291,0.691,0.61,0.3114,0.5262,0.4188,0.6634,0.6873,0.6754
1881_1,gemini-flash,gpt-5-mini|claude-haiku,0.6672,0.7587,0.7129,0.5111,0.4976,0.5043,0.6672,0.7587,0.7129
1889_4,gemini-flash,gpt-5-mini|claude-haiku,0.9328,0.8034,0.8681,0.7496,0.5697,0.6597,0.9258,0.885,0.9054
1895_2,gemini-flash,gpt-5-mini|claude-haiku,0.8846,0.9917,0.9382,0.8611,0.5062,0.6836,0.8846,0.9917,0.9382
1900_6,gemini-flash,gpt-5-mini|claude-haiku,0.55,1.0,0.775,0.5815,0.7424,0.662,0.55,0.9705,0.7603
