page,supervisor_model,extractor_models,ext_gemini-flash_axis1,ext_gemini-flash_axis2,ext_gemini-flash_combined,ext_claude-haiku_axis1,ext_claude-haiku_axis2,ext_claude-haiku_combined,supervisor_axis1,supervisor_axis2,supervisor_combined
1700_7,gemini-flash,gemini-flash|claude-haiku,0.6213,0.7087,0.665,0.4773,0.3044,0.3909,0.5132,0.7087,0.6109
1704_1,gemini-flash,gemini-flash|claude-haiku,0.7137,0.8771,0.7954,0.8333,0.3406,0.587,0.7065,0.9438,0.8252
1709_1,gemini-flash,gemini-flash|claude-haiku,0.8709,0.7812,0.826,0.8537,0.3603,0.607,0.8382,0.8034,0.8208
1713_7,gemini-flash,gemini-flash|claude-haiku,0.8853,0.96,0.9226,0.552,0.8836,0.7178,0.8853,0.96,0.9226
1719_2,gemini-flash,gemini-flash|claude-haiku,0.8731,0.7901,0.8316,0.5398,0.641,0.5904,0.8731,0.8491,0.8611
1725_3,gemini-flash,gemini-flash|claude-haiku,0.8308,0.8,0.8154,0.8207,0.6232,0.7219,0.8308,0.8,0.8154
1731_1,gemini-flash,gemini-flash|claude-haiku,1.0,1.0,1.0,0.8333,0.7767,0.805,1.0,1.0,1.0
1744_5,gemini-flash,gemini-flash|claude-haiku,0.7615,0.8105,0.786,0.8454,0.6238,0.7346,0.7615,0.8421,0.8018
1753_4,gemini-flash,gemini-flash|claude-haiku,0.6535,0.5294,0.5915,0.8035,0.4064,0.6049,0.6535,0.5294,0.5915
1759-1760_3,gemini-flash,gemini-flash|claude-haiku,1.0,0.7386,0.8693,0.6667,0.6592,0.6629,1.0,0.7572,0.8786
1767_7,gemini-flash,gemini-flash|claude-haiku,0.6667,0.8944,0.7805,0.6667,0.6947,0.6807,0.6667,0.8944,0.7805
1774-1775_5,gemini-flash,gemini-flash|claude-haiku,0.9222,0.9098,0.916,0.9293,0.707,0.8181,0.9222,0.8831,0.9026
1783-1784_2,gemini-flash,gemini-flash|claude-haiku,0.7414,0.8408,0.7911,0.5929,0.4936,0.5433,0.7414,0.854,0.7977
1788-1789_3,gemini-flash,gemini-flash|claude-haiku,0.8399,0.95,0.8949,0.9603,0.818,0.8891,0.8399,0.95,0.8949
1795-1796_1,gemini-flash,gemini-flash|claude-haiku,0.7654,0.8644,0.8149,0.7483,0.7548,0.7515,0.7654,0.9333,0.8494
1801_1,gemini-flash,gemini-flash|claude-haiku,1.0,0.9818,0.9909,1.0,0.4747,0.7373,1.0,0.9818,0.9909
1807_4,gemini-flash,gemini-flash|claude-haiku,0.7475,0.9432,0.8454,0.5952,0.6448,0.62,0.7475,0.9432,0.8454
1814_2,gemini-flash,gemini-flash|claude-haiku,0.8541,0.8115,0.8328,0.5459,0.5325,0.5392,0.8541,0.8115,0.8328
1819_5,gemini-flash,gemini-flash|claude-haiku,0.7278,0.8221,0.775,0.8333,0.636,0.7347,0.7278,0.8221,0.775
1825_10,gemini-flash,gemini-flash|claude-haiku,1.0,0.834,0.917,0.9167,0.6647,0.7907,1.0,0.8148,0.9074
1831_10,gemini-flash,gemini-flash|claude-haiku,0.8889,0.9244,0.9066,0.7778,0.6173,0.6976,0.8889,0.9244,0.9066
1838_9,gemini-flash,gemini-flash|claude-haiku,0.8322,0.6984,0.7653,0.784,0.2136,0.4988,0.8322,0.6937,0.763
1844_7,gemini-flash,gemini-flash|claude-haiku,0.9333,1.0,0.9667,0.9333,0.5689,0.7511,0.9333,0.8737,0.9035
1850_4,gemini-flash,gemini-flash|claude-haiku,0.5521,0.9687,0.7604,0.5486,0.8172,0.6829,0.5521,0.9687,0.7604
1855_7,gemini-flash,gemini-flash|claude-haiku,1.0,0.9589,0.9794,0.9874,0.8503,0.9188,1.0,0.9589,0.9794
1860_1,gemini-flash,gemini-flash|claude-haiku,0.6972,0.8198,0.7585,1.0,0.5993,0.7996,0.8398,0.8785,0.8591
1865_3,gemini-flash,gemini-flash|claude-haiku,0.587,0.774,0.6805,0.8255,0.5074,0.6664,0.5968,0.774,0.6854
1869_8,gemini-flash,gemini-flash|claude-haiku,0.988,0.5414,0.7647,0.9357,0.4059,0.6708,0.988,0.5414,0.7647
1873_5,gemini-flash,gemini-flash|claude-haiku,0.6518,0.7015,0.6766,0.3114,0.5262,0.4188,0.6518,0.7015,0.6766
1881_1,gemini-flash,gemini-flash|claude-haiku,0.6124,0.5568,0.5846,0.5111,0.4976,0.5043,0.6124,0.5568,0.5846
1889_4,gemini-flash,gemini-flash|claude-haiku,0.7976,0.9326,0.8651,0.7496,0.5697,0.6597,0.7976,0.9326,0.8651
1895_2,gemini-flash,gemini-flash|claude-haiku,0.8568,0.9557,0.9062,0.8611,0.5062,0.6836,0.8981,0.9557,0.9269
1900_6,gemini-flash,gemini-flash|claude-haiku,0.5167,0.8738,0.6953,0.5815,0.7424,0.662,0.5167,0.8738,0.6953
