year,metric,delta,abs_delta_robust_z,is_change_point
1886,amount_median,-131.05,92.48960671067104,True
1885,amount_median,124.96250000000002,88.15321727172714,True
1894,amount_median,124.78541666666666,88.02707315731568,True
1891,amount_sum_real,271690.0433,75.3703557136573,True
1891,amount_sum,435519.015625,72.64665279660663,True
1896,amount_median,-100.63541666666663,70.82398404840478,True
1892,amount_sum_real,-242106.09389999998,67.0711273164458,True
1892,amount_sum,-388040.7947916667,64.63862850353206,True
1900,amount_median,80.10000000000002,56.19571892189217,True
1895,amount_median,76.2833333333333,53.476942244224375,True
1883,amount_median,75.47916666666667,52.90409955995597,True
1894,amount_sum_real,-168423.05180000002,46.40071623910501,True
1894,amount_sum,-273316.2291666667,45.288343416766146,True
1897,amount_median,-58.181250000000006,40.58204565456544,True
1880,amount_sum,-217770.44374999998,35.91958462194875,True
1880,amount_sum_real,-118616.34460000001,32.4283681534286,True
1879,amount_sum,189947.0958333333,31.226695079742,True
1876,amount_sum,-178735.5083333333,29.335666656855164,True
1893,amount_sum_real,104957.06410000002,28.596510307867348,True
1893,amount_sum,172662.9375,28.31142240546553,True
1879,amount_sum_real,103707.63440000001,28.246005975049652,True
1873,amount_sum,170740.50624999998,27.987171077560724,True
1899,amount_median,-37.491666666666674,25.843960946094604,True
1876,amount_sum_real,-93624.9525,25.417496542007882,True
1873,amount_sum_real,90146.5869,24.44170557599833,True
1889,amount_sum_real,77543.4284,20.906123172732144,True
1883,amount_sum,127545.89375,20.701651524412437,True
1891,amount_median,30.2083333333333,20.655727722772244,True
1889,amount_sum,121384.775,19.662472133177157,True
1883,amount_sum_real,72973.7445,19.624183095145337,True
1884,amount_median,28.620833333333323,19.524882838283816,True
1898,amount_median,26.40625,17.947339383938388,True
1889,data_rows_per_page,-37.4,16.54975605536333,True
1819,amount_median,-22.958333333333332,15.491239273927386,True
1893,data_rows_per_page,-34.95,15.406140138408313,True
1892,amount_median,-20.779166666666654,13.938924642464233,True
1818,amount_median,20.258333333333333,13.56791254125412,True
1894,n_data_rows,-294.0,12.945666666666668,True
1885,entry_ratio,0.15849999999999997,12.911857142857263,True
1818,n_data_rows,-290.0,12.756333333333334,True
1885,amount_sum,-77738.70416666669,12.30080631259953,True
1885,amount_sum_real,-43583.15280000001,11.379197615029277,True
1883,entry_ratio,-0.1403000000000001,11.317584415584532,True
1891,n_data_rows,255.0,11.099666666666668,True
1889,entry_ratio,-0.13690000000000002,11.019753246753355,True
1809,n_data_rows,251.0,10.910333333333334,True
1873,n_data_rows,249.0,10.815666666666665,True
1884,amount_sum,62391.279166666674,9.71219726030216,True
1884,amount_sum_real,37292.59200000002,9.614497435216727,True
1894,data_rows_per_page,-21.799999999999997,9.267956747404847,True
1884,entry_ratio,-0.1067999999999999,8.383071428571503,True
1892,n_data_rows,-195.0,8.259666666666666,True
1886,amount_sum,-53001.23749999999,8.128404092407036,True
1817,n_data_rows,192.0,8.117666666666667,True
1701,n_data_rows,-188.0,7.928333333333334,True
1885,data_rows_per_page,18.6,7.77425432525952,True
1886,amount_sum_real,-30097.747100000008,7.5961171202607956,True
1885,n_data_rows,-179.0,7.502333333333333,True
1886,data_rows_per_page,18.0,7.494185121107269,True
1833,amount_sum,48088.54791666667,7.2997939036265995,True
1876,n_data_rows,-169.0,7.029,True
1850,amount_sum_real,27980.801300000003,7.002247232871195,True
1833,amount_sum_real,27728.6997,6.931524803982018,True
1894,entry_ratio,0.08989999999999998,6.902675324675392,True
1835,amount_sum,-45684.236458333326,6.894265132149692,True
1768,n_data_rows,-166.0,6.887,True
1850,amount_sum,44934.375,6.767788009178864,True
1851,amount_sum_real,-26962.949000000004,6.716707645234967,True
1767,n_data_rows,158.5,6.532,True
1835,amount_sum_real,-26288.5788,6.527525591196123,True
1851,amount_sum,-43183.489583333336,6.472470857336209,True
1889,n_data_rows,157.0,6.460999999999999,True
1818,amount_sum,-42420.81979166667,6.343833387101164,True
