year,n_pages,n_data_rows,n_entry_rows,n_total_rows,amount_sum,amount_mean,amount_median,amount_p90,amount_max,era,n_side_rows,side_row_ratio,entry_ratio,data_rows_per_page,price_index_1700base,amount_sum_real,amount_median_real
1700,12,373.0,354.0,19.0,8004.399479166667,21.459516029937447,0.75,27.82500000000001,901.071875,pre_1760,138.0,0.37,0.9491,31.083,100.0,8004.3995,0.75
1701,5,185.0,173.0,12.0,11379.306250000001,61.50976351351352,1.0,32.680625,5909.033333333334,pre_1760,0.0,0.0,0.9351,37.0,100.37,11337.358,0.996314
1702,6,208.0,197.0,11.0,6214.447395833334,29.87715094150641,1.5,41.80000000000007,881.3895833333333,pre_1760,43.0,0.2067,0.9471,34.667,100.74,6168.7983,1.488982
1703,6,192.0,182.0,10.0,3556.4265625,18.523055013020834,0.89765625,26.10546875,546.0229166666667,pre_1760,67.0,0.349,0.9479,32.0,101.11,3517.3836,0.887802
1704,7,202.0,190.0,12.0,2719.0,13.46039603960396,1.125,20.151875,482.25416666666666,pre_1760,0.0,0.0,0.9406,28.857,101.48,2679.3457,1.108593
1705,7,218.0,200.0,18.0,4406.4421875,20.213037557339447,1.8864583333333333,40.29250000000001,515.975,pre_1760,31.0,0.1422,0.9174,31.143,101.85,4326.4037,1.852193
1706,7,194.0,181.0,13.0,3809.15,19.63479381443299,1.00859375,27.900312500000062,576.1760416666666,pre_1760,32.0,0.1649,0.933,27.714,102.22,3726.4234,0.986689
1707,6,188.0,175.0,13.0,3585.1770833333335,19.070090868794328,1.2916666666666667,30.200000000000006,399.69166666666666,pre_1760,0.0,0.0,0.9309,31.333,102.59,3494.6653,1.259057
1708,7,177.0,167.0,10.0,2923.264583333333,16.515619114877587,1.75,36.28562500000003,449.8916666666667,pre_1760,0.0,0.0,0.9435,25.286,102.96,2839.2236,1.699689
1709,7,183.0,172.0,11.0,4767.389583333334,26.051309198542807,1.5333333333333334,58.0,599.90625,pre_1760,0.0,0.0,0.9399,26.143,103.33,4613.7517,1.483919
1710,7,198.0,184.0,14.0,6582.585416666667,33.245380892255895,1.9666666666666668,58.60000000000002,783.5083333333333,pre_1760,0.0,0.0,0.9293,28.286,103.7,6347.7198,1.896496
1711,7,210.0,200.0,10.0,3864.9765625,18.404650297619046,1.5166666666666666,28.334999999999987,577.3937500000001,pre_1760,46.0,0.219,0.9524,30.0,103.46,3735.7206,1.465945
1712,7,204.0,192.0,12.0,4631.214583333333,22.70203227124183,1.0,41.797395833333375,566.1020833333333,pre_1760,70.0,0.3431,0.9412,29.143,103.22,4486.7415,0.968804
1713,7,206.0,189.0,17.0,4039.110416666667,19.607332119741102,2.1479166666666667,37.14375,533.475,pre_1760,0.0,0.0,0.9175,29.429,102.98,3922.228,2.085761
1714,8,219.0,203.0,16.0,4706.513541666666,21.49092941400304,1.5,41.984375,564.9052083333333,pre_1760,0.0,0.0,0.9269,27.375,102.74,4580.9943,1.459996
1715,7,208.0,191.0,17.0,5750.036458333333,27.644406049679485,1.85,48.097500000000004,588.0166666666667,pre_1760,42.0,0.2019,0.9183,29.714,102.5,5609.7917,1.804878
1716,8,232.0,214.0,18.0,5660.671875,24.399447737068964,1.5,49.55208333333336,521.4958333333334,pre_1760,0.0,0.0,0.9224,29.0,102.26,5535.568,1.466849
1717,7,222.0,204.0,18.0,4769.203125,21.48289695945946,1.41875,30.37833333333334,470.32708333333335,pre_1760,0.0,0.0,0.9189,31.714,102.02,4674.7727,1.390659
1718,7,202.0,191.0,11.0,3680.2296875,18.2189588490099,1.0,24.358125,559.2354166666668,pre_1760,71.0,0.3515,0.9455,28.857,101.78,3615.8673,0.982511
1719,6,181.0,174.0,7.0,1732.0874999999999,9.569544198895027,1.125,20.0,264.65,pre_1760,0.0,0.0,0.9613,30.167,101.54,1705.8179,1.107938
1720,7,200.0,193.0,7.0,2679.8625,13.3993125,1.4125,26.07520833333333,545.2666666666667,pre_1760,0.0,0.0,0.965,28.571,101.3,2645.4714,1.394373
1721,13,186.5,177.0,9.5,2827.700260416667,15.16193169124218,1.5,27.50333333333336,564.1791666666667,pre_1760,96.0,0.2574,0.9491,14.346,100.53,2812.7925,1.492092
1722,13,186.5,177.0,9.5,2827.700260416667,15.16193169124218,1.5,27.50333333333336,564.1791666666667,pre_1760,96.0,0.2574,0.9491,14.346,99.76,2834.5031,1.503609
1723,7,202.0,190.0,12.0,3907.516666666667,19.34414191419142,1.4260416666666667,36.618750000000006,490.13958333333335,pre_1760,0.0,0.0,0.9406,28.857,98.99,3947.3853,1.440592
1724,7,183.0,174.0,9.0,3048.2385416666666,16.65704121129326,1.5,30.218750000000007,406.3916666666667,pre_1760,0.0,0.0,0.9508,26.143,98.22,3103.4805,1.527184
1725,6,154.0,144.0,10.0,3080.008333333333,20.00005411255411,1.0875,29.0,536.0875,pre_1760,0.0,0.0,0.9351,25.667,97.45,3160.6037,1.115957
1726,6,204.0,194.0,10.0,4605.43125,22.57564338235294,1.4166666666666667,42.8583333333334,578.5895833333333,pre_1760,0.0,0.0,0.951,34.0,96.68,4763.5822,1.465315
1727,6,188.0,178.0,10.0,3257.0442708333335,17.32470356826241,0.7833333333333333,30.0,605.2979166666667,pre_1760,11.0,0.0585,0.9468,31.333,95.91,3395.9381,0.816738
1728,6,191.0,182.0,9.0,3649.4864583333333,19.10725894415358,1.15,30.596875,669.4760416666667,pre_1760,0.0,0.0,0.9529,31.833,95.14,3835.9118,1.208745
1729,6,194.0,186.0,8.0,3347.670833333333,17.256035223367697,1.2125,31.558750000000025,478.39375,pre_1760,0.0,0.0,0.9588,32.333,94.37,3547.3888,1.284836
1730,9,263.0,260.0,3.0,4679.915625,17.794355988593153,0.8250000000000001,34.96833333333338,746.4645833333334,pre_1760,56.0,0.2129,0.9886,29.222,93.6,4999.9099,0.88141
1731,7,169.0,166.0,3.0,4727.39375,27.972744082840237,5.479166666666667,50.50000000000004,1079.6208333333332,pre_1760,0.0,0.0,0.9822,24.143,94.24,5016.3346,5.814056
1732,7,145.0,141.0,4.0,2564.9645833333334,17.68941091954023,3.3333333333333335,27.52833333333332,645.25,pre_1760,71.0,0.4897,0.9724,20.714,94.88,2703.3775,3.51321
1733,6,174.0,165.0,9.0,4057.8578125,23.32102191091954,4.0,50.0,489.12916666666666,pre_1760,23.0,0.1322,0.9483,29.0,95.52,4248.1761,4.187605
1734,5,188.0,177.0,11.0,6212.983333333334,33.047783687943266,5.147916666666667,54.23500000000004,624.703125,pre_1760,11.0,0.0585,0.9415,37.6,96.16,6461.0892,5.353491
1735,5,154.0,142.0,12.0,5717.510416666667,37.12669101731602,4.638541666666667,74.16156250000004,647.1645833333333,pre_1760,0.0,0.0,0.9221,30.8,96.8,5906.519,4.791882
1736,5,152.0,136.0,16.0,5727.711458333333,37.68231222587719,5.763020833333334,79.00000000000006,660.15,pre_1760,0.0,0.0,0.8947,30.4,97.44,5878.1932,5.91443
1737,5,185.0,167.0,18.0,5746.282291666666,31.06098536036036,5.0,80.09999999999994,609.5416666666666,pre_1760,0.0,0.0,0.9027,37.0,98.08,5858.7707,5.097879
1738,4,159.0,147.0,12.0,3858.109375,24.26483883647799,3.875,50.0,637.8145833333333,pre_1760,0.0,0.0,0.9245,39.75,98.72,3908.1335,3.925243
1739,6,175.0,158.0,17.0,4801.99375,27.439964285714282,3.75625,50.0,474.45,pre_1760,6.0,0.0343,0.9029,29.167,99.36,4832.9245,3.780445
1740,5,183.0,169.0,14.0,12104.8765625,66.14686646174863,3.0,83.74406250000024,1786.2604166666667,pre_1760,75.0,0.4098,0.9235,36.6,100.0,12104.8766,3.0
1741,5,169.0,157.0,12.0,6409.220833333334,37.924383629191325,6.415625,92.5208333333335,690.6510416666666,pre_1760,0.0,0.0,0.929,33.8,100.47,6379.2384,6.385613
1742,5,177.0,162.0,15.0,8466.125520833333,47.83121763182674,4.675000000000001,83.1791666666667,1154.4,pre_1760,33.0,0.1864,0.9153,35.4,100.94,8387.285,4.631464
1743,7,173.0,158.0,15.0,5549.995833333333,32.08090077071291,4.0,59.85833333333335,593.115625,pre_1760,3.0,0.0173,0.9133,24.714,101.41,5472.8289,3.944384
