category,era,amount_share
administrative,industrial_1760_1840,0.0538
administrative,post_1840,0.0623
administrative,pre_1760,0.0551
domestic,industrial_1760_1840,0.0126
domestic,post_1840,0.0255
domestic,pre_1760,0.0379
ecclesiastical,industrial_1760_1840,0.0546
ecclesiastical,post_1840,0.0154
ecclesiastical,pre_1760,0.1123
salary_stipend,industrial_1760_1840,0.0833
salary_stipend,post_1840,0.0579
salary_stipend,pre_1760,0.049
charitable,industrial_1760_1840,0.0024
charitable,post_1840,0.0035
charitable,pre_1760,0.004
other,industrial_1760_1840,0.1873
other,post_1840,0.0876
other,pre_1760,0.103
land_rent,industrial_1760_1840,0.1358
land_rent,post_1840,0.0475
land_rent,pre_1760,0.372
maintenance,industrial_1760_1840,0.0355
maintenance,post_1840,0.0291
maintenance,pre_1760,0.0281
educational,industrial_1760_1840,0.0088
educational,post_1840,0.1556
educational,pre_1760,0.0248
financial,industrial_1760_1840,0.4258
financial,post_1840,0.5157
financial,pre_1760,0.2137
