confidence_threshold,era,income_pct,n_entries_income,n_entries_expenditure
all_entries,industrial_1760_1840,0.1939,70.4,292.7
all_entries,post_1840,0.3717,352.0,595.0
all_entries,pre_1760,0.5426,205.6,173.3
conf_ge_0.90,industrial_1760_1840,0.2028,65.4,257.2
conf_ge_0.90,post_1840,0.3738,351.0,588.0
conf_ge_0.90,pre_1760,0.5757,185.6,136.8
conf_ge_0.95,industrial_1760_1840,0.2147,64.4,235.7
conf_ge_0.95,post_1840,0.3807,343.0,558.0
conf_ge_0.95,pre_1760,0.5717,172.6,129.3
era_scheme_baseline,industrial_1760_1840,0.1939,70.42857142857143,292.7142857142857
era_scheme_baseline,post_1840,0.3717,352.0,595.0
era_scheme_baseline,pre_1760,0.5426,205.57142857142858,173.28571428571428
era_scheme_alt_a_shifted,mid_1750_1850,0.198,97.85714285714286,396.42857142857144
era_scheme_alt_a_shifted,post_1850,0.389,338.0,531.0
era_scheme_alt_a_shifted,pre_1750,0.5899,192.14285714285714,133.57142857142858
era_scheme_alt_b_late_start,industrial_1780_1840,0.225,63.0,217.0
era_scheme_alt_b_late_start,post_1840,0.3717,352.0,595.0
era_scheme_alt_b_late_start,pre_1780,0.461,213.0,249.0
era_scheme_alt_c_finer,early_industrial_1760_1800,0.1313,21.428571428571427,141.71428571428572
era_scheme_alt_c_finer,late_industrial_1800_1840,0.245,49.0,151.0
era_scheme_alt_c_finer,post_1840,0.3717,352.0,595.0
era_scheme_alt_c_finer,pre_1760,0.5426,205.57142857142858,173.28571428571428
